* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:50:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Galaxy L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.055	-171.6281
20.600000	102.049	-172.1459
20.900000	102.039	-172.7031
21.200001	102.028	-173.2640
21.400000	102.021	-173.6402
21.799999	102.006	-174.3949
22.000000	101.998	-174.7693
22.400000	101.982	-175.5009
22.700001	101.970	-176.0300
23.000000	101.960	-176.5443
23.299999	101.950	-177.0501
23.600000	101.940	-177.5539
24.000000	101.925	-178.2253
24.299999	101.911	-178.7232
24.700001	101.889	-179.3658
25.000000	101.872	-179.8258
25.400000	101.852	179.5862
25.799999	101.834	179.0098
26.200001	101.817	178.4274
26.500000	101.802	177.9848
26.900000	101.778	177.3982
27.200001	101.758	176.9707
27.600000	101.729	176.4245
28.000000	101.701	175.8981
28.500000	101.670	175.2421
29.000000	101.639	174.5738
29.500000	101.605	173.9135
30.000000	101.568	173.2916
30.400000	101.540	172.8246
30.700001	101.520	172.4848
31.100000	101.494	172.0343
31.500000	101.469	171.5800
32.000000	101.435	171.0087
32.500000	101.398	170.4422
33.000000	101.359	169.8851
33.500000	101.320	169.3392
34.000000	101.282	168.8096
34.500000	101.244	168.3011
35.000000	101.208	167.8101
35.500000	101.173	167.3257
36.000000	101.136	166.8418
36.500000	101.095	166.3642
37.000000	101.049	165.9036
37.500000	101.003	165.4642
38.200001	100.943	164.8673
38.700001	100.903	164.4379
39.500000	100.839	163.7492
40.000000	100.797	163.3369
40.599998	100.743	162.8692
41.200001	100.690	162.4158
41.799999	100.638	161.9550
42.500000	100.578	161.4023
43.099998	100.525	160.9389
43.700001	100.470	160.5152
44.400002	100.406	160.0729
45.000000	100.351	159.7027
45.500000	100.303	159.3874
46.200001	100.234	158.9552
46.799999	100.183	158.5902
47.500000	100.126	158.1383
48.200001	100.053	157.7408
48.700001	99.995	157.5695
49.400002	99.930	157.4144
50.000000	99.893	157.1588
50.799999	99.830	156.5609
51.500000	99.752	156.0574
52.200001	99.678	155.7043
53.000000	99.608	155.3401
53.799999	99.536	154.9536
54.500000	99.477	154.6029
55.200001	99.418	154.2153
56.000000	99.339	153.8160
57.000000	99.242	153.5008
58.000000	99.160	153.1476
59.000000	99.068	152.7200
60.000000	98.978	152.3925
60.799999	98.914	152.1576
61.500000	98.857	151.9369
62.200001	98.796	151.7083
63.000000	98.719	151.4555
64.000000	98.622	151.1919
65.000000	98.537	150.9588
66.000000	98.460	150.6650
67.000000	98.369	150.3516
68.000000	98.268	150.0682
69.000000	98.166	149.8284
70.000000	98.077	149.7332
71.000000	98.010	149.6692
72.000000	97.929	149.4318
73.000000	97.816	149.1579
74.000000	97.707	149.0400
75.000000	97.626	149.0646
76.199997	97.548	149.0690
77.500000	97.448	148.8829
78.800003	97.336	148.6273
80.000000	97.233	148.4490
81.199997	97.134	148.3868
82.500000	97.033	148.3361
83.800003	96.926	148.2932
85.000000	96.831	148.2621
86.199997	96.741	148.2576
87.500000	96.656	148.2776
88.500000	96.593	148.2835
90.000000	96.492	148.2883
91.199997	96.400	148.2930
92.500000	96.306	148.3004
93.800003	96.216	148.3683
95.000000	96.133	148.4529
96.199997	96.051	148.4762
97.500000	95.960	148.6197
98.800003	95.860	148.9032
100.000000	95.764	149.0269
101.500000	95.655	148.9477
103.000000	95.549	148.9665
104.400002	95.459	148.9784
106.000000	95.371	149.1259
107.500000	95.304	149.4150
109.000000	95.227	149.5921
110.599998	95.167	149.9034
112.000000	95.098	150.2614
113.800003	94.969	150.8467
115.000000	94.898	151.1140
117.199997	94.795	151.4531
118.000000	94.777	151.5825
120.599998	94.773	152.1223
122.000000	94.725	152.3629
124.099998	94.644	152.5667
125.000000	94.606	152.5605
126.500000	94.533	152.6034
128.000000	94.475	152.7740
131.500000	94.348	153.1973
132.000000	94.326	153.2879
134.000000	94.242	153.6205
136.000000	94.175	153.8068
138.000000	94.102	153.9857
140.000000	94.025	154.2922
143.000000	93.934	154.9304
145.000000	93.885	155.2149
147.500000	93.786	155.3892
150.000000	93.694	155.6138
152.500000	93.651	156.4164
155.000000	93.627	156.9838
157.500000	93.582	157.2348
160.000000	93.523	157.4855
