* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:51:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Galaxy R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.030	-165.5866
20.600000	102.024	-166.1419
20.900000	102.016	-166.7313
21.200001	102.009	-167.3196
21.400000	102.006	-167.7151
21.799999	102.005	-168.5221
22.000000	102.005	-168.9321
22.400000	102.006	-169.7505
22.700001	102.004	-170.3467
23.000000	102.002	-170.9166
23.299999	101.998	-171.4587
23.600000	101.995	-171.9805
24.000000	101.992	-172.6678
24.299999	101.990	-173.1915
24.700001	101.982	-173.9052
25.000000	101.972	-174.4416
25.400000	101.954	-175.1343
25.799999	101.934	-175.7846
26.200001	101.916	-176.3989
26.500000	101.904	-176.8513
26.900000	101.890	-177.4622
27.200001	101.878	-177.9288
27.600000	101.858	-178.5498
28.000000	101.834	-179.1491
28.500000	101.805	-179.8543
29.000000	101.783	179.4692
29.500000	101.765	178.7938
30.000000	101.746	178.1237
30.400000	101.728	177.6067
30.700001	101.714	177.2332
31.100000	101.696	176.7471
31.500000	101.676	176.2616
32.000000	101.650	175.6445
32.500000	101.618	175.0252
33.000000	101.584	174.4223
33.500000	101.549	173.8444
34.000000	101.517	173.2897
34.500000	101.486	172.7527
35.000000	101.457	172.2226
35.500000	101.427	171.6836
36.000000	101.392	171.1318
36.500000	101.352	170.5879
37.000000	101.308	170.0809
37.500000	101.268	169.6174
38.200001	101.225	168.9949
38.700001	101.198	168.5384
39.500000	101.148	167.8029
40.000000	101.111	167.3578
40.599998	101.066	166.8287
41.200001	101.020	166.2909
41.799999	100.973	165.7564
42.500000	100.918	165.1668
43.099998	100.870	164.6874
43.700001	100.823	164.2124
44.400002	100.768	163.6630
45.000000	100.726	163.2114
45.500000	100.693	162.8507
46.200001	100.641	162.3680
46.799999	100.585	161.9803
47.500000	100.518	161.5077
48.200001	100.459	160.8886
48.700001	100.417	160.3626
49.400002	100.351	159.7059
50.000000	100.296	159.3716
50.799999	100.240	159.1459
51.500000	100.188	158.9062
52.200001	100.118	158.5743
53.000000	100.037	158.1738
53.799999	99.977	157.7593
54.500000	99.932	157.3412
55.200001	99.878	156.8665
56.000000	99.798	156.3496
57.000000	99.712	155.8610
58.000000	99.647	155.4537
59.000000	99.565	155.1563
60.000000	99.477	154.8945
60.799999	99.403	154.6014
61.500000	99.336	154.3149
62.200001	99.270	154.0271
63.000000	99.199	153.7113
64.000000	99.120	153.3497
65.000000	99.044	152.9996
66.000000	98.959	152.6436
67.000000	98.867	152.2731
68.000000	98.777	151.9701
69.000000	98.691	151.7762
70.000000	98.603	151.6353
71.000000	98.516	151.3767
72.000000	98.426	150.9634
73.000000	98.340	150.6531
74.000000	98.267	150.5161
75.000000	98.183	150.4308
76.199997	98.067	150.2626
77.500000	97.954	149.8899
78.800003	97.861	149.5398
80.000000	97.786	149.3044
81.199997	97.675	149.1518
82.500000	97.553	148.9958
83.800003	97.481	148.5184
85.000000	97.421	148.4402
86.199997	97.335	148.8285
87.500000	97.210	148.9713
88.500000	97.121	148.8214
90.000000	97.020	148.6768
91.199997	96.937	148.6642
