* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:18:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Jiju L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.239	-172.9647
20.600000	101.229	-173.4978
20.900000	101.215	-174.0684
21.200001	101.203	-174.6403
21.400000	101.195	-175.0240
21.799999	101.183	-175.7991
22.000000	101.178	-176.1879
22.400000	101.165	-176.9550
22.700001	101.154	-177.5097
23.000000	101.140	-178.0392
23.299999	101.124	-178.5427
23.600000	101.107	-179.0246
24.000000	101.085	-179.6476
24.299999	101.068	179.8891
24.700001	101.047	179.2657
25.000000	101.031	178.7924
25.400000	101.010	178.1587
25.799999	100.987	177.5330
26.200001	100.963	176.9269
26.500000	100.945	176.4885
26.900000	100.920	175.9233
27.200001	100.902	175.5092
27.600000	100.878	174.9622
28.000000	100.852	174.4170
28.500000	100.818	173.7427
29.000000	100.782	173.0898
29.500000	100.745	172.4631
30.000000	100.709	171.8501
30.400000	100.679	171.3596
30.700001	100.655	170.9911
31.100000	100.622	170.5042
31.500000	100.588	170.0310
32.000000	100.546	169.4656
32.500000	100.508	168.9232
33.000000	100.473	168.3903
33.500000	100.437	167.8605
34.000000	100.397	167.3387
34.500000	100.353	166.8312
35.000000	100.307	166.3384
35.500000	100.261	165.8553
36.000000	100.217	165.3783
36.500000	100.174	164.9084
37.000000	100.132	164.4490
37.500000	100.090	164.0020
38.200001	100.030	163.3900
38.700001	99.986	162.9549
39.500000	99.915	162.2572
40.000000	99.871	161.8292
40.599998	99.818	161.3402
41.200001	99.764	160.8851
41.799999	99.709	160.4518
42.500000	99.643	159.9459
43.099998	99.583	159.5062
43.700001	99.525	159.0745
44.400002	99.461	158.5961
45.000000	99.407	158.2114
45.500000	99.361	157.9065
46.200001	99.295	157.4800
46.799999	99.237	157.0903
47.500000	99.173	156.6336
48.200001	99.122	156.2397
48.700001	99.096	155.9822
49.400002	99.059	155.5805
50.000000	99.004	155.2018
50.799999	98.896	154.7773
51.500000	98.803	154.4858
52.200001	98.728	154.1581
53.000000	98.648	153.7491
53.799999	98.569	153.3989
54.500000	98.501	153.1063
55.200001	98.432	152.7910
56.000000	98.354	152.4416
57.000000	98.262	152.0390
58.000000	98.165	151.6624
59.000000	98.067	151.3024
60.000000	97.971	150.9254
60.799999	97.895	150.6560
61.500000	97.832	150.4461
62.200001	97.769	150.2292
63.000000	97.695	149.9825
64.000000	97.600	149.7334
65.000000	97.505	149.4949
66.000000	97.406	149.2426
