* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:19:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Jiju R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.540	-165.9946
20.600000	101.536	-166.5726
20.900000	101.529	-167.1846
21.200001	101.522	-167.7854
21.400000	101.518	-168.1808
21.799999	101.515	-168.9674
22.000000	101.516	-169.3608
22.400000	101.518	-170.1484
22.700001	101.518	-170.7354
23.000000	101.516	-171.3136
23.299999	101.511	-171.8787
23.600000	101.504	-172.4293
24.000000	101.491	-173.1444
24.299999	101.481	-173.6719
24.700001	101.467	-174.3693
25.000000	101.457	-174.8877
25.400000	101.443	-175.5663
25.799999	101.429	-176.2217
26.200001	101.416	-176.8530
26.500000	101.407	-177.3169
26.900000	101.395	-177.9351
27.200001	101.385	-178.4035
27.600000	101.366	-179.0304
28.000000	101.342	-179.6455
28.500000	101.310	179.6233
29.000000	101.283	178.9282
29.500000	101.263	178.2362
30.000000	101.243	177.5324
30.400000	101.222	176.9794
30.700001	101.204	176.5856
31.100000	101.176	176.0966
31.500000	101.151	175.6375
32.000000	101.124	175.0643
32.500000	101.099	174.4575
33.000000	101.069	173.8293
33.500000	101.035	173.2228
34.000000	101.000	172.6631
34.500000	100.965	172.1411
35.000000	100.928	171.6389
35.500000	100.889	171.1493
36.000000	100.849	170.6664
36.500000	100.810	170.1771
37.000000	100.770	169.6781
37.500000	100.730	169.1910
38.200001	100.680	168.5613
38.700001	100.656	168.1067
39.500000	100.621	167.2556
40.000000	100.584	166.6924
40.599998	100.524	166.1105
41.200001	100.468	165.6494
41.799999	100.421	165.2065
