* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:45:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Neo R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.874	-163.8142
20.600000	101.878	-164.3817
20.900000	101.883	-165.0029
21.200001	101.889	-165.6299
21.400000	101.893	-166.0433
21.799999	101.901	-166.8393
22.000000	101.905	-167.2160
22.400000	101.913	-167.9285
22.700001	101.918	-168.4415
23.000000	101.921	-168.9528
23.299999	101.919	-169.4713
23.600000	101.911	-169.9975
24.000000	101.894	-170.7012
24.299999	101.881	-171.2258
24.700001	101.868	-171.9265
25.000000	101.863	-172.4624
25.400000	101.859	-173.1935
25.799999	101.851	-173.9180
26.200001	101.836	-174.5861
26.500000	101.822	-175.0271
26.900000	101.805	-175.5410
27.200001	101.798	-175.8999
27.600000	101.796	-176.3996
28.000000	101.796	-176.9614
28.500000	101.789	-177.7273
29.000000	101.769	-178.4664
29.500000	101.748	-179.1135
30.000000	101.730	-179.7044
30.400000	101.717	179.8160
30.700001	101.703	179.4430
31.100000	101.678	178.9401
31.500000	101.649	178.4494
32.000000	101.617	177.8560
32.500000	101.594	177.2514
33.000000	101.575	176.6153
33.500000	101.552	175.9866
34.000000	101.523	175.4242
34.500000	101.496	174.9384
35.000000	101.472	174.4800
35.500000	101.450	173.9964
36.000000	101.422	173.4783
36.500000	101.389	172.9488
37.000000	101.354	172.4264
37.500000	101.322	171.9109
38.200001	101.283	171.1923
38.700001	101.256	170.6862
39.500000	101.207	169.9152
40.000000	101.170	169.4781
40.599998	101.123	169.0125
41.200001	101.080	168.5826
41.799999	101.046	168.1281
42.500000	101.008	167.5308
43.099998	100.968	166.9979
43.700001	100.920	166.4906
44.400002	100.861	165.9604
45.000000	100.816	165.5569
45.500000	100.786	165.2293
46.200001	100.748	164.7332
46.799999	100.704	164.2959
47.500000	100.642	163.8483
48.200001	100.592	163.3834
48.700001	100.563	162.9427
49.400002	100.508	162.2442
50.000000	100.444	161.7913
50.799999	100.373	161.5150
51.500000	100.332	161.3117
52.200001	100.282	160.9814
53.000000	100.211	160.5765
53.799999	100.151	160.1887
54.500000	100.103	159.8196
55.200001	100.046	159.4656
56.000000	99.979	159.0986
57.000000	99.896	158.5930
58.000000	99.810	158.1289
59.000000	99.744	157.7525
60.000000	99.684	157.2501
60.799999	99.620	156.8643
61.500000	99.562	156.6196
62.200001	99.509	156.3902
63.000000	99.442	156.0967
64.000000	99.351	155.7433
65.000000	99.269	155.3904
66.000000	99.198	155.0037
67.000000	99.128	154.6179
68.000000	99.053	154.3080
69.000000	98.976	154.0397
70.000000	98.890	153.7649
71.000000	98.808	153.5025
72.000000	98.733	153.2386
73.000000	98.657	153.0229
74.000000	98.580	152.8416
75.000000	98.499	152.6574
76.199997	98.402	152.3995
77.500000	98.302	152.0831
78.800003	98.216	151.8029
80.000000	98.130	151.5784
81.199997	98.033	151.4844
82.500000	97.938	151.3520
83.800003	97.840	151.0900
85.000000	97.741	150.9345
86.199997	97.648	150.8995
87.500000	97.564	150.8489
88.500000	97.507	150.8378
90.000000	97.427	150.8100
91.199997	97.331	150.6335
92.500000	97.231	150.5453
93.800003	97.155	150.5937
95.000000	97.081	150.6506
96.199997	97.008	150.5934
97.500000	96.931	150.4980
98.800003	96.844	150.4167
100.000000	96.764	150.3473
101.500000	96.693	150.3576
103.000000	96.617	150.4171
104.400002	96.539	150.4540
106.000000	96.456	150.4879
107.500000	96.371	150.5034
109.000000	96.275	150.5558
110.599998	96.175	150.7022
112.000000	96.101	150.7692
113.800003	96.018	150.8470
115.000000	95.966	150.9238
117.199997	95.856	151.0632
118.000000	95.814	151.1134
120.599998	95.692	151.3218
122.000000	95.632	151.4318
124.099998	95.535	151.6184
125.000000	95.492	151.7144
126.500000	95.423	151.8548
128.000000	95.357	152.0067
131.500000	95.219	152.5096
132.000000	95.199	152.5681
134.000000	95.112	152.7939
136.000000	95.027	153.0366
138.000000	94.947	153.3162
140.000000	94.881	153.5916
143.000000	94.792	154.0716
145.000000	94.738	154.4096
147.500000	94.653	154.8076
150.000000	94.563	155.2297
152.500000	94.533	155.3671
155.000000	94.495	155.6195
157.500000	94.438	156.0175
160.000000	94.373	156.2801
162.500000	94.308	156.5184
165.000000	94.255	156.7701
167.500000	94.212	157.0115
170.000000	94.165	157.2727
172.500000	94.121	157.5700
175.000000	94.066	157.8198
177.500000	94.008	158.1087
180.000000	93.955	158.4311
182.500000	93.907	158.7209
185.000000	93.866	158.9932
187.500000	93.823	159.2709
190.000000	93.780	159.5800
192.500000	93.741	159.9041
195.000000	93.712	160.2396
197.500000	93.690	160.5758
200.000000	93.671	160.8820
203.000000	93.639	161.1882
206.000000	93.604	161.4332
209.000000	93.572	161.6852
212.000000	93.540	161.9954
214.000000	93.518	162.1933
218.000000	93.475	162.5516
220.000000	93.455	162.7289
224.000000	93.418	163.0822
227.000000	93.391	163.3497
230.000000	93.364	163.6121
233.000000	93.339	163.8719
236.000000	93.314	164.1285
240.000000	93.282	164.4671
243.000000	93.260	164.7034
247.000000	93.234	164.9242
250.000000	93.215	165.0829
254.000000	93.184	165.5018
258.000000	93.155	165.8620
262.000000	93.129	166.1591
265.000000	93.111	166.3762
269.000000	93.089	166.6577
272.000000	93.071	166.8605
276.000000	93.047	167.1307
280.000000	93.024	167.3912
285.000000	92.996	167.7382
290.000000	92.970	168.0550
295.000000	92.944	168.3560
300.000000	92.920	168.6704
304.000000	92.900	168.9279
307.000000	92.886	169.1249
311.000000	92.869	169.3755
315.000000	92.854	169.6149
320.000000	92.838	169.9077
325.000000	92.820	170.1855
330.000000	92.802	170.4469
335.000000	92.784	170.7000
340.000000	92.768	170.9471
345.000000	92.759	171.1839
350.000000	92.750	171.4191
355.000000	92.727	171.6704
360.000000	92.705	171.9007
365.000000	92.687	172.1084
370.000000	92.669	172.3149
375.000000	92.651	172.5195
382.000000	92.626	172.8004
387.000000	92.608	173.0047
395.000000	92.578	173.3417
400.000000	92.558	173.5511
406.000000	92.537	173.7659
412.000000	92.515	173.9841
418.000000	92.493	174.2119
425.000000	92.465	174.4786
431.000000	92.441	174.7045
437.000000	92.417	174.9370
444.000000	92.392	175.2379
450.000000	92.370	175.5061
455.000000	92.349	175.6679
462.000000	92.318	175.9029
468.000000	92.292	176.1302
475.000000	92.264	176.4046
482.000000	92.235	176.6752
487.000000	92.213	176.8683
494.000000	92.180	177.1508
500.000000	92.152	177.3956
508.000000	92.122	177.6880
515.000000	92.094	177.9584
522.000000	92.063	178.2444
530.000000	92.027	178.5789
538.000000	91.990	178.9055
545.000000	91.956	179.1776
552.000000	91.925	179.4790
560.000000	91.893	179.8721
570.000000	91.851	-179.6540
580.000000	91.807	-179.1786
590.000000	91.766	-178.6840
600.000000	91.725	-178.1751
608.000000	91.692	-177.7425
615.000000	91.666	-177.3548
622.000000	91.641	-176.9631
630.000000	91.614	-176.5099
640.000000	91.584	-175.9313
650.000000	91.558	-175.3487
660.000000	91.544	-174.7673
670.000000	91.535	-174.2132
680.000000	91.528	-173.7012
690.000000	91.523	-173.2442
700.000000	91.516	-172.8407
710.000000	91.503	-172.4769
720.000000	91.482	-172.1376
730.000000	91.450	-171.7968
740.000000	91.408	-171.4219
750.000000	91.361	-170.9946
762.000000	91.304	-170.4032
775.000000	91.241	-169.6622
788.000000	91.184	-168.8295
800.000000	91.136	-167.9960
812.000000	91.096	-167.1362
825.000000	91.061	-166.1656
838.000000	91.035	-165.1846
850.000000	91.020	-164.2701
862.000000	91.010	-163.2708
875.000000	91.007	-162.1865
885.000000	91.010	-161.3552
900.000000	91.026	-160.1118
912.000000	91.048	-159.1542
925.000000	91.079	-158.1168
938.000000	91.116	-157.0870
950.000000	91.158	-156.1514
962.000000	91.208	-155.2224
975.000000	91.270	-154.2475
988.000000	91.336	-153.3045
1000.000000	91.402	-152.4598
1015.000000	91.493	-151.4557
1030.000000	91.590	-150.4998
1044.000000	91.685	-149.6586
1060.000000	91.799	-148.7588
1075.000000	91.909	-147.9693
1090.000000	92.021	-147.2329
1106.000000	92.141	-146.5110
1120.000000	92.247	-145.9336
1138.000000	92.383	-145.2466
1150.000000	92.473	-144.8260
1172.000000	92.633	-144.1436
1180.000000	92.691	-143.9153
1206.000000	92.873	-143.2362
1220.000000	92.968	-142.9077
1241.000000	93.105	-142.4533
1250.000000	93.162	-142.2724
1265.000000	93.254	-141.9931
1280.000000	93.342	-141.7339
1315.000000	93.539	-141.1608
1320.000000	93.565	-141.0811
1340.000000	93.669	-140.7762
1360.000000	93.769	-140.4756
1380.000000	93.866	-140.1741
1400.000000	93.959	-139.8796
1430.000000	94.093	-139.4340
1450.000000	94.179	-139.1337
1475.000000	94.285	-138.7595
1500.000000	94.390	-138.3831
1525.000000	94.493	-137.9897
1550.000000	94.596	-137.5871
1575.000000	94.699	-137.1863
1600.000000	94.802	-136.7760
1625.000000	94.907	-136.3760
