* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:40:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak NobleW L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.954	-171.1392
20.600000	101.947	-171.6685
20.900000	101.937	-172.2368
21.200001	101.924	-172.8025
21.400000	101.917	-173.1771
21.799999	101.903	-173.9197
22.000000	101.897	-174.2872
22.400000	101.886	-175.0123
22.700001	101.877	-175.5466
23.000000	101.868	-176.0720
23.299999	101.856	-176.5879
23.600000	101.843	-177.0938
24.000000	101.824	-177.7536
24.299999	101.810	-178.2391
24.700001	101.793	-178.8784
25.000000	101.781	-179.3541
25.400000	101.765	-179.9824
25.799999	101.748	179.4033
26.200001	101.728	178.8132
26.500000	101.710	178.3898
26.900000	101.685	177.8472
27.200001	101.666	177.4499
27.600000	101.640	176.9211
28.000000	101.615	176.3852
28.500000	101.584	175.7061
29.000000	101.553	175.0317
29.500000	101.523	174.3787
30.000000	101.493	173.7540
30.400000	101.468	173.2729
30.700001	101.448	172.9207
31.100000	101.420	172.4590
31.500000	101.391	172.0034
32.000000	101.354	171.4417
32.500000	101.318	170.8908
33.000000	101.282	170.3517
33.500000	101.245	169.8222
34.000000	101.207	169.3021
34.500000	101.167	168.7969
35.000000	101.128	168.3088
35.500000	101.092	167.8300
36.000000	101.058	167.3523
36.500000	101.020	166.8811
37.000000	100.979	166.4272
37.500000	100.934	165.9856
38.200001	100.871	165.3503
38.700001	100.826	164.8803
39.500000	100.761	164.1591
40.000000	100.727	163.7446
40.599998	100.682	163.2950
41.200001	100.624	162.9502
41.799999	100.563	162.7219
42.500000	100.513	162.3983
43.099998	100.475	161.8895
43.700001	100.417	161.2559
44.400002	100.335	160.6506
45.000000	100.281	160.2794
45.500000	100.250	159.9673
46.200001	100.201	159.4757
46.799999	100.145	159.1007
47.500000	100.078	158.7377
48.200001	100.008	158.3192
48.700001	99.945	157.9821
49.400002	99.850	157.5643
50.000000	99.787	157.2797
50.799999	99.742	156.8751
51.500000	99.711	156.4636
52.200001	99.664	156.0860
53.000000	99.593	155.7224
53.799999	99.513	155.3603
54.500000	99.443	155.0339
55.200001	99.380	154.7256
56.000000	99.315	154.4018
57.000000	99.227	154.0239
58.000000	99.126	153.6653
59.000000	99.023	153.3018
60.000000	98.933	152.8898
60.799999	98.868	152.5455
61.500000	98.811	152.2799
62.200001	98.752	152.0554
63.000000	98.677	151.8300
64.000000	98.577	151.6072
65.000000	98.490	151.4147
66.000000	98.411	151.1524
67.000000	98.321	150.8928
68.000000	98.232	150.6739
69.000000	98.146	150.4515
70.000000	98.060	150.2482
71.000000	97.975	150.0685
72.000000	97.890	149.9008
73.000000	97.804	149.7514
74.000000	97.722	149.6120
75.000000	97.640	149.4599
76.199997	97.539	149.2999
77.500000	97.428	149.1288
78.800003	97.307	148.9442
80.000000	97.207	148.8730
81.199997	97.124	148.8306
82.500000	97.026	148.7607
83.800003	96.925	148.7102
85.000000	96.837	148.6722
