* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:41:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak NobleW R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.016	-165.5736
20.600000	102.015	-166.1452
20.900000	102.010	-166.7641
21.200001	102.004	-167.3868
21.400000	102.000	-167.8022
21.799999	101.994	-168.6298
22.000000	101.993	-169.0396
22.400000	101.992	-169.8456
22.700001	101.993	-170.4355
23.000000	101.993	-171.0115
23.299999	101.991	-171.5719
23.600000	101.986	-172.1145
24.000000	101.974	-172.8073
24.299999	101.964	-173.3054
24.700001	101.950	-173.9521
25.000000	101.941	-174.4352
25.400000	101.931	-175.0905
25.799999	101.920	-175.7604
26.200001	101.906	-176.4299
26.500000	101.893	-176.9178
26.900000	101.874	-177.5368
27.200001	101.860	-177.9772
27.600000	101.842	-178.5441
28.000000	101.825	-179.1054
28.500000	101.804	-179.8154
29.000000	101.780	179.4723
29.500000	101.755	178.7784
30.000000	101.731	178.1110
30.400000	101.711	177.5905
30.700001	101.696	177.2045
31.100000	101.674	176.6962
31.500000	101.649	176.1996
32.000000	101.617	175.6000
32.500000	101.588	175.0155
33.000000	101.562	174.4321
33.500000	101.535	173.8508
34.000000	101.505	173.2848
34.500000	101.471	172.7316
35.000000	101.434	172.1672
35.500000	101.394	171.5849
36.000000	101.352	171.0207
36.500000	101.321	170.5143
37.000000	101.310	170.0459
37.500000	101.314	169.5466
38.200001	101.300	168.7655
38.700001	101.254	168.2538
39.500000	101.147	167.6527
40.000000	101.086	167.3051
40.599998	101.026	166.7775
41.200001	100.973	166.1720
41.799999	100.929	165.6027
42.500000	100.891	165.0073
43.099998	100.855	164.5253
43.700001	100.807	164.0917
44.400002	100.745	163.6478
45.000000	100.698	163.2443
45.500000	100.661	162.8591
46.200001	100.605	162.2941
46.799999	100.555	161.8625
47.500000	100.504	161.4544
48.200001	100.459	161.0822
48.700001	100.423	160.7896
49.400002	100.358	160.3441
50.000000	100.293	159.9709
50.799999	100.217	159.4775
51.500000	100.165	158.9851
52.200001	100.111	158.4775
53.000000	100.045	158.0033
53.799999	99.984	157.6189
54.500000	99.933	157.2738
55.200001	99.876	156.9120
56.000000	99.801	156.5182
57.000000	99.702	156.0628
58.000000	99.615	155.5758
59.000000	99.535	155.1064
60.000000	99.454	154.7682
60.799999	99.385	154.5291
61.500000	99.318	154.2827
62.200001	99.251	154.0008
63.000000	99.183	153.6642
64.000000	99.106	153.2841
65.000000	99.022	152.9914
66.000000	98.926	152.7147
67.000000	98.831	152.3891
68.000000	98.748	152.0598
69.000000	98.674	151.7397
70.000000	98.592	151.4323
71.000000	98.503	151.1656
72.000000	98.421	150.9366
73.000000	98.351	150.6708
74.000000	98.279	150.3683
75.000000	98.206	150.1465
