* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:36:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak P03 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.895	-164.4152
20.600000	101.894	-164.9402
20.900000	101.889	-165.4948
21.200001	101.883	-166.0488
21.400000	101.880	-166.4233
21.799999	101.875	-167.1942
22.000000	101.873	-167.5911
22.400000	101.872	-168.3990
22.700001	101.871	-169.0067
23.000000	101.871	-169.6061
23.299999	101.871	-170.1900
23.600000	101.869	-170.7529
24.000000	101.864	-171.4638
24.299999	101.858	-171.9658
24.700001	101.849	-172.6001
25.000000	101.841	-173.0600
25.400000	101.831	-173.6711
25.799999	101.818	-174.2930
26.200001	101.804	-174.9234
26.500000	101.793	-175.3926
26.900000	101.779	-176.0031
27.200001	101.773	-176.4508
27.600000	101.770	-177.0484
28.000000	101.770	-177.6640
28.500000	101.765	-178.4580
29.000000	101.745	-179.2321
29.500000	101.713	-179.9284
30.000000	101.678	179.4593
30.400000	101.653	178.9989
30.700001	101.637	178.6526
31.100000	101.617	178.1805
31.500000	101.597	177.7002
32.000000	101.572	177.1041
32.500000	101.547	176.5206
33.000000	101.522	175.9445
33.500000	101.495	175.3728
34.000000	101.466	174.8131
34.500000	101.435	174.2714
35.000000	101.406	173.7440
35.500000	101.378	173.2245
36.000000	101.351	172.7126
36.500000	101.323	172.2128
37.000000	101.293	171.7256
37.500000	101.260	171.2437
38.200001	101.209	170.5634
38.700001	101.172	170.0762
39.500000	101.116	169.3268
40.000000	101.085	168.8891
40.599998	101.052	168.3819
41.200001	101.015	167.8716
41.799999	100.968	167.3563
42.500000	100.907	166.7775
43.099998	100.859	166.3135
43.700001	100.821	165.8640
44.400002	100.782	165.3303
45.000000	100.740	164.8651
45.500000	100.696	164.4891
46.200001	100.631	164.0084
46.799999	100.587	163.6311
47.500000	100.547	163.1934
48.200001	100.497	162.7889
48.700001	100.449	162.5651
49.400002	100.380	162.2906
50.000000	100.332	161.9348
50.799999	100.270	161.2109
51.500000	100.206	160.6225
