* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:37:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Prism L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.028	-171.2704
20.600000	102.022	-171.8097
20.900000	102.012	-172.3866
21.200001	102.000	-172.9601
21.400000	101.993	-173.3403
21.799999	101.981	-174.0965
22.000000	101.975	-174.4711
22.400000	101.964	-175.2067
22.700001	101.954	-175.7409
23.000000	101.944	-176.2574
23.299999	101.932	-176.7571
23.600000	101.918	-177.2436
24.000000	101.900	-177.8806
24.299999	101.885	-178.3550
24.700001	101.865	-178.9871
25.000000	101.850	-179.4602
25.400000	101.830	179.9140
25.799999	101.810	179.2995
26.200001	101.790	178.7008
26.500000	101.773	178.2639
26.900000	101.750	177.6979
27.200001	101.732	177.2849
27.600000	101.707	176.7459
28.000000	101.682	176.2143
28.500000	101.652	175.5514
29.000000	101.621	174.8882
29.500000	101.590	174.2358
30.000000	101.557	173.6095
30.400000	101.530	173.1306
30.700001	101.511	172.7809
31.100000	101.484	172.3203
31.500000	101.457	171.8597
32.000000	101.421	171.2844
32.500000	101.383	170.7206
33.000000	101.345	170.1787
33.500000	101.308	169.6563
34.000000	101.273	169.1436
34.500000	101.237	168.6359
35.000000	101.199	168.1378
35.500000	101.160	167.6541
36.000000	101.120	167.1829
36.500000	101.080	166.7184
37.000000	101.038	166.2576
37.500000	100.996	165.8011
38.200001	100.937	165.1688
38.700001	100.896	164.7201
39.500000	100.831	164.0146
40.000000	100.790	163.5931
40.599998	100.738	163.1194
41.200001	100.684	162.6805
41.799999	100.630	162.2556
42.500000	100.571	161.7421
43.099998	100.521	161.2940
43.700001	100.469	160.8717
44.400002	100.408	160.4131
45.000000	100.354	160.0141
45.500000	100.306	159.6740
46.200001	100.244	159.2093
46.799999	100.200	158.8185
47.500000	100.145	158.3968
48.200001	100.068	158.1519
48.700001	100.012	158.1035
49.400002	99.953	157.9849
50.000000	99.912	157.6154
50.799999	99.836	156.8369
51.500000	99.759	156.2338
52.200001	99.696	155.8127
53.000000	99.632	155.4366
53.799999	99.557	155.1190
54.500000	99.490	154.8482
55.200001	99.426	154.5391
56.000000	99.352	154.1619
57.000000	99.262	153.7092
58.000000	99.167	153.3053
59.000000	99.067	152.9575
60.000000	98.966	152.6401
60.799999	98.893	152.3742
61.500000	98.833	152.1223
62.200001	98.771	151.8875
63.000000	98.698	151.6446
64.000000	98.603	151.3036
65.000000	98.505	150.9682
66.000000	98.418	150.7233
67.000000	98.334	150.5872
68.000000	98.245	150.4482
69.000000	98.146	150.1759
70.000000	98.053	149.9638
71.000000	97.995	149.8798
72.000000	97.934	149.7689
73.000000	97.837	149.7188
74.000000	97.749	149.7288
75.000000	97.677	149.6429
76.199997	97.559	149.4184
77.500000	97.402	149.1922
78.800003	97.325	149.0381
80.000000	97.271	148.9992
81.199997	97.187	149.0013
82.500000	97.064	148.7380
83.800003	96.948	148.5743
85.000000	96.842	148.4843
86.199997	96.731	148.5117
