* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:38:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Prism R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.121	-165.1547
20.600000	102.120	-165.7174
20.900000	102.117	-166.3253
21.200001	102.112	-166.9384
21.400000	102.109	-167.3495
21.799999	102.104	-168.1735
22.000000	102.101	-168.5824
22.400000	102.098	-169.3822
22.700001	102.096	-169.9607
23.000000	102.094	-170.5204
23.299999	102.092	-171.0649
23.600000	102.090	-171.5986
24.000000	102.085	-172.2992
24.299999	102.079	-172.8171
24.700001	102.068	-173.4957
25.000000	102.058	-173.9944
25.400000	102.046	-174.6467
25.799999	102.033	-175.2876
26.200001	102.019	-175.9190
26.500000	102.008	-176.3859
26.900000	101.993	-176.9975
27.200001	101.981	-177.4474
27.600000	101.964	-178.0368
28.000000	101.948	-178.6162
28.500000	101.926	-179.3267
29.000000	101.903	179.9816
29.500000	101.880	179.3096
30.000000	101.857	178.6517
30.400000	101.838	178.1307
30.700001	101.823	177.7425
31.100000	101.802	177.2294
31.500000	101.781	176.7227
32.000000	101.754	176.0986
32.500000	101.725	175.4852
33.000000	101.695	174.8887
33.500000	101.664	174.3168
34.000000	101.634	173.7675
34.500000	101.605	173.2276
35.000000	101.576	172.6855
35.500000	101.545	172.1431
36.000000	101.512	171.6124
36.500000	101.477	171.1023
37.000000	101.443	170.6109
37.500000	101.411	170.1304
38.200001	101.364	169.4681
38.700001	101.329	169.0064
39.500000	101.269	168.2975
40.000000	101.232	167.8667
40.599998	101.189	167.3447
41.200001	101.146	166.8099
41.799999	101.101	166.2767
42.500000	101.044	165.6857
43.099998	100.996	165.2114
43.700001	100.950	164.7537
44.400002	100.900	164.2272
45.000000	100.856	163.7895
45.500000	100.818	163.4420
46.200001	100.762	162.9656
46.799999	100.714	162.5297
47.500000	100.655	161.9881
48.200001	100.600	161.4952
48.700001	100.571	161.1973
49.400002	100.542	160.7907
50.000000	100.508	160.4006
50.799999	100.427	159.8935
51.500000	100.343	159.5311
52.200001	100.273	159.1728
53.000000	100.209	158.6943
53.799999	100.146	158.2167
54.500000	100.086	157.8498
55.200001	100.022	157.5186
56.000000	99.953	157.1502
57.000000	99.871	156.6779
58.000000	99.790	156.2247
59.000000	99.705	155.7596
60.000000	99.618	155.2709
60.799999	99.548	154.9109
61.500000	99.488	154.6301
62.200001	99.427	154.3572
63.000000	99.355	154.0436
64.000000	99.272	153.6816
65.000000	99.198	153.3217
66.000000	99.116	152.9962
67.000000	99.033	152.7050
68.000000	98.944	152.4775
69.000000	98.859	152.2203
70.000000	98.771	151.8150
71.000000	98.699	151.4736
72.000000	98.633	151.2340
73.000000	98.552	151.0413
74.000000	98.470	150.6881
75.000000	98.412	150.6469
76.199997	98.401	150.9484
77.500000	98.252	150.9668
78.800003	98.084	150.4243
80.000000	97.965	149.9465
81.199997	97.894	149.9095
82.500000	97.776	149.6543
83.800003	97.671	149.4847
85.000000	97.583	149.2924
86.199997	97.490	149.1816
87.500000	97.414	149.0545
88.500000	97.345	148.9623
90.000000	97.234	149.0055
91.199997	97.161	148.9614
92.500000	97.048	148.8211
93.800003	96.935	148.8326
95.000000	96.859	148.7894
96.199997	96.774	148.7626
97.500000	96.698	148.8000
98.800003	96.642	148.7623
100.000000	96.548	148.7903
101.500000	96.371	149.1629
103.000000	96.289	149.3572
104.400002	96.231	149.4271
106.000000	96.154	150.1222
107.500000	96.131	150.1653
109.000000	96.055	149.6752
110.599998	95.935	149.8893
112.000000	95.872	150.1009
113.800003	95.810	150.0693
115.000000	95.740	150.1096
117.199997	95.592	150.4156
118.000000	95.557	150.5237
120.599998	95.455	150.6555
122.000000	95.383	150.5482
124.099998	95.266	150.5842
125.000000	95.220	150.7564
