* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:53:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Propeller L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.085	-171.0503
20.600000	102.077	-171.5720
20.900000	102.066	-172.1271
21.200001	102.055	-172.6771
21.400000	102.048	-173.0419
21.799999	102.037	-173.7710
22.000000	102.033	-174.1355
22.400000	102.025	-174.8620
22.700001	102.017	-175.4008
23.000000	102.008	-175.9316
23.299999	101.997	-176.4527
23.600000	101.985	-176.9635
24.000000	101.965	-177.6292
24.299999	101.950	-178.1181
24.700001	101.929	-178.7578
25.000000	101.914	-179.2292
25.400000	101.894	-179.8473
25.799999	101.874	179.5471
26.200001	101.853	178.9558
26.500000	101.835	178.5234
26.900000	101.811	177.9633
27.200001	101.793	177.5547
27.600000	101.770	177.0212
28.000000	101.750	176.4929
28.500000	101.726	175.8285
29.000000	101.701	175.1580
29.500000	101.671	174.4969
30.000000	101.634	173.8663
30.400000	101.602	173.3886
30.700001	101.578	173.0422
31.100000	101.548	172.5870
31.500000	101.520	172.1307
32.000000	101.486	171.5560
32.500000	101.453	170.9881
33.000000	101.418	170.4427
33.500000	101.382	169.9237
34.000000	101.344	169.4235
34.500000	101.305	168.9330
35.000000	101.265	168.4491
35.500000	101.226	167.9731
36.000000	101.188	167.5060
36.500000	101.151	167.0483
37.000000	101.114	166.5999
37.500000	101.074	166.1599
38.200001	101.014	165.5528
38.700001	100.971	165.1246
39.500000	100.902	164.4576
40.000000	100.861	164.0547
40.599998	100.811	163.5839
41.200001	100.761	163.1248
41.799999	100.710	162.6688
42.500000	100.651	162.1228
43.099998	100.598	161.6588
43.700001	100.544	161.2348
44.400002	100.484	160.7862
45.000000	100.432	160.4005
45.500000	100.385	160.0786
46.200001	100.318	159.6539
46.799999	100.268	159.2881
