* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:20:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.255	-164.7320
20.600000	102.256	-165.3310
20.900000	102.251	-165.9620
21.200001	102.243	-166.5737
21.400000	102.238	-166.9717
21.799999	102.233	-167.7566
22.000000	102.232	-168.1480
22.400000	102.232	-168.9317
22.700001	102.231	-169.5140
23.000000	102.228	-170.0821
23.299999	102.222	-170.6279
23.600000	102.215	-171.1487
24.000000	102.204	-171.8119
24.299999	102.197	-172.2988
24.700001	102.188	-172.9551
25.000000	102.181	-173.4612
25.400000	102.169	-174.1524
25.799999	102.154	-174.8443
26.200001	102.135	-175.5119
26.500000	102.121	-175.9863
26.900000	102.103	-176.5829
27.200001	102.092	-177.0098
27.600000	102.080	-177.5656
28.000000	102.069	-178.1183
28.500000	102.055	-178.8119
29.000000	102.039	-179.5037
29.500000	102.020	179.8141
30.000000	101.998	179.1472
30.400000	101.978	178.6285
30.700001	101.963	178.2501
31.100000	101.941	177.7600
31.500000	101.919	177.2823
32.000000	101.892	176.6891
32.500000	101.867	176.0862
33.000000	101.840	175.4728
33.500000	101.810	174.8674
34.000000	101.778	174.2936
34.500000	101.746	173.7609
35.000000	101.715	173.2550
35.500000	101.685	172.7514
36.000000	101.653	172.2359
36.500000	101.619	171.7141
37.000000	101.584	171.1985
37.500000	101.552	170.6924
38.200001	101.512	169.9921
38.700001	101.482	169.5041
39.500000	101.427	168.7802
40.000000	101.389	168.3621
40.599998	101.339	167.8704
41.200001	101.288	167.3771
41.799999	101.238	166.8856
42.500000	101.188	166.3091
43.099998	101.146	165.8137
43.700001	101.102	165.3457
44.400002	101.049	164.8562
45.000000	101.008	164.4488
45.500000	100.976	164.0888
46.200001	100.927	163.5620
46.799999	100.882	163.1280
47.500000	100.825	162.6690
48.200001	100.765	162.2506
48.700001	100.721	161.9598
49.400002	100.662	161.5345
50.000000	100.614	161.1423
50.799999	100.551	160.6191
51.500000	100.497	160.2028
52.200001	100.445	159.8177
53.000000	100.382	159.3834
53.799999	100.315	158.9524
54.500000	100.254	158.5856
55.200001	100.194	158.2288
56.000000	100.128	157.8263
57.000000	100.050	157.3274
58.000000	99.973	156.8739
59.000000	99.890	156.4823
60.000000	99.802	156.0616
60.799999	99.732	155.6829
61.500000	99.673	155.3654
62.200001	99.619	155.0957
63.000000	99.557	154.8451
64.000000	99.475	154.5582
65.000000	99.390	154.2487
66.000000	99.306	153.9367
67.000000	99.223	153.6381
68.000000	99.142	153.3417
69.000000	99.063	153.0439
70.000000	98.987	152.7505
71.000000	98.909	152.4794
72.000000	98.829	152.2341
73.000000	98.748	152.0009
74.000000	98.664	151.7876
75.000000	98.584	151.5948
76.199997	98.492	151.3540
77.500000	98.389	151.1215
78.800003	98.287	150.9308
80.000000	98.196	150.7582
81.199997	98.107	150.5758
82.500000	98.010	150.3969
83.800003	97.913	150.2556
85.000000	97.824	150.1490
86.199997	97.735	150.0419
87.500000	97.640	149.9389
88.500000	97.570	149.8673
90.000000	97.465	149.7790
91.199997	97.381	149.7287
92.500000	97.292	149.6844
93.800003	97.202	149.6428
95.000000	97.121	149.6169
96.199997	97.042	149.6014
97.500000	96.959	149.5958
