* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:38:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak RDMZ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.315	-170.8451
20.600000	102.308	-171.3707
20.900000	102.297	-171.9328
21.200001	102.286	-172.4933
21.400000	102.280	-172.8663
21.799999	102.270	-173.6107
22.000000	102.266	-173.9799
22.400000	102.257	-174.7048
22.700001	102.249	-175.2325
23.000000	102.238	-175.7468
23.299999	102.226	-176.2512
23.600000	102.212	-176.7501
24.000000	102.191	-177.4112
24.299999	102.175	-177.9035
24.700001	102.157	-178.5513
25.000000	102.147	-179.0295
25.400000	102.139	-179.6596
25.799999	102.136	179.7145
26.200001	102.131	179.0960
26.500000	102.123	178.6460
26.900000	102.104	178.0811
27.200001	102.083	177.6904
27.600000	102.051	177.2084
28.000000	102.018	176.7469
28.500000	101.979	176.1530
29.000000	101.941	175.5173
29.500000	101.904	174.8643
30.000000	101.869	174.2311
30.400000	101.844	173.7451
30.700001	101.826	173.3871
31.100000	101.803	172.9111
31.500000	101.777	172.4367
32.000000	101.740	171.8585
32.500000	101.702	171.3087
33.000000	101.666	170.7802
33.500000	101.632	170.2558
34.000000	101.599	169.7303
34.500000	101.563	169.2149
35.000000	101.525	168.7195
35.500000	101.487	168.2411
36.000000	101.449	167.7709
36.500000	101.411	167.3068
37.000000	101.372	166.8536
37.500000	101.332	166.4135
38.200001	101.277	165.8085
38.700001	101.237	165.3771
39.500000	101.173	164.6950
40.000000	101.134	164.2816
40.599998	101.085	163.8027
41.200001	101.035	163.3464
41.799999	100.984	162.9130
42.500000	100.925	162.4168
43.099998	100.875	161.9804
43.700001	100.824	161.5414
44.400002	100.764	161.0513
45.000000	100.714	160.6463
45.500000	100.672	160.3085
46.200001	100.610	159.8463
46.799999	100.556	159.4785
47.500000	100.498	159.0647
48.200001	100.436	158.6473
48.700001	100.386	158.3725
49.400002	100.315	158.0471
50.000000	100.263	157.7773
50.799999	100.202	157.3268
51.500000	100.143	156.8776
52.200001	100.081	156.4608
53.000000	100.011	156.0328
53.799999	99.941	155.6375
54.500000	99.878	155.3351
55.200001	99.818	155.0586
56.000000	99.749	154.7323
57.000000	99.660	154.3000
58.000000	99.573	153.8342
59.000000	99.482	153.4056
60.000000	99.392	153.1301
60.799999	99.326	152.9288
61.500000	99.266	152.6986
62.200001	99.200	152.4466
63.000000	99.125	152.1797
64.000000	99.037	151.8807
65.000000	98.953	151.6064
66.000000	98.867	151.3619
67.000000	98.780	151.1228
68.000000	98.693	150.8722
69.000000	98.606	150.6398
70.000000	98.521	150.4466
71.000000	98.435	150.2755
72.000000	98.350	150.0946
73.000000	98.268	149.9004
74.000000	98.189	149.7278
75.000000	98.107	149.5978
76.199997	98.008	149.4387
77.500000	97.901	149.2460
78.800003	97.800	149.1193
80.000000	97.704	149.0088
81.199997	97.604	148.8866
82.500000	97.502	148.7703
83.800003	97.403	148.6561
85.000000	97.310	148.5789
86.199997	97.223	148.5519
87.500000	97.127	148.5448
88.500000	97.052	148.5488
90.000000	96.941	148.5472
91.199997	96.851	148.5165
92.500000	96.757	148.4601
93.800003	96.675	148.4254
95.000000	96.597	148.4798
96.199997	96.512	148.6405
97.500000	96.419	148.8533
98.800003	96.330	149.0523
100.000000	96.259	149.1585
101.500000	96.166	149.1743
103.000000	96.066	149.1840
104.400002	95.982	149.1733
106.000000	95.893	149.2834
107.500000	95.796	149.4981
109.000000	95.704	149.6723
110.599998	95.626	149.8940
112.000000	95.555	150.1015
113.800003	95.457	150.3303
115.000000	95.396	150.4930
117.199997	95.286	150.7893
118.000000	95.245	150.9140
120.599998	95.128	151.3763
122.000000	95.070	151.6092
124.099998	94.983	151.8472
125.000000	94.945	151.9551
126.500000	94.883	152.2758
128.000000	94.824	152.7137
131.500000	94.707	153.4995
132.000000	94.692	153.5607
134.000000	94.642	153.7314
136.000000	94.598	153.9175
138.000000	94.555	154.1577
140.000000	94.512	154.4630
143.000000	94.422	154.9930
145.000000	94.346	155.1684
147.500000	94.254	155.4509
150.000000	94.177	155.9174
152.500000	94.125	156.2272
155.000000	94.074	156.5787
157.500000	94.005	156.9121
160.000000	93.944	157.2494
162.500000	93.892	157.6334
165.000000	93.847	158.0243
167.500000	93.793	158.4984
170.000000	93.744	158.9126
172.500000	93.701	159.3331
175.000000	93.651	159.7551
177.500000	93.610	160.1321
180.000000	93.578	160.4984
182.500000	93.557	160.9068
185.000000	93.536	161.2878
187.500000	93.512	161.5955
190.000000	93.489	161.8719
192.500000	93.467	162.1591
195.000000	93.443	162.4457
197.500000	93.417	162.7189
200.000000	93.392	162.9964
203.000000	93.366	163.3442
206.000000	93.342	163.6579
209.000000	93.317	163.9900
212.000000	93.293	164.3254
214.000000	93.278	164.5311
218.000000	93.247	164.9275
220.000000	93.232	165.1255
224.000000	93.204	165.5318
227.000000	93.183	165.8439
230.000000	93.160	166.1699
233.000000	93.141	166.5279
236.000000	93.133	166.8970
240.000000	93.135	167.3345
243.000000	93.139	167.5793
247.000000	93.137	167.8307
250.000000	93.125	168.0140
254.000000	93.099	168.2543
258.000000	93.079	168.5097
262.000000	93.064	168.7896
265.000000	93.053	169.0015
269.000000	93.037	169.2622
272.000000	93.025	169.4538
276.000000	93.011	169.7098
280.000000	92.999	169.9788
285.000000	92.987	170.3254
290.000000	92.971	170.6237
295.000000	92.957	170.9056
300.000000	92.942	171.2234
304.000000	92.927	171.4459
307.000000	92.918	171.6100
311.000000	92.911	171.8410
315.000000	92.905	172.0746
320.000000	92.897	172.3218
325.000000	92.886	172.5637
330.000000	92.872	172.8047
335.000000	92.859	173.0413
340.000000	92.847	173.2665
345.000000	92.835	173.4866
350.000000	92.826	173.7016
355.000000	92.816	173.9434
360.000000	92.806	174.1553
365.000000	92.794	174.3457
370.000000	92.782	174.5488
375.000000	92.770	174.7566
382.000000	92.754	175.0324
387.000000	92.741	175.2172
395.000000	92.721	175.4994
400.000000	92.709	175.6767
406.000000	92.694	175.9011
412.000000	92.678	176.1267
418.000000	92.661	176.3534
425.000000	92.643	176.6059
431.000000	92.628	176.8157
437.000000	92.611	177.0183
444.000000	92.592	177.2606
450.000000	92.576	177.4717
455.000000	92.561	177.6414
462.000000	92.540	177.8788
468.000000	92.523	178.0848
475.000000	92.502	178.3279
482.000000	92.480	178.5737
487.000000	92.465	178.7507
494.000000	92.444	178.9998
500.000000	92.425	179.2118
508.000000	92.400	179.4831
515.000000	92.378	179.7257
522.000000	92.356	179.9742
530.000000	92.330	-179.7495
538.000000	92.304	-179.4747
545.000000	92.282	-179.2303
552.000000	92.258	-178.9792
560.000000	92.227	-178.6808
570.000000	92.190	-178.3014
580.000000	92.153	-177.9174
590.000000	92.117	-177.5243
600.000000	92.081	-177.1216
608.000000	92.051	-176.7978
615.000000	92.025	-176.5128
622.000000	92.000	-176.2174
630.000000	91.970	-175.8707
640.000000	91.932	-175.4265
650.000000	91.895	-174.9649
660.000000	91.857	-174.4949
670.000000	91.821	-174.0087
680.000000	91.787	-173.5064
690.000000	91.754	-172.9954
700.000000	91.723	-172.4756
710.000000	91.690	-171.9444
720.000000	91.658	-171.4041
730.000000	91.627	-170.8514
740.000000	91.598	-170.2830
750.000000	91.568	-169.6948
762.000000	91.535	-168.9718
775.000000	91.502	-168.1566
788.000000	91.473	-167.3077
800.000000	91.449	-166.4994
812.000000	91.429	-165.6757
825.000000	91.413	-164.7567
838.000000	91.403	-163.8203
850.000000	91.398	-162.9411
862.000000	91.401	-162.0474
875.000000	91.410	-161.0662
885.000000	91.421	-160.3025
900.000000	91.447	-159.1603
912.000000	91.473	-158.2494
925.000000	91.510	-157.2681
938.000000	91.555	-156.2992
950.000000	91.603	-155.4161
962.000000	91.655	-154.5452
975.000000	91.718	-153.6319
988.000000	91.788	-152.7473
1000.000000	91.857	-151.9553
1015.000000	91.950	-151.0088
1030.000000	92.050	-150.1120
1044.000000	92.146	-149.3208
1060.000000	92.262	-148.4718
1075.000000	92.373	-147.7301
1090.000000	92.485	-147.0414
1106.000000	92.608	-146.3649
1120.000000	92.717	-145.8232
1138.000000	92.855	-145.1893
1150.000000	92.947	-144.8040
1172.000000	93.113	-144.1734
1180.000000	93.172	-143.9672
1206.000000	93.357	-143.3581
1220.000000	93.454	-143.0632
1241.000000	93.594	-142.6709
1250.000000	93.652	-142.5173
1265.000000	93.747	-142.2724
1280.000000	93.838	-142.0421
1315.000000	94.039	-141.5509
1320.000000	94.066	-141.4854
1340.000000	94.173	-141.2317
1360.000000	94.275	-140.9888
1380.000000	94.374	-140.7517
1400.000000	94.469	-140.5153
1430.000000	94.607	-140.1537
1450.000000	94.695	-139.9042
1475.000000	94.803	-139.5904
1500.000000	94.911	-139.2694
1525.000000	95.018	-138.9496
1550.000000	95.125	-138.6248
1575.000000	95.232	-138.2997
1600.000000	95.338	-137.9743
1625.000000	95.446	-137.6520
1650.000000	95.555	-137.3324
1675.000000	95.665	-137.0137
1700.000000	95.775	-136.6997
1725.000000	95.888	-136.3961
1750.000000	96.001	-136.1016
1775.000000	96.117	-135.8179
1800.000000	96.233	-135.5442
1825.000000	96.351	-135.2813
1850.000000	96.470	-135.0283
1875.000000	96.591	-134.7879
1900.000000	96.713	-134.5604
1925.000000	96.838	-134.3445
1950.000000	96.964	-134.1407
1975.000000	97.092	-133.9525
2000.000000	97.223	-133.7809
2030.000000	97.383	-133.5977
2060.000000	97.547	-133.4471
2090.000000	97.714	-133.3316
2120.000000	97.885	-133.2541
2140.000000	98.001	-133.2275
