* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:24:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak SE100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.237	-170.9124
20.600000	102.228	-171.4302
20.900000	102.216	-171.9812
21.200001	102.203	-172.5307
21.400000	102.196	-172.8982
21.799999	102.185	-173.6393
22.000000	102.179	-174.0114
22.400000	102.169	-174.7492
22.700001	102.159	-175.2879
23.000000	102.147	-175.8078
23.299999	102.133	-176.3069
23.600000	102.119	-176.7877
24.000000	102.100	-177.4106
24.299999	102.088	-177.8740
24.700001	102.073	-178.4993
25.000000	102.062	-178.9760
25.400000	102.048	-179.6145
25.799999	102.031	179.7621
26.200001	102.010	179.1726
26.500000	101.993	178.7563
26.900000	101.970	178.2264
27.200001	101.952	177.8368
27.600000	101.926	177.3128
28.000000	101.899	176.7789
28.500000	101.863	176.1099
29.000000	101.829	175.4607
29.500000	101.801	174.8380
30.000000	101.778	174.2306
30.400000	101.760	173.7484
30.700001	101.745	173.3883
31.100000	101.723	172.9125
31.500000	101.698	172.4443
32.000000	101.663	171.8729
32.500000	101.627	171.3189
33.000000	101.591	170.7839
33.500000	101.555	170.2687
34.000000	101.518	169.7731
34.500000	101.479	169.2928
35.000000	101.440	168.8129
35.500000	101.402	168.3105
36.000000	101.365	167.7745
36.500000	101.326	167.2268
37.000000	101.284	166.7141
37.500000	101.242	166.2704
38.200001	101.192	165.7361
38.700001	101.160	165.3530
39.500000	101.100	164.6816
40.000000	101.056	164.2561
40.599998	101.002	163.7745
41.200001	100.951	163.3222
41.799999	100.901	162.8893
42.500000	100.841	162.4094
43.099998	100.791	162.0038
43.700001	100.743	161.5782
44.400002	100.688	161.0697
45.000000	100.639	160.6650
45.500000	100.597	160.3543
46.200001	100.536	159.9238
46.799999	100.479	159.5397
47.500000	100.415	159.0743
48.200001	100.362	158.5764
48.700001	100.325	158.2179
49.400002	100.263	157.8006
50.000000	100.206	157.5624
50.799999	100.134	157.2828
51.500000	100.069	156.9432
52.200001	100.001	156.5556
53.000000	99.933	156.1384
53.799999	99.871	155.7328
54.500000	99.809	155.3997
55.200001	99.743	155.0975
56.000000	99.668	154.7439
57.000000	99.571	154.3252
58.000000	99.483	153.9922
59.000000	99.394	153.6232
60.000000	99.295	153.2756
60.799999	99.225	153.0216
61.500000	99.172	152.7578
62.200001	99.118	152.4748
63.000000	99.049	152.1886
64.000000	98.958	151.8949
65.000000	98.862	151.6165
66.000000	98.769	151.3330
67.000000	98.683	151.0681
68.000000	98.599	150.8265
69.000000	98.512	150.6139
70.000000	98.427	150.4344
71.000000	98.347	150.2425
72.000000	98.264	150.0364
73.000000	98.178	149.8448
74.000000	98.094	149.6758
75.000000	98.010	149.5314
76.199997	97.904	149.3925
77.500000	97.791	149.2662
78.800003	97.687	149.1122
80.000000	97.586	148.9778
81.199997	97.483	148.8555
82.500000	97.381	148.7647
83.800003	97.280	148.7417
85.000000	97.184	148.7034
86.199997	97.096	148.6528
87.500000	97.008	148.7251
88.500000	96.935	148.8670
90.000000	96.830	148.8965
91.199997	96.729	148.8266
92.500000	96.618	148.9075
93.800003	96.548	149.0522
95.000000	96.509	149.2502
96.199997	96.444	149.3113
97.500000	96.366	149.2165
