* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:26:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak SE100 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.046	-163.9895
20.600000	102.049	-164.5571
20.900000	102.048	-165.1655
21.200001	102.045	-165.7767
21.400000	102.043	-166.1890
21.799999	102.041	-167.0322
22.000000	102.041	-167.4622
22.400000	102.039	-168.3251
22.700001	102.037	-168.9576
23.000000	102.034	-169.5631
23.299999	102.031	-170.1341
23.600000	102.027	-170.6703
24.000000	102.022	-171.3396
24.299999	102.018	-171.8150
24.700001	102.011	-172.4215
25.000000	102.007	-172.8604
25.400000	102.004	-173.4361
25.799999	102.007	-174.0236
26.200001	102.012	-174.6460
26.500000	102.014	-175.1358
26.900000	102.004	-175.7897
27.200001	101.986	-176.2469
27.600000	101.951	-176.7673
28.000000	101.911	-177.1772
28.500000	101.873	-177.6209
29.000000	101.854	-178.1577
29.500000	101.843	-178.8907
30.000000	101.826	-179.7583
30.400000	101.808	179.5482
30.700001	101.796	179.0666
31.100000	101.785	178.4856
31.500000	101.778	177.9589
32.000000	101.766	177.3447
32.500000	101.741	176.7702
33.000000	101.704	176.2362
33.500000	101.667	175.7167
34.000000	101.637	175.1676
34.500000	101.612	174.5757
35.000000	101.588	173.9779
35.500000	101.562	173.4240
36.000000	101.534	172.9302
36.500000	101.503	172.4728
37.000000	101.468	172.0178
37.500000	101.431	171.5469
38.200001	101.381	170.8658
38.700001	101.349	170.3784
39.500000	101.305	169.6244
40.000000	101.276	169.1749
40.599998	101.237	168.6506
41.200001	101.192	168.1347
41.799999	101.144	167.6326
42.500000	101.092	167.0787
43.099998	101.054	166.6260
43.700001	101.017	166.1794
44.400002	100.968	165.6600
45.000000	100.924	165.2114
45.500000	100.888	164.8294
46.200001	100.840	164.2971
46.799999	100.801	163.8744
47.500000	100.754	163.4278
48.200001	100.695	163.0068
48.700001	100.645	162.7263
49.400002	100.578	162.3587
50.000000	100.535	162.0091
50.799999	100.491	161.4236
51.500000	100.442	160.8999
52.200001	100.383	160.4811
53.000000	100.319	160.0836
53.799999	100.257	159.6876
54.500000	100.202	159.3541
55.200001	100.151	159.0276
56.000000	100.092	158.6122
57.000000	100.009	158.0817
58.000000	99.931	157.7277
59.000000	99.872	157.4000
60.000000	99.786	156.9114
60.799999	99.704	156.5198
61.500000	99.645	156.1955
62.200001	99.594	155.8715
63.000000	99.535	155.5399
64.000000	99.452	155.1884
65.000000	99.363	154.8445
66.000000	99.284	154.5176
67.000000	99.212	154.1819
68.000000	99.133	153.8478
69.000000	99.053	153.5381
70.000000	98.975	153.2283
71.000000	98.892	152.9289
72.000000	98.808	152.6756
73.000000	98.732	152.4348
74.000000	98.658	152.1884
75.000000	98.578	151.9914
76.199997	98.487	151.7725
77.500000	98.396	151.5162
78.800003	98.300	151.3375
80.000000	98.199	151.1838
81.199997	98.102	151.0263
82.500000	98.012	150.8513
