* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:11:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.740	-164.7300
20.600000	101.740	-165.2555
20.900000	101.741	-165.8114
21.200001	101.743	-166.3714
21.400000	101.745	-166.7536
21.799999	101.752	-167.5465
22.000000	101.754	-167.9541
22.400000	101.756	-168.7700
22.700001	101.754	-169.3636
23.000000	101.751	-169.9311
23.299999	101.749	-170.4738
23.600000	101.749	-171.0006
24.000000	101.749	-171.6950
24.299999	101.747	-172.2140
24.700001	101.738	-172.8918
25.000000	101.725	-173.3762
25.400000	101.703	-173.9798
25.799999	101.679	-174.5479
26.200001	101.656	-175.1151
26.500000	101.639	-175.5592
26.900000	101.618	-176.1827
27.200001	101.603	-176.6644
27.600000	101.584	-177.3020
28.000000	101.571	-177.9152
28.500000	101.563	-178.6429
29.000000	101.558	-179.3386
29.500000	101.543	179.9994
30.000000	101.516	179.3832
30.400000	101.489	178.9164
30.700001	101.468	178.5682
31.100000	101.442	178.0901
31.500000	101.418	177.5895
32.000000	101.389	176.9530
32.500000	101.361	176.3463
33.000000	101.334	175.7931
33.500000	101.309	175.2784
34.000000	101.283	174.7691
34.500000	101.254	174.2418
35.000000	101.221	173.6944
35.500000	101.186	173.1438
36.000000	101.150	172.6156
36.500000	101.115	172.1262
37.000000	101.082	171.6689
37.500000	101.051	171.2189
38.200001	101.008	170.5695
38.700001	100.975	170.0992
39.500000	100.925	169.3676
40.000000	100.894	168.9257
40.599998	100.852	168.4154
41.200001	100.803	167.9383
41.799999	100.753	167.4823
42.500000	100.700	166.9299
43.099998	100.658	166.4370
43.700001	100.619	165.9668
44.400002	100.575	165.4677
45.000000	100.535	165.0490
45.500000	100.497	164.6915
46.200001	100.435	164.2036
46.799999	100.383	163.8229
47.500000	100.331	163.4086
48.200001	100.280	162.9976
48.700001	100.237	162.7126
49.400002	100.169	162.3402
50.000000	100.110	162.0251
50.799999	100.040	161.5568
51.500000	99.986	161.1151
52.200001	99.938	160.6978
53.000000	99.883	160.2765
53.799999	99.825	159.8852
54.500000	99.766	159.5281
55.200001	99.700	159.1678
56.000000	99.623	158.8311
57.000000	99.557	158.4713
58.000000	99.495	157.9867
59.000000	99.405	157.5277
60.000000	99.316	157.1287
60.799999	99.250	156.8157
61.500000	99.195	156.6027
62.200001	99.145	156.4262
63.000000	99.084	156.1909
64.000000	98.996	155.8231
65.000000	98.907	155.4432
66.000000	98.824	155.1107
