* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:47:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Sonic L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.244	-171.3200
20.600000	102.238	-171.8457
20.900000	102.229	-172.4117
21.200001	102.217	-172.9780
21.400000	102.208	-173.3543
21.799999	102.191	-174.1010
22.000000	102.183	-174.4696
22.400000	102.169	-175.1937
22.700001	102.159	-175.7249
23.000000	102.149	-176.2466
23.299999	102.139	-176.7585
23.600000	102.128	-177.2588
24.000000	102.112	-177.9028
24.299999	102.099	-178.3672
24.700001	102.083	-178.9671
25.000000	102.071	-179.4120
25.400000	102.056	179.9864
25.799999	102.038	179.3665
26.200001	102.014	178.7341
26.500000	101.992	178.2620
26.900000	101.960	177.6497
27.200001	101.936	177.2078
27.600000	101.908	176.6391
28.000000	101.885	176.0843
28.500000	101.864	175.3974
29.000000	101.845	174.7178
29.500000	101.822	174.0599
30.000000	101.790	173.4401
30.400000	101.759	172.9769
30.700001	101.734	172.6472
31.100000	101.698	172.2244
31.500000	101.663	171.8094
32.000000	101.623	171.2832
32.500000	101.586	170.7379
33.000000	101.552	170.1812
33.500000	101.517	169.6316
34.000000	101.482	169.1044
34.500000	101.445	168.6031
35.000000	101.407	168.1219
35.500000	101.370	167.6511
36.000000	101.331	167.1819
36.500000	101.291	166.7112
37.000000	101.250	166.2423
37.500000	101.207	165.7808
38.200001	101.147	165.1501
38.700001	101.104	164.7062
39.500000	101.037	164.0130
40.000000	100.995	163.6062
40.599998	100.946	163.1538
41.200001	100.898	162.7227
41.799999	100.849	162.2852
42.500000	100.785	161.7562
43.099998	100.727	161.3018
43.700001	100.670	160.8590
44.400002	100.607	160.3612
45.000000	100.554	159.9503
45.500000	100.510	159.6173
46.200001	100.444	159.1630
46.799999	100.389	158.7867
47.500000	100.332	158.3545
48.200001	100.281	157.9080
48.700001	100.240	157.5917
49.400002	100.170	157.2073
50.000000	100.107	156.9455
50.799999	100.030	156.5887
51.500000	99.967	156.2006
52.200001	99.902	155.8055
53.000000	99.828	155.4218
53.799999	99.756	155.0691
54.500000	99.692	154.7613
55.200001	99.629	154.4689
56.000000	99.560	154.1511
57.000000	99.470	153.7696
58.000000	99.370	153.4057
59.000000	99.274	153.0290
60.000000	99.186	152.6468
60.799999	99.119	152.3666
61.500000	99.059	152.1392
62.200001	98.998	151.9044
63.000000	98.927	151.6151
64.000000	98.834	151.2815
65.000000	98.746	151.0381
66.000000	98.662	150.8292
67.000000	98.575	150.5939
68.000000	98.485	150.3528
69.000000	98.397	150.1470
70.000000	98.312	149.9623
71.000000	98.227	149.7428
72.000000	98.139	149.5094
73.000000	98.051	149.3499
74.000000	97.967	149.2606
75.000000	97.883	149.1501
76.199997	97.780	148.9661
77.500000	97.677	148.7969
78.800003	97.573	148.6744
80.000000	97.468	148.5927
81.199997	97.371	148.5041
82.500000	97.269	148.4176
83.800003	97.166	148.3539
85.000000	97.072	148.3100
86.199997	96.982	148.2872
87.500000	96.884	148.2721
88.500000	96.808	148.2609
90.000000	96.697	148.2463
91.199997	96.610	148.2571
