* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:48:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Sonic R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.223	-165.0339
20.600000	102.203	-165.5904
20.900000	102.179	-166.1371
21.200001	102.159	-166.6411
21.400000	102.152	-166.9694
21.799999	102.152	-167.6590
22.000000	102.158	-168.0369
22.400000	102.170	-168.8630
22.700001	102.173	-169.5154
23.000000	102.168	-170.1553
23.299999	102.157	-170.7509
23.600000	102.145	-171.2898
24.000000	102.134	-171.9411
24.299999	102.131	-172.4141
24.700001	102.131	-173.0702
25.000000	102.130	-173.5891
25.400000	102.121	-174.2921
25.799999	102.105	-174.9640
26.200001	102.086	-175.5797
26.500000	102.074	-176.0136
26.900000	102.062	-176.5870
27.200001	102.054	-177.0314
27.600000	102.042	-177.6470
28.000000	102.025	-178.2675
28.500000	102.000	-179.0067
29.000000	101.979	-179.6915
29.500000	101.962	179.6498
30.000000	101.944	178.9965
30.400000	101.924	178.4853
30.700001	101.906	178.1148
31.100000	101.882	177.6353
31.500000	101.860	177.1581
32.000000	101.835	176.5433
32.500000	101.812	175.9175
33.000000	101.787	175.3198
33.500000	101.764	174.7687
34.000000	101.742	174.2372
34.500000	101.714	173.6929
35.000000	101.676	173.1439
35.500000	101.631	172.6221
36.000000	101.590	172.1296
36.500000	101.559	171.6289
37.000000	101.534	171.0955
37.500000	101.507	170.5554
38.200001	101.463	169.8712
38.700001	101.432	169.4393
39.500000	101.378	168.7842
40.000000	101.340	168.3927
40.599998	101.295	167.9355
41.200001	101.257	167.4351
41.799999	101.219	166.8586
42.500000	101.164	166.1793
43.099998	101.113	165.6849
43.700001	101.067	165.2590
44.400002	101.017	164.7521
45.000000	100.969	164.2777
45.500000	100.926	163.8813
46.200001	100.873	163.3680
46.799999	100.839	162.9536
47.500000	100.794	162.4757
48.200001	100.723	162.0825
48.700001	100.664	161.8928
49.400002	100.598	161.6316
50.000000	100.562	161.2356
50.799999	100.510	160.4914
51.500000	100.453	159.9371
52.200001	100.406	159.5708
53.000000	100.357	159.1896
53.799999	100.292	158.7747
54.500000	100.232	158.4135
55.200001	100.176	158.0245
56.000000	100.110	157.5636
57.000000	100.018	157.0926
58.000000	99.929	156.7230
59.000000	99.841	156.3579
60.000000	99.751	155.9467
60.799999	99.683	155.5840
61.500000	99.632	155.2470
62.200001	99.583	154.8801
63.000000	99.516	154.4783
64.000000	99.421	154.1317
65.000000	99.340	153.7990
66.000000	99.262	153.4312
67.000000	99.200	153.1518
68.000000	99.148	152.8364
69.000000	99.070	152.5268
70.000000	98.965	152.2982
71.000000	98.858	152.1372
72.000000	98.771	151.9927
73.000000	98.700	151.8306
74.000000	98.621	151.5671
75.000000	98.514	151.3070
76.199997	98.408	151.2006
77.500000	98.318	150.9103
78.800003	98.213	150.6877
80.000000	98.125	150.7574
81.199997	98.029	150.9073
82.500000	97.879	150.5174
83.800003	97.731	150.0121
85.000000	97.708	149.9259
86.199997	97.711	149.9711
87.500000	97.604	150.0146
88.500000	97.484	150.0657
90.000000	97.360	149.9848
91.199997	97.291	149.9344
92.500000	97.230	149.9385
93.800003	97.158	149.8252
95.000000	97.068	149.6192
