* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:01:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Type E L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.522	-170.1810
20.600000	102.514	-170.6990
20.900000	102.502	-171.2603
21.200001	102.488	-171.8257
21.400000	102.480	-172.2033
21.799999	102.466	-172.9561
22.000000	102.460	-173.3284
22.400000	102.452	-174.0591
22.700001	102.448	-174.5932
23.000000	102.443	-175.1164
23.299999	102.437	-175.6304
23.600000	102.429	-176.1362
24.000000	102.412	-176.7960
24.299999	102.396	-177.2775
24.700001	102.373	-177.8997
25.000000	102.357	-178.3532
25.400000	102.337	-178.9464
25.799999	102.319	-179.5341
26.200001	102.304	179.8800
26.500000	102.292	179.4435
26.900000	102.273	178.8701
27.200001	102.258	178.4496
27.600000	102.235	177.9038
28.000000	102.210	177.3742
28.500000	102.178	176.7307
29.000000	102.147	176.1014
29.500000	102.116	175.4794
30.000000	102.087	174.8616
30.400000	102.062	174.3723
30.700001	102.043	174.0108
31.100000	102.017	173.5384
31.500000	101.991	173.0772
32.000000	101.958	172.5134
32.500000	101.926	171.9620
33.000000	101.892	171.4272
33.500000	101.857	170.9122
34.000000	101.822	170.4107
34.500000	101.786	169.9109
35.000000	101.749	169.4092
35.500000	101.711	168.9141
36.000000	101.673	168.4352
36.500000	101.635	167.9718
37.000000	101.597	167.5169
37.500000	101.557	167.0673
38.200001	101.499	166.4515
38.700001	101.459	166.0211
39.500000	101.398	165.3483
40.000000	101.361	164.9533
40.599998	101.315	164.5214
41.200001	101.270	164.1097
41.799999	101.225	163.6650
42.500000	101.166	163.0855
43.099998	101.110	162.5898
43.700001	101.055	162.1410
44.400002	100.997	161.6754
45.000000	100.947	161.3044
45.500000	100.904	161.0034
46.200001	100.843	160.5669
46.799999	100.789	160.1704
47.500000	100.725	159.7312
48.200001	100.672	159.3473
48.700001	100.643	159.0628
49.400002	100.599	158.6020
50.000000	100.543	158.2060
50.799999	100.455	157.8078
51.500000	100.386	157.5362
52.200001	100.324	157.2256
53.000000	100.252	156.8159
53.799999	100.175	156.4131
54.500000	100.107	156.0983
55.200001	100.040	155.8193
56.000000	99.971	155.4994
57.000000	99.891	155.0461
58.000000	99.810	154.5960
59.000000	99.726	154.2266
60.000000	99.640	153.9047
60.799999	99.568	153.6414
61.500000	99.501	153.4258
62.200001	99.436	153.2299
63.000000	99.365	153.0013
64.000000	99.277	152.6946
65.000000	99.191	152.3952
66.000000	99.103	152.1084
67.000000	99.014	151.8321
68.000000	98.928	151.5989
69.000000	98.845	151.4267
70.000000	98.760	151.2543
71.000000	98.675	151.0468
72.000000	98.594	150.8515
73.000000	98.516	150.7050
74.000000	98.435	150.5472
75.000000	98.347	150.3517
76.199997	98.244	150.1689
77.500000	98.136	150.0400
78.800003	98.033	149.9216
80.000000	97.936	149.8080
81.199997	97.833	149.7043
82.500000	97.717	149.6051
83.800003	97.619	149.6395
85.000000	97.550	149.5633
