* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:02:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Type E R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.359	-163.7088
20.600000	102.361	-164.2753
20.900000	102.360	-164.8796
21.200001	102.360	-165.4809
21.400000	102.359	-165.8811
21.799999	102.360	-166.6822
22.000000	102.361	-167.0814
22.400000	102.361	-167.8683
22.700001	102.359	-168.4412
23.000000	102.357	-168.9969
23.299999	102.354	-169.5382
23.600000	102.351	-170.0711
24.000000	102.346	-170.7762
24.299999	102.341	-171.3008
24.700001	102.333	-171.9855
25.000000	102.326	-172.4806
25.400000	102.317	-173.1142
25.799999	102.309	-173.7294
26.200001	102.299	-174.3444
26.500000	102.288	-174.8091
26.900000	102.265	-175.4211
27.200001	102.242	-175.8599
27.600000	102.211	-176.4032
28.000000	102.185	-176.9083
28.500000	102.169	-177.5428
29.000000	102.167	-178.2463
29.500000	102.165	-179.0136
30.000000	102.150	-179.7656
30.400000	102.132	179.6910
30.700001	102.118	179.3199
31.100000	102.099	178.8522
31.500000	102.082	178.3857
32.000000	102.059	177.7794
32.500000	102.033	177.1610
33.000000	102.004	176.5622
33.500000	101.978	175.9941
34.000000	101.954	175.4460
34.500000	101.929	174.9086
35.000000	101.901	174.3845
35.500000	101.870	173.8773
36.000000	101.838	173.3796
36.500000	101.807	172.8782
37.000000	101.775	172.3707
37.500000	101.742	171.8705
38.200001	101.696	171.2072
38.700001	101.665	170.7516
39.500000	101.614	170.0216
40.000000	101.577	169.5734
40.599998	101.533	169.0584
41.200001	101.494	168.5452
41.799999	101.457	168.0141
42.500000	101.410	167.4216
43.099998	101.367	166.9768
43.700001	101.326	166.5522
44.400002	101.275	166.0217
45.000000	101.231	165.5518
45.500000	101.197	165.1664
46.200001	101.152	164.6413
46.799999	101.104	164.2374
47.500000	101.031	163.8492
48.200001	100.954	163.4264
48.700001	100.895	163.0320
49.400002	100.812	162.4428
50.000000	100.758	162.0459
50.799999	100.734	161.6531
51.500000	100.725	161.2872
52.200001	100.687	160.9084
53.000000	100.619	160.5149
53.799999	100.551	160.0850
54.500000	100.493	159.6879
55.200001	100.433	159.3572
56.000000	100.366	159.0523
57.000000	100.285	158.6220
58.000000	100.204	158.1006
59.000000	100.129	157.6215
60.000000	100.064	157.1774
60.799999	100.006	156.7955
61.500000	99.945	156.4914
62.200001	99.880	156.2599
63.000000	99.811	156.0459
64.000000	99.733	155.7335
65.000000	99.660	155.3474
66.000000	99.586	154.9427
67.000000	99.501	154.6190
68.000000	99.409	154.3965
69.000000	99.317	154.2147
70.000000	99.248	153.9995
71.000000	99.199	153.6522
72.000000	99.142	153.2320
73.000000	99.057	152.8199
74.000000	98.941	152.5018
75.000000	98.821	152.4229
76.199997	98.713	152.5820
77.500000	98.648	152.7917
78.800003	98.626	152.7090
80.000000	98.611	152.2867
81.199997	98.567	151.6610
82.500000	98.483	150.8806
83.800003	98.367	150.0008
85.000000	98.226	149.2164
86.199997	98.054	148.5694
87.500000	97.846	148.0610
88.500000	97.684	147.7827
90.000000	97.470	147.5146
91.199997	97.339	147.2709
92.500000	97.229	146.8532
93.800003	97.155	146.3173
95.000000	97.114	145.9109
96.199997	97.106	145.6090
97.500000	97.146	145.3341
98.800003	97.252	145.6208
100.000000	97.371	146.5768
101.500000	97.413	148.3723
103.000000	97.320	150.3807
104.400002	97.110	151.8511
106.000000	96.775	152.4076
107.500000	96.539	151.5962
109.000000	96.492	150.5464
110.599998	96.542	150.4969
112.000000	96.513	151.2184
113.800003	96.349	151.7646
115.000000	96.252	151.5647
117.199997	96.198	151.4167
118.000000	96.173	151.6325
120.599998	96.006	151.9423
122.000000	95.952	151.9186
124.099998	95.867	152.2584
125.000000	95.820	152.3325
126.500000	95.761	152.4124
128.000000	95.710	152.6576
131.500000	95.558	152.9738
132.000000	95.537	153.0324
134.000000	95.456	153.2793
136.000000	95.386	153.6069
138.000000	95.308	153.9228
140.000000	95.241	154.2057
143.000000	95.149	154.5729
145.000000	95.087	154.8013
147.500000	95.031	155.0364
150.000000	94.998	155.1881
152.500000	94.890	155.7235
155.000000	94.799	156.1574
157.500000	94.732	156.4974
160.000000	94.672	156.8406
162.500000	94.612	157.1815
165.000000	94.555	157.5174
167.500000	94.500	157.8861
170.000000	94.450	158.2339
172.500000	94.399	158.5504
175.000000	94.351	158.8895
177.500000	94.306	159.2174
