* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:24:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.300	-170.8139
20.600000	102.293	-171.3394
20.900000	102.281	-171.9023
21.200001	102.269	-172.4639
21.400000	102.261	-172.8383
21.799999	102.248	-173.5906
22.000000	102.243	-173.9679
22.400000	102.232	-174.7183
22.700001	102.223	-175.2688
23.000000	102.213	-175.8013
23.299999	102.202	-176.3117
23.600000	102.190	-176.8006
24.000000	102.173	-177.4279
24.299999	102.160	-177.8893
24.700001	102.144	-178.5042
25.000000	102.131	-178.9676
25.400000	102.112	-179.5841
25.799999	102.091	179.8110
26.200001	102.070	179.2253
26.500000	102.054	178.7982
26.900000	102.034	178.2398
27.200001	102.019	177.8251
27.600000	101.998	177.2753
28.000000	101.975	176.7313
28.500000	101.943	176.0672
29.000000	101.911	175.4264
29.500000	101.878	174.8073
30.000000	101.846	174.2055
30.400000	101.820	173.7331
30.700001	101.801	173.3819
31.100000	101.776	172.9149
31.500000	101.751	172.4476
32.000000	101.717	171.8664
32.500000	101.681	171.3012
33.000000	101.643	170.7647
33.500000	101.605	170.2560
34.000000	101.569	169.7593
34.500000	101.534	169.2580
35.000000	101.497	168.7492
35.500000	101.458	168.2442
36.000000	101.417	167.7560
36.500000	101.377	167.2890
37.000000	101.337	166.8407
37.500000	101.298	166.4071
38.200001	101.243	165.8155
38.700001	101.205	165.3933
39.500000	101.142	164.7111
40.000000	101.099	164.2952
40.599998	101.047	163.8234
41.200001	100.994	163.3737
41.799999	100.943	162.9248
42.500000	100.884	162.3946
43.099998	100.832	161.9497
43.700001	100.781	161.5287
44.400002	100.723	161.0688
45.000000	100.673	160.6828
45.500000	100.630	160.3551
46.200001	100.567	159.8975
46.799999	100.514	159.5246
47.500000	100.456	159.1010
48.200001	100.391	158.6819
48.700001	100.336	158.4191
49.400002	100.256	158.1301
50.000000	100.200	157.8873
50.799999	100.142	157.4240
51.500000	100.088	156.9376
52.200001	100.027	156.5221
53.000000	99.959	156.1583
53.799999	99.894	155.8063
54.500000	99.833	155.4682
55.200001	99.768	155.1324
56.000000	99.692	154.8013
57.000000	99.599	154.4466
58.000000	99.506	154.0659
59.000000	99.413	153.6863
60.000000	99.328	153.3367
60.799999	99.259	153.0614
61.500000	99.196	152.8309
62.200001	99.131	152.6179
63.000000	99.059	152.3930
64.000000	98.970	152.1223
65.000000	98.883	151.8386
66.000000	98.799	151.5428
67.000000	98.717	151.2766
68.000000	98.631	151.0778
69.000000	98.540	150.9256
70.000000	98.449	150.7559
71.000000	98.360	150.5492
72.000000	98.277	150.3525
73.000000	98.200	150.1916
74.000000	98.120	150.0902
75.000000	98.036	150.0224
76.199997	97.931	149.8565
77.500000	97.817	149.6661
78.800003	97.712	149.5223
80.000000	97.608	149.4043
81.199997	97.511	149.3679
82.500000	97.422	149.3130
83.800003	97.326	149.2274
85.000000	97.235	149.1794
86.199997	97.149	149.1595
87.500000	97.054	149.1179
88.500000	96.978	149.1152
90.000000	96.871	149.1418
91.199997	96.788	149.1691
92.500000	96.700	149.2099
93.800003	96.613	149.2706
95.000000	96.534	149.3133
96.199997	96.455	149.3591
97.500000	96.368	149.4514
98.800003	96.276	149.5772
100.000000	96.194	149.7075
101.500000	96.110	149.8129
103.000000	96.020	149.8874
104.400002	95.931	150.0018
106.000000	95.835	150.2068
107.500000	95.757	150.4451
109.000000	95.680	150.6212
110.599998	95.591	150.7516
112.000000	95.514	150.8788
113.800003	95.426	151.1348
115.000000	95.368	151.3096
117.199997	95.267	151.6108
118.000000	95.230	151.7194
120.599998	95.114	152.1428
122.000000	95.052	152.3581
124.099998	94.965	152.6765
125.000000	94.931	152.8087
126.500000	94.873	153.0177
128.000000	94.812	153.2482
131.500000	94.676	153.8559
132.000000	94.657	153.9471
134.000000	94.588	154.3050
136.000000	94.525	154.6200
138.000000	94.458	154.9454
140.000000	94.396	155.3342
143.000000	94.304	155.8678
145.000000	94.247	156.2079
147.500000	94.193	156.4939
150.000000	94.152	156.6706
152.500000	94.072	157.3712
155.000000	93.997	158.0075
157.500000	93.937	158.4681
160.000000	93.887	158.9763
162.500000	93.838	159.4371
165.000000	93.793	159.8725
167.500000	93.776	160.3374
170.000000	93.760	160.7896
172.500000	93.738	161.1931
175.000000	93.721	161.4370
177.500000	93.700	161.7649
180.000000	93.671	162.0778
182.500000	93.632	162.3732
185.000000	93.603	162.7090
187.500000	93.580	163.0407
190.000000	93.557	163.3190
192.500000	93.533	163.5852
195.000000	93.507	163.8909
197.500000	93.484	164.2202
200.000000	93.468	164.5146
203.000000	93.452	164.8383
206.000000	93.431	165.1798
209.000000	93.410	165.5222
212.000000	93.393	165.8287
214.000000	93.379	166.0254
218.000000	93.351	166.3975
220.000000	93.340	166.5919
224.000000	93.319	167.0094
227.000000	93.306	167.3115
230.000000	93.293	167.5916
233.000000	93.281	167.8577
236.000000	93.269	168.1075
240.000000	93.256	168.4462
243.000000	93.244	168.6893
247.000000	93.224	168.9843
250.000000	93.208	169.2106
254.000000	93.196	169.5249
258.000000	93.193	169.8393
262.000000	93.184	170.1838
265.000000	93.177	170.4245
269.000000	93.171	170.7288
272.000000	93.168	170.9363
276.000000	93.161	171.2029
280.000000	93.153	171.4279
285.000000	93.142	171.7055
290.000000	93.131	171.9809
295.000000	93.123	172.2858
300.000000	93.115	172.5705
304.000000	93.109	172.7727
307.000000	93.103	172.9202
311.000000	93.097	173.1272
315.000000	93.090	173.3248
320.000000	93.081	173.5596
325.000000	93.073	173.7900
330.000000	93.066	174.0127
335.000000	93.056	174.2249
340.000000	93.046	174.4322
345.000000	93.034	174.6246
350.000000	93.023	174.8070
355.000000	93.015	175.0334
360.000000	93.006	175.2452
365.000000	92.996	175.4427
370.000000	92.986	175.6407
375.000000	92.975	175.8350
382.000000	92.959	176.0949
387.000000	92.948	176.2812
395.000000	92.931	176.5655
400.000000	92.920	176.7328
406.000000	92.908	176.9583
412.000000	92.895	177.1795
418.000000	92.881	177.3850
425.000000	92.865	177.6223
431.000000	92.851	177.8265
437.000000	92.836	178.0242
444.000000	92.822	178.2574
450.000000	92.811	178.4549
455.000000	92.795	178.6188
462.000000	92.772	178.8458
468.000000	92.755	179.0444
475.000000	92.736	179.2832
482.000000	92.716	179.5159
487.000000	92.702	179.6812
