* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:25:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.225	-164.7912
20.600000	102.227	-165.3409
20.900000	102.228	-165.9357
21.200001	102.227	-166.5389
21.400000	102.225	-166.9445
21.799999	102.219	-167.7548
22.000000	102.216	-168.1534
22.400000	102.210	-168.9269
22.700001	102.208	-169.4876
23.000000	102.208	-170.0407
23.299999	102.209	-170.5958
23.600000	102.208	-171.1573
24.000000	102.201	-171.9063
24.299999	102.190	-172.4523
24.700001	102.170	-173.1369
25.000000	102.155	-173.6136
25.400000	102.139	-174.2155
25.799999	102.129	-174.8094
26.200001	102.123	-175.4204
26.500000	102.117	-175.8913
26.900000	102.107	-176.5226
27.200001	102.098	-176.9870
27.600000	102.082	-177.5843
28.000000	102.066	-178.1575
28.500000	102.045	-178.8526
29.000000	102.021	-179.5345
29.500000	101.995	179.7956
30.000000	101.969	179.1356
30.400000	101.949	178.6106
30.700001	101.934	178.2180
31.100000	101.915	177.7003
31.500000	101.895	177.1964
32.000000	101.869	176.5944
32.500000	101.843	176.0187
33.000000	101.818	175.4534
33.500000	101.790	174.8870
34.000000	101.760	174.3211
34.500000	101.729	173.7642
35.000000	101.698	173.2215
35.500000	101.668	172.6937
36.000000	101.637	172.1812
36.500000	101.605	171.6833
37.000000	101.571	171.1947
37.500000	101.538	170.7064
38.200001	101.490	170.0208
38.700001	101.454	169.5451
39.500000	101.396	168.8350
40.000000	101.361	168.4095
40.599998	101.319	167.8885
41.200001	101.276	167.3491
41.799999	101.232	166.8106
42.500000	101.182	166.2151
43.099998	101.140	165.7438
43.700001	101.095	165.3055
44.400002	101.040	164.8145
45.000000	100.992	164.3855
45.500000	100.954	164.0155
46.200001	100.903	163.4986
46.799999	100.861	163.0833
47.500000	100.806	162.6304
48.200001	100.739	162.1710
48.700001	100.683	161.8289
