* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:29:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak VelvetW R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.161	-165.0716
20.600000	102.148	-165.6228
20.900000	102.131	-166.1975
21.200001	102.113	-166.7573
21.400000	102.106	-167.1290
21.799999	102.103	-167.8966
22.000000	102.108	-168.3026
22.400000	102.125	-169.1627
22.700001	102.137	-169.8292
23.000000	102.144	-170.4788
23.299999	102.145	-171.0775
23.600000	102.141	-171.6034
24.000000	102.133	-172.1967
24.299999	102.129	-172.5960
24.700001	102.127	-173.1420
25.000000	102.125	-173.6004
25.400000	102.116	-174.2902
25.799999	102.095	-175.0325
26.200001	102.066	-175.7660
26.500000	102.044	-176.2840
26.900000	102.020	-176.9252
27.200001	102.006	-177.3784
27.600000	101.993	-177.9638
28.000000	101.981	-178.5392
28.500000	101.963	-179.2499
29.000000	101.941	-179.9574
29.500000	101.918	179.3302
30.000000	101.895	178.6249
30.400000	101.875	178.0861
30.700001	101.861	177.7040
31.100000	101.844	177.2192
31.500000	101.827	176.7464
32.000000	101.802	176.1490
32.500000	101.769	175.5466
33.000000	101.729	174.9617
33.500000	101.694	174.3979
34.000000	101.667	173.8328
34.500000	101.643	173.2577
35.000000	101.615	172.7033
35.500000	101.583	172.2012
36.000000	101.550	171.7336
36.500000	101.519	171.2467
37.000000	101.483	170.7184
37.500000	101.443	170.1855
38.200001	101.391	169.5007
38.700001	101.361	169.0334
39.500000	101.301	168.3143
40.000000	101.249	167.9771
40.599998	101.196	167.7084
41.200001	101.173	167.3800
41.799999	101.158	166.7946
42.500000	101.107	165.9267
43.099998	101.040	165.3013
43.700001	100.982	164.8357
44.400002	100.934	164.3262
45.000000	100.890	163.8622
45.500000	100.848	163.4966
46.200001	100.790	163.0395
46.799999	100.747	162.6487
47.500000	100.696	162.1611
48.200001	100.642	161.6906
48.700001	100.604	161.3892
49.400002	100.556	160.9871
50.000000	100.514	160.6187
50.799999	100.445	160.0988
51.500000	100.377	159.6638
52.200001	100.314	159.2385
53.000000	100.247	158.7444
53.799999	100.182	158.3250
54.500000	100.132	158.0582
55.200001	100.085	157.8141
56.000000	100.022	157.4852
57.000000	99.926	157.0131
58.000000	99.836	156.4786
59.000000	99.756	155.8994
60.000000	99.677	155.3984
60.799999	99.611	155.0655
61.500000	99.551	154.7947
62.200001	99.490	154.5330
63.000000	99.419	154.2479
64.000000	99.332	153.9312
65.000000	99.249	153.6298
66.000000	99.167	153.2892
67.000000	99.081	152.9623
68.000000	99.000	152.6755
69.000000	98.923	152.3749
70.000000	98.842	152.0741
71.000000	98.758	151.8135
72.000000	98.674	151.5858
73.000000	98.591	151.3913
74.000000	98.515	151.1810
75.000000	98.437	150.9103
76.199997	98.331	150.6142
77.500000	98.216	150.4250
78.800003	98.117	150.1891
80.000000	98.020	150.0111
81.199997	97.935	150.0682
82.500000	97.862	149.9915
83.800003	97.767	149.6840
85.000000	97.667	149.4648
86.199997	97.568	149.3575
87.500000	97.466	149.2928
88.500000	97.389	149.2920
90.000000	97.287	149.2947
91.199997	97.209	149.1840
92.500000	97.118	149.0917
93.800003	97.025	149.0544
95.000000	96.941	149.0216
96.199997	96.864	148.9728
97.500000	96.779	148.9321
98.800003	96.687	148.9355
100.000000	96.605	148.9721
101.500000	96.516	149.0797
103.000000	96.430	149.2416
104.400002	96.345	149.3155
106.000000	96.247	149.2883
107.500000	96.159	149.3069
109.000000	96.069	149.4565
110.599998	95.965	149.6259
112.000000	95.881	149.7239
113.800003	95.801	149.7826
115.000000	95.750	149.8868
117.199997	95.646	150.2751
118.000000	95.608	150.3997
120.599998	95.486	150.7147
122.000000	95.429	150.9097
124.099998	95.341	151.2075
125.000000	95.297	151.2652
126.500000	95.224	151.2925
128.000000	95.161	151.3551
131.500000	95.025	151.7667
132.000000	95.008	151.8422
134.000000	94.942	152.1395
136.000000	94.861	152.3528
138.000000	94.783	152.5460
140.000000	94.710	152.7633
143.000000	94.615	153.1440
145.000000	94.552	153.4036
147.500000	94.468	153.6575
150.000000	94.395	153.8010
152.500000	94.318	154.3214
155.000000	94.245	154.8322
157.500000	94.185	155.1578
160.000000	94.122	155.4782
162.500000	94.058	155.8386
165.000000	93.999	156.1827
167.500000	93.944	156.5314
170.000000	93.889	156.8575
172.500000	93.833	157.1812
175.000000	93.783	157.5358
177.500000	93.738	157.8985
180.000000	93.694	158.2375
182.500000	93.654	158.5912
185.000000	93.616	158.9207
187.500000	93.574	159.2390
190.000000	93.537	159.6221
192.500000	93.506	159.9750
195.000000	93.479	160.3118
197.500000	93.456	160.6324
200.000000	93.432	160.9051
203.000000	93.402	161.1848
206.000000	93.374	161.4821
209.000000	93.342	161.7927
212.000000	93.309	162.0764
214.000000	93.290	162.2591
218.000000	93.254	162.6768
220.000000	93.235	162.8705
224.000000	93.199	163.2553
227.000000	93.177	163.6000
230.000000	93.160	163.8998
233.000000	93.132	164.1434
236.000000	93.103	164.3259
240.000000	93.074	164.6371
243.000000	93.053	164.9473
247.000000	93.014	165.3661
250.000000	92.980	165.6607
254.000000	92.960	165.9282
258.000000	92.948	166.2463
262.000000	92.931	166.5638
265.000000	92.912	166.7884
269.000000	92.891	167.0605
272.000000	92.880	167.2571
276.000000	92.867	167.5148
280.000000	92.851	167.8060
285.000000	92.831	168.1949
