* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:14:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Wide L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.255	-171.2794
20.600000	102.246	-171.8110
20.900000	102.234	-172.3744
21.200001	102.220	-172.9288
21.400000	102.213	-173.2948
21.799999	102.200	-174.0256
22.000000	102.195	-174.3924
22.400000	102.186	-175.1268
22.700001	102.177	-175.6711
23.000000	102.166	-176.2015
23.299999	102.152	-176.7122
23.600000	102.138	-177.2026
24.000000	102.118	-177.8344
24.299999	102.105	-178.3040
24.700001	102.088	-178.9416
25.000000	102.075	-179.4319
25.400000	102.055	179.9075
25.799999	102.030	179.2628
26.200001	102.002	178.6592
26.500000	101.983	178.2396
26.900000	101.960	177.7158
27.200001	101.946	177.3351
27.600000	101.931	176.8199
28.000000	101.915	176.2802
28.500000	101.888	175.5795
29.000000	101.851	174.8933
29.500000	101.808	174.2585
30.000000	101.772	173.6592
30.400000	101.749	173.1708
30.700001	101.734	172.7880
31.100000	101.710	172.2657
31.500000	101.681	171.7639
32.000000	101.637	171.2227
32.500000	101.595	170.7851
33.000000	101.562	170.3779
33.500000	101.535	169.9098
34.000000	101.505	169.3549
34.500000	101.467	168.7599
35.000000	101.426	168.1863
35.500000	101.387	167.6617
36.000000	101.350	167.1823
36.500000	101.312	166.7357
37.000000	101.271	166.3096
37.500000	101.227	165.8878
38.200001	101.163	165.2797
38.700001	101.118	164.8379
39.500000	101.051	164.1598
40.000000	101.013	163.7642
40.599998	100.970	163.3047
41.200001	100.923	162.8431
41.799999	100.871	162.3753
42.500000	100.803	161.8448
43.099998	100.746	161.4177
43.700001	100.691	161.0016
44.400002	100.629	160.5082
45.000000	100.573	160.0887
45.500000	100.527	159.7500
46.200001	100.464	159.2910
46.799999	100.410	158.9241
47.500000	100.350	158.5345
48.200001	100.297	158.1039
48.700001	100.255	157.7309
49.400002	100.178	157.2061
50.000000	100.106	156.8845
50.799999	100.030	156.6315
51.500000	99.983	156.3844
52.200001	99.928	156.0432
53.000000	99.849	155.6279
53.799999	99.769	155.2398
54.500000	99.705	154.9301
55.200001	99.644	154.6465
56.000000	99.571	154.3237
57.000000	99.474	153.8911
58.000000	99.382	153.4473
59.000000	99.294	153.0652
60.000000	99.203	152.7755
60.799999	99.131	152.5433
61.500000	99.070	152.3098
62.200001	99.009	152.0716
63.000000	98.937	151.8297
64.000000	98.843	151.5523
65.000000	98.746	151.2478
66.000000	98.652	150.9822
67.000000	98.566	150.7955
68.000000	98.478	150.6192
69.000000	98.387	150.4175
70.000000	98.305	150.1909
71.000000	98.226	149.9636
72.000000	98.139	149.7834
73.000000	98.045	149.6606
74.000000	97.956	149.5187
75.000000	97.870	149.3372
76.199997	97.780	149.2068
77.500000	97.698	149.0822
78.800003	97.570	148.9295
80.000000	97.433	148.8865
81.199997	97.335	148.8058
82.500000	97.253	148.6578
83.800003	97.142	148.5907
85.000000	97.024	148.5656
86.199997	96.930	148.5480
87.500000	96.845	148.6007
88.500000	96.778	148.6873
90.000000	96.662	148.7293
91.199997	96.560	148.8918
92.500000	96.460	149.1420
93.800003	96.357	149.2828
95.000000	96.258	149.4258
96.199997	96.195	149.7574
97.500000	96.178	150.0992
98.800003	96.172	150.2305
100.000000	96.122	150.0772
101.500000	95.984	150.2347
103.000000	95.892	150.4934
104.400002	95.844	150.6390
106.000000	95.806	150.6417
107.500000	95.719	150.5330
109.000000	95.623	150.6584
110.599998	95.520	151.0630
112.000000	95.442	151.3456
113.800003	95.355	151.4503
115.000000	95.293	151.4784
117.199997	95.180	151.6463
118.000000	95.141	151.7565
120.599998	95.018	152.1829
122.000000	94.954	152.3872
124.099998	94.864	152.6328
125.000000	94.827	152.7825
126.500000	94.765	153.0959
128.000000	94.703	153.4052
131.500000	94.576	153.9495
132.000000	94.559	154.0294
134.000000	94.494	154.3754
136.000000	94.435	154.7430
138.000000	94.374	155.0427
140.000000	94.310	155.3398
143.000000	94.219	155.8228
145.000000	94.164	156.1388
147.500000	94.106	156.5626
150.000000	94.052	156.9578
152.500000	93.986	157.3383
155.000000	93.926	157.7367
157.500000	93.872	158.1169
160.000000	93.823	158.5094
162.500000	93.779	158.9274
165.000000	93.739	159.3777
167.500000	93.694	159.8342
170.000000	93.643	160.2194
172.500000	93.594	160.5587
175.000000	93.557	160.9319
177.500000	93.534	161.3524
180.000000	93.511	161.8124
182.500000	93.483	162.2167
185.000000	93.459	162.5917
187.500000	93.442	162.9474
190.000000	93.419	163.2203
192.500000	93.399	163.5401
195.000000	93.381	163.8916
197.500000	93.364	164.2047
200.000000	93.350	164.4998
203.000000	93.325	164.8048
206.000000	93.309	165.1245
209.000000	93.296	165.4337
212.000000	93.279	165.7432
214.000000	93.268	165.9575
218.000000	93.253	166.3596
220.000000	93.242	166.5518
224.000000	93.217	166.9253
227.000000	93.203	167.1985
230.000000	93.192	167.4672
233.000000	93.177	167.7272
236.000000	93.161	167.9883
240.000000	93.146	168.3562
243.000000	93.141	168.6446
247.000000	93.135	168.9333
250.000000	93.126	169.1143
254.000000	93.112	169.4436
258.000000	93.101	169.7475
262.000000	93.097	170.0290
265.000000	93.093	170.2373
269.000000	93.089	170.4976
272.000000	93.085	170.6811
276.000000	93.078	170.9304
280.000000	93.070	171.1712
285.000000	93.061	171.4478
290.000000	93.050	171.7121
295.000000	93.038	171.9757
300.000000	93.027	172.2516
304.000000	93.019	172.4534
307.000000	93.012	172.6026
311.000000	93.001	172.8022
315.000000	92.995	172.9974
320.000000	92.987	173.2381
325.000000	92.977	173.4711
330.000000	92.967	173.6927
335.000000	92.959	173.9116
340.000000	92.952	174.1253
345.000000	92.943	174.3423
350.000000	92.934	174.5526
355.000000	92.925	174.7177
360.000000	92.916	174.8930
365.000000	92.906	175.0824
370.000000	92.895	175.2692
375.000000	92.884	175.4529
382.000000	92.867	175.7021
387.000000	92.856	175.8809
395.000000	92.838	176.1566
400.000000	92.826	176.3269
406.000000	92.812	176.5415
412.000000	92.798	176.7529
418.000000	92.783	176.9583
425.000000	92.766	177.1898
431.000000	92.752	177.3868
437.000000	92.738	177.5866
444.000000	92.721	177.8194
450.000000	92.706	178.0128
455.000000	92.692	178.1696
462.000000	92.672	178.3980
468.000000	92.655	178.5936
475.000000	92.636	178.8184
482.000000	92.616	179.0502
487.000000	92.602	179.2172
494.000000	92.583	179.4495
500.000000	92.566	179.6456
508.000000	92.543	179.8904
515.000000	92.523	-179.8871
522.000000	92.502	-179.6548
530.000000	92.477	-179.3959
538.000000	92.454	-179.1344
545.000000	92.434	-178.8963
552.000000	92.412	-178.6579
560.000000	92.382	-178.3929
570.000000	92.345	-178.0554
580.000000	92.309	-177.7053
590.000000	92.273	-177.3401
600.000000	92.237	-176.9604
608.000000	92.206	-176.6525
615.000000	92.178	-176.3744
622.000000	92.151	-176.0879
630.000000	92.120	-175.7467
640.000000	92.083	-175.2999
650.000000	92.048	-174.8398
660.000000	92.012	-174.3650
670.000000	91.977	-173.8797
680.000000	91.945	-173.3868
690.000000	91.914	-172.8819
700.000000	91.884	-172.3687
710.000000	91.856	-171.8479
720.000000	91.828	-171.3140
730.000000	91.802	-170.7750
740.000000	91.776	-170.2295
750.000000	91.750	-169.6691
762.000000	91.722	-168.9708
775.000000	91.693	-168.1885
788.000000	91.665	-167.3768
800.000000	91.643	-166.5970
812.000000	91.628	-165.8173
825.000000	91.615	-164.9517
838.000000	91.610	-164.0596
850.000000	91.609	-163.2190
862.000000	91.611	-162.3512
875.000000	91.620	-161.4090
885.000000	91.633	-160.6815
900.000000	91.660	-159.5866
912.000000	91.688	-158.7225
925.000000	91.725	-157.7948
938.000000	91.769	-156.8692
950.000000	91.814	-156.0235
962.000000	91.866	-155.2015
975.000000	91.930	-154.3311
988.000000	91.999	-153.4846
1000.000000	92.068	-152.7315
1015.000000	92.159	-151.8316
1030.000000	92.256	-150.9812
1044.000000	92.352	-150.2319
1060.000000	92.465	-149.4310
1075.000000	92.574	-148.7334
1090.000000	92.685	-148.0914
1106.000000	92.805	-147.4643
1120.000000	92.910	-146.9617
1138.000000	93.044	-146.3760
1150.000000	93.132	-146.0202
1172.000000	93.291	-145.4369
1180.000000	93.348	-145.2449
1206.000000	93.528	-144.6840
1220.000000	93.620	-144.4177
1241.000000	93.754	-144.0591
1250.000000	93.810	-143.9171
1265.000000	93.900	-143.6947
1280.000000	93.987	-143.4887
1315.000000	94.180	-143.0474
1320.000000	94.206	-142.9874
1340.000000	94.307	-142.7540
1360.000000	94.406	-142.5286
1380.000000	94.500	-142.3101
1400.000000	94.591	-142.0922
1430.000000	94.724	-141.7574
1450.000000	94.810	-141.5331
1475.000000	94.915	-141.2508
