* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:17:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Wide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.202	-164.9671
20.600000	102.201	-165.5441
20.900000	102.196	-166.1693
21.200001	102.189	-166.7976
21.400000	102.185	-167.2168
21.799999	102.179	-168.0540
22.000000	102.176	-168.4693
22.400000	102.171	-169.2829
22.700001	102.166	-169.8688
23.000000	102.160	-170.4272
23.299999	102.153	-170.9562
23.600000	102.146	-171.4592
24.000000	102.138	-172.1046
24.299999	102.134	-172.5852
24.700001	102.132	-173.2426
25.000000	102.130	-173.7553
25.400000	102.126	-174.4602
25.799999	102.115	-175.1673
26.200001	102.099	-175.8468
26.500000	102.084	-176.3265
26.900000	102.064	-176.9260
27.200001	102.050	-177.3548
27.600000	102.033	-177.9166
28.000000	102.017	-178.4796
28.500000	101.995	-179.1815
29.000000	101.971	-179.8604
29.500000	101.948	179.4905
30.000000	101.928	178.8506
30.400000	101.911	178.3293
30.700001	101.897	177.9312
31.100000	101.875	177.3970
31.500000	101.850	176.8676
32.000000	101.818	176.2213
32.500000	101.789	175.5948
33.000000	101.762	174.9921
33.500000	101.739	174.4193
34.000000	101.718	173.8726
34.500000	101.697	173.3387
35.000000	101.670	172.8112
35.500000	101.636	172.2994
36.000000	101.598	171.8122
36.500000	101.560	171.3401
37.000000	101.525	170.8621
37.500000	101.489	170.3678
38.200001	101.436	169.6679
38.700001	101.396	169.1816
39.500000	101.333	168.4358
40.000000	101.295	167.9885
40.599998	101.249	167.4703
41.200001	101.205	166.9646
41.799999	101.160	166.4580
42.500000	101.108	165.8575
43.099998	101.061	165.3456
43.700001	101.012	164.8647
44.400002	100.955	164.3777
45.000000	100.908	164.0112
45.500000	100.872	163.7021
46.200001	100.824	163.2112
46.799999	100.780	162.7516
47.500000	100.729	162.2497
48.200001	100.687	161.8147
48.700001	100.660	161.5013
49.400002	100.613	160.9951
50.000000	100.553	160.5219
50.799999	100.455	159.9623
51.500000	100.382	159.5592
52.200001	100.323	159.1638
53.000000	100.253	158.7299
53.799999	100.174	158.3770
54.500000	100.109	158.0681
55.200001	100.046	157.6991
56.000000	99.970	157.3046
57.000000	99.879	157.0346
58.000000	99.806	156.8721
59.000000	99.744	156.5052
60.000000	99.674	155.9554
60.799999	99.618	155.5883
61.500000	99.576	155.3438
62.200001	99.534	155.1051
63.000000	99.472	154.8340
64.000000	99.386	154.5516
65.000000	99.300	154.2376
66.000000	99.203	153.8409
67.000000	99.106	153.3925
68.000000	99.017	152.9400
69.000000	98.937	152.6272
70.000000	98.873	152.3529
71.000000	98.804	152.0233
72.000000	98.724	151.8160
73.000000	98.647	151.7531
74.000000	98.571	151.6438
75.000000	98.485	151.3873
76.199997	98.373	151.0414
77.500000	98.274	150.7501
78.800003	98.188	150.5631
80.000000	98.093	150.4469
81.199997	97.980	150.2365
82.500000	97.870	149.9061
83.800003	97.787	149.7411
85.000000	97.705	149.7241
86.199997	97.612	149.6180
87.500000	97.515	149.4506
88.500000	97.444	149.3752
90.000000	97.331	149.2802
91.199997	97.245	149.2058
92.500000	97.154	149.1595
93.800003	97.062	149.1312
95.000000	96.977	149.0897
96.199997	96.892	149.0803
97.500000	96.806	149.1096
98.800003	96.717	149.1819
100.000000	96.632	149.2699
101.500000	96.530	149.2825
103.000000	96.425	149.3590
104.400002	96.328	149.4512
106.000000	96.207	149.6298
107.500000	96.101	149.9194
109.000000	96.013	150.3016
110.599998	95.939	150.7166
112.000000	95.864	150.8988
113.800003	95.774	151.2734
115.000000	95.728	151.5676
117.199997	95.683	151.8144
118.000000	95.660	151.7638
120.599998	95.604	151.7103
122.000000	95.574	151.6854
124.099998	95.493	151.6706
125.000000	95.460	151.7109
126.500000	95.409	151.7916
128.000000	95.352	151.8799
131.500000	95.190	152.2201
132.000000	95.168	152.2681
134.000000	95.088	152.4297
136.000000	95.009	152.5965
138.000000	94.926	152.7973
140.000000	94.843	153.0439
143.000000	94.733	153.3762
145.000000	94.670	153.6392
147.500000	94.597	154.0011
150.000000	94.518	154.4911
152.500000	94.438	154.6848
155.000000	94.362	154.9522
157.500000	94.295	155.2871
160.000000	94.230	155.6317
162.500000	94.165	155.9814
165.000000	94.105	156.3312
167.500000	94.048	156.6584
170.000000	93.991	156.9728
172.500000	93.929	157.2998
175.000000	93.872	157.6423
177.500000	93.827	158.0020
180.000000	93.785	158.3695
182.500000	93.742	158.6759
185.000000	93.705	159.0637
187.500000	93.671	159.5160
190.000000	93.636	159.8392
192.500000	93.608	160.0936
195.000000	93.586	160.3572
197.500000	93.563	160.6404
200.000000	93.534	160.9002
203.000000	93.507	161.2381
206.000000	93.487	161.5655
209.000000	93.456	161.8845
212.000000	93.419	162.1357
214.000000	93.397	162.3046
218.000000	93.356	162.6693
220.000000	93.340	162.8546
224.000000	93.304	163.2578
227.000000	93.275	163.5739
230.000000	93.250	163.8962
233.000000	93.223	164.2219
236.000000	93.199	164.5179
240.000000	93.177	164.8677
243.000000	93.157	165.1207
247.000000	93.128	165.5235
250.000000	93.110	165.8146
254.000000	93.097	166.0577
258.000000	93.085	166.3293
262.000000	93.066	166.5939
265.000000	93.051	166.7947
269.000000	93.031	167.0618
272.000000	93.015	167.2696
276.000000	92.994	167.5508
280.000000	92.975	167.7986
285.000000	92.954	168.1031
290.000000	92.931	168.4195
295.000000	92.910	168.7325
300.000000	92.893	169.0318
304.000000	92.877	169.2637
307.000000	92.864	169.4287
311.000000	92.847	169.6408
315.000000	92.832	169.8645
320.000000	92.816	170.1331
325.000000	92.799	170.3865
330.000000	92.784	170.6787
335.000000	92.768	170.9388
340.000000	92.751	171.1905
345.000000	92.733	171.4506
350.000000	92.717	171.7035
355.000000	92.705	171.9123
360.000000	92.694	172.1257
365.000000	92.682	172.3376
370.000000	92.669	172.5410
375.000000	92.655	172.7365
382.000000	92.635	172.9984
387.000000	92.620	173.1738
395.000000	92.594	173.4482
400.000000	92.576	173.6154
406.000000	92.555	173.8445
412.000000	92.533	174.0754
418.000000	92.511	174.2932
425.000000	92.485	174.5434
431.000000	92.462	174.7647
437.000000	92.440	174.9820
444.000000	92.415	175.2310
450.000000	92.393	175.4442
455.000000	92.373	175.6353
462.000000	92.345	175.9055
468.000000	92.322	176.1318
475.000000	92.296	176.3921
