* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:34:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak XWB L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.252	-171.2297
20.600000	102.243	-171.7559
20.900000	102.229	-172.3224
21.200001	102.215	-172.8900
21.400000	102.206	-173.2683
21.799999	102.192	-174.0229
22.000000	102.187	-174.3966
22.400000	102.177	-175.1292
22.700001	102.171	-175.6613
23.000000	102.164	-176.1779
23.299999	102.155	-176.6818
23.600000	102.145	-177.1771
24.000000	102.127	-177.8304
24.299999	102.111	-178.3167
24.700001	102.088	-178.9584
25.000000	102.071	-179.4321
25.400000	102.049	179.9496
25.799999	102.029	179.3464
26.200001	102.012	178.7562
26.500000	101.999	178.3217
26.900000	101.980	177.7554
27.200001	101.963	177.3429
27.600000	101.939	176.8111
28.000000	101.913	176.2958
28.500000	101.882	175.6580
29.000000	101.851	175.0087
29.500000	101.819	174.3504
30.000000	101.784	173.7102
30.400000	101.755	173.2276
30.700001	101.734	172.8832
31.100000	101.708	172.4371
31.500000	101.682	171.9919
32.000000	101.649	171.4256
32.500000	101.611	170.8601
33.000000	101.570	170.3182
33.500000	101.530	169.8053
34.000000	101.495	169.3046
34.500000	101.461	168.7987
35.000000	101.426	168.2874
35.500000	101.388	167.7833
36.000000	101.347	167.2949
36.500000	101.306	166.8217
37.000000	101.265	166.3608
37.500000	101.224	165.9138
38.200001	101.168	165.3166
38.700001	101.128	164.9066
39.500000	101.062	164.2601
40.000000	101.019	163.8558
40.599998	100.967	163.3715
41.200001	100.916	162.8923
41.799999	100.863	162.4272
42.500000	100.799	161.9167
43.099998	100.745	161.4976
43.700001	100.692	161.0714
44.400002	100.631	160.5711
45.000000	100.579	160.1821
45.500000	100.538	159.8885
46.200001	100.478	159.4589
46.799999	100.418	159.0434
47.500000	100.346	158.5557
48.200001	100.305	158.0496
48.700001	100.295	157.6134
49.400002	100.269	156.9534
50.000000	100.209	156.5514
50.799999	100.099	156.4174
51.500000	100.016	156.3879
52.200001	99.943	156.1456
53.000000	99.859	155.7088
53.799999	99.784	155.3257
54.500000	99.726	155.0378
55.200001	99.664	154.7375
56.000000	99.589	154.3671
57.000000	99.497	153.9124
58.000000	99.410	153.5220
59.000000	99.319	153.1696
60.000000	99.226	152.8011
60.799999	99.152	152.5128
61.500000	99.087	152.3019
62.200001	99.026	152.1199
63.000000	98.956	151.9012
64.000000	98.866	151.5984
65.000000	98.774	151.3110
66.000000	98.681	151.0422
67.000000	98.587	150.8006
68.000000	98.502	150.5699
69.000000	98.423	150.3196
70.000000	98.340	150.1062
71.000000	98.253	149.9495
72.000000	98.162	149.8023
73.000000	98.070	149.6442
74.000000	97.982	149.4623
75.000000	97.896	149.2747
76.199997	97.795	149.1347
77.500000	97.693	149.0344
78.800003	97.585	148.9159
80.000000	97.487	148.8105
81.199997	97.390	148.7164
82.500000	97.282	148.6552
83.800003	97.173	148.6199
85.000000	97.078	148.6010
86.199997	96.989	148.5860
87.500000	96.893	148.5913
88.500000	96.818	148.6040
90.000000	96.704	148.6214
91.199997	96.614	148.6725
