* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:35:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak XWB R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.216	-164.6907
20.600000	102.217	-165.2667
20.900000	102.214	-165.8855
21.200001	102.209	-166.5012
21.400000	102.206	-166.9084
21.799999	102.201	-167.7125
22.000000	102.200	-168.1075
22.400000	102.198	-168.8792
22.700001	102.198	-169.4411
23.000000	102.197	-169.9911
23.299999	102.197	-170.5341
23.600000	102.194	-171.0748
24.000000	102.188	-171.7969
24.299999	102.181	-172.3377
24.700001	102.168	-173.0502
25.000000	102.157	-173.5717
25.400000	102.142	-174.2431
25.799999	102.129	-174.8852
26.200001	102.118	-175.5018
26.500000	102.110	-175.9519
26.900000	102.099	-176.5426
27.200001	102.090	-176.9830
27.600000	102.076	-177.5710
28.000000	102.059	-178.1604
28.500000	102.033	-178.8905
29.000000	102.005	-179.5975
29.500000	101.979	179.7271
30.000000	101.958	179.0760
30.400000	101.942	178.5633
30.700001	101.930	178.1810
31.100000	101.913	177.6765
31.500000	101.893	177.1828
32.000000	101.865	176.5853
32.500000	101.836	176.0043
33.000000	101.808	175.4279
33.500000	101.778	174.8510
34.000000	101.747	174.2807
34.500000	101.715	173.7262
35.000000	101.683	173.1886
35.500000	101.652	172.6623
36.000000	101.620	172.1453
36.500000	101.586	171.6422
37.000000	101.551	171.1563
37.500000	101.518	170.6810
38.200001	101.473	170.0117
38.700001	101.440	169.5294
39.500000	101.386	168.7819
40.000000	101.354	168.3407
40.599998	101.316	167.8238
41.200001	101.276	167.3007
41.799999	101.230	166.7748
42.500000	101.172	166.1920
43.099998	101.125	165.7267
43.700001	101.084	165.2650
44.400002	101.034	164.7184
45.000000	100.985	164.2858
45.500000	100.943	163.9650
46.200001	100.891	163.5123
46.799999	100.846	163.0695
47.500000	100.787	162.5516
48.200001	100.736	162.1006
48.700001	100.712	161.7679
49.400002	100.677	161.2225
50.000000	100.628	160.7599
50.799999	100.543	160.3218
51.500000	100.478	160.0222
52.200001	100.420	159.6416
53.000000	100.354	159.1356
53.799999	100.297	158.6530
54.500000	100.252	158.2651
55.200001	100.198	157.9373
56.000000	100.127	157.6263
57.000000	100.035	157.1774
58.000000	99.940	156.6789
59.000000	99.858	156.2702
60.000000	99.777	155.8832
60.799999	99.705	155.5703
61.500000	99.644	155.2925
62.200001	99.588	155.0028
63.000000	99.526	154.6787
64.000000	99.446	154.3248
65.000000	99.363	154.0051
66.000000	99.281	153.6768
67.000000	99.200	153.3478
68.000000	99.117	153.0543
69.000000	99.035	152.7835
70.000000	98.950	152.5360
71.000000	98.869	152.2974
72.000000	98.792	152.0311
73.000000	98.712	151.7796
74.000000	98.631	151.5743
75.000000	98.549	151.3882
76.199997	98.453	151.1421
77.500000	98.345	150.8457
78.800003	98.241	150.6515
80.000000	98.164	150.4834
81.199997	98.080	150.2707
82.500000	97.975	150.0980
83.800003	97.874	149.9552
85.000000	97.786	149.8110
86.199997	97.699	149.6940
87.500000	97.604	149.6011
88.500000	97.529	149.5430
90.000000	97.419	149.4772
91.199997	97.338	149.4145
92.500000	97.248	149.3176
93.800003	97.157	149.2524
95.000000	97.074	149.2501
96.199997	96.997	149.2357
97.500000	96.926	149.1921
