* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 22, 2026 7:44:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	112.157	173.9314
20.600000	112.131	173.3883
20.900000	112.100	172.8023
21.200001	112.068	172.2122
21.400000	112.047	171.8165
21.799999	112.007	171.0228
22.000000	111.988	170.6282
22.400000	111.950	169.8551
22.700001	111.921	169.2958
23.000000	111.892	168.7560
23.299999	111.863	168.2334
23.600000	111.833	167.7232
24.000000	111.792	167.0539
24.299999	111.760	166.5561
24.700001	111.717	165.8963
25.000000	111.684	165.4062
25.400000	111.639	164.7637
25.799999	111.594	164.1388
26.200001	111.549	163.5338
26.500000	111.516	163.0912
26.900000	111.471	162.5100
27.200001	111.437	162.0765
27.600000	111.391	161.4990
28.000000	111.343	160.9264
28.500000	111.281	160.2330
29.000000	111.220	159.5771
29.500000	111.164	158.9522
30.000000	111.111	158.3383
30.400000	111.068	157.8474
30.700001	111.034	157.4810
31.100000	110.987	157.0000
31.500000	110.939	156.5315
32.000000	110.879	155.9612
32.500000	110.820	155.4003
33.000000	110.763	154.8462
33.500000	110.704	154.3056
34.000000	110.644	153.7845
34.500000	110.584	153.2808
35.000000	110.524	152.7870
35.500000	110.465	152.2983
36.000000	110.407	151.8160
36.500000	110.348	151.3469
37.000000	110.289	150.8951
37.500000	110.230	150.4554
38.200001	110.146	149.8401
38.700001	110.085	149.3994
39.500000	109.989	148.7240
40.000000	109.933	148.3254
40.599998	109.865	147.8594
41.200001	109.792	147.4146
41.799999	109.718	146.9936
42.500000	109.646	146.4495
43.099998	109.590	145.8932
43.700001	109.524	145.3854
44.400002	109.447	145.0743
45.000000	109.400	144.9532
45.500000	109.369	144.7519
46.200001	109.294	144.1978
46.799999	109.192	143.6511
47.500000	109.073	143.1719
48.200001	108.990	142.8351
48.700001	108.945	142.6140
49.400002	108.880	142.2968
50.000000	108.816	141.9867
50.799999	108.718	141.4680
51.500000	108.627	140.9814
52.200001	108.544	140.5635
53.000000	108.463	140.1711
53.799999	108.380	139.8114
54.500000	108.304	139.4953
55.200001	108.228	139.1688
56.000000	108.145	138.7976
57.000000	108.043	138.3558
58.000000	107.937	137.9386
59.000000	107.831	137.5574
60.000000	107.732	137.1914
60.799999	107.653	136.9029
61.500000	107.583	136.6537
62.200001	107.513	136.4042
63.000000	107.434	136.1221
64.000000	107.337	135.7862
65.000000	107.241	135.4683
66.000000	107.144	135.1623
67.000000	107.048	134.8676
68.000000	106.954	134.5821
69.000000	106.861	134.3028
70.000000	106.768	134.0297
71.000000	106.676	133.7659
72.000000	106.585	133.5146
73.000000	106.495	133.2741
74.000000	106.407	133.0377
75.000000	106.319	132.8042
76.199997	106.213	132.5438
77.500000	106.101	132.2812
78.800003	105.989	132.0151
80.000000	105.888	131.7963
81.199997	105.789	131.5801
82.500000	105.682	131.3298
83.800003	105.574	131.1142
85.000000	105.476	130.9261
86.199997	105.381	130.7111
87.500000	105.277	130.5116
88.500000	105.196	130.3834
90.000000	105.077	130.1280
91.199997	104.986	129.9526
92.500000	104.893	129.8459
93.800003	104.795	129.7428
95.000000	104.698	129.7102
96.199997	104.602	129.7177
97.500000	104.509	129.5397
98.800003	104.421	129.2826
100.000000	104.341	129.1598
101.500000	104.235	129.0235
103.000000	104.131	128.8628
104.400002	104.037	128.7398
106.000000	103.930	128.6062
107.500000	103.828	128.5137
109.000000	103.727	128.4398
110.599998	103.625	128.3488
112.000000	103.537	128.2760
113.800003	103.420	128.2030
115.000000	103.341	128.1747
117.199997	103.202	128.1030
118.000000	103.152	128.0719
120.599998	102.992	127.9924
122.000000	102.908	127.9426
124.099998	102.783	127.8953
125.000000	102.730	127.8895
126.500000	102.639	127.8803
128.000000	102.550	127.8780
131.500000	102.360	127.8198
132.000000	102.332	127.8105
134.000000	102.214	127.8933
136.000000	102.092	128.2209
138.000000	102.002	128.4204
140.000000	101.915	128.0807
143.000000	101.772	128.0933
145.000000	101.679	128.1582
147.500000	101.548	128.0882
150.000000	101.415	128.1298
152.500000	101.298	128.0027
155.000000	101.185	127.9561
157.500000	101.069	127.9841
160.000000	100.950	128.0387
162.500000	100.834	128.1119
165.000000	100.725	128.2427
167.500000	100.618	128.3585
170.000000	100.506	128.4289
172.500000	100.392	128.5096
175.000000	100.284	128.6394
177.500000	100.180	128.7466
180.000000	100.080	128.8529
182.500000	99.980	129.0021
185.000000	99.877	129.1602
187.500000	99.771	129.2980
190.000000	99.660	129.3752
192.500000	99.553	129.4858
195.000000	99.475	129.8006
197.500000	99.410	130.0465
200.000000	99.342	130.1963
203.000000	99.244	130.4076
206.000000	99.140	130.5589
209.000000	99.045	130.6963
212.000000	98.954	130.8535
214.000000	98.894	130.9481
218.000000	98.769	131.1264
220.000000	98.705	131.2257
224.000000	98.578	131.3898
227.000000	98.479	131.4696
230.000000	98.376	131.6171
233.000000	98.281	131.8545
236.000000	98.191	132.0742
240.000000	98.079	132.3373
243.000000	97.988	132.5714
247.000000	97.874	132.9295
250.000000	97.787	133.1461
254.000000	97.669	133.3966
258.000000	97.567	133.6992
262.000000	97.466	133.9614
265.000000	97.388	134.1375
269.000000	97.284	134.3963
272.000000	97.209	134.6283
276.000000	97.111	134.9262
280.000000	97.009	135.2287
285.000000	96.883	135.6244
290.000000	96.760	136.0037
295.000000	96.643	136.4049
300.000000	96.533	136.8177
304.000000	96.445	137.1438
307.000000	96.378	137.3805
311.000000	96.292	137.6967
315.000000	96.207	138.0221
320.000000	96.104	138.4264
325.000000	96.002	138.8334
330.000000	95.902	139.2523
335.000000	95.805	139.6831
340.000000	95.710	140.1118
