* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 22, 2026 7:46:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.882	178.8969
20.600000	110.864	178.3561
20.900000	110.841	177.7758
21.200001	110.817	177.1959
21.400000	110.801	176.8092
21.799999	110.773	176.0344
22.000000	110.759	175.6475
22.400000	110.734	174.8817
22.700001	110.714	174.3204
23.000000	110.694	173.7748
23.299999	110.672	173.2458
23.600000	110.649	172.7323
24.000000	110.617	172.0654
24.299999	110.593	171.5732
24.700001	110.560	170.9220
25.000000	110.535	170.4362
25.400000	110.500	169.7955
25.799999	110.466	169.1689
26.200001	110.430	168.5603
26.500000	110.404	168.1141
26.900000	110.369	167.5260
27.200001	110.342	167.0856
27.600000	110.304	166.4972
28.000000	110.264	165.9136
28.500000	110.213	165.2086
29.000000	110.163	164.5439
29.500000	110.119	163.9113
30.000000	110.079	163.2896
30.400000	110.046	162.7926
30.700001	110.020	162.4221
31.100000	109.982	161.9365
31.500000	109.941	161.4649
32.000000	109.889	160.8930
32.500000	109.838	160.3305
33.000000	109.787	159.7702
33.500000	109.737	159.2149
34.000000	109.688	158.6701
34.500000	109.638	158.1352
35.000000	109.589	157.6053
35.500000	109.539	157.0810
36.000000	109.487	156.5734
36.500000	109.434	156.0949
37.000000	109.382	155.6440
37.500000	109.333	155.2031
38.200001	109.263	154.5739
38.700001	109.208	154.1256
39.500000	109.114	153.4592
40.000000	109.058	153.0681
40.599998	108.999	152.5844
41.200001	108.943	152.0738
41.799999	108.885	151.5714
42.500000	108.818	151.0329
43.099998	108.761	150.5933
43.700001	108.700	150.1524
44.400002	108.624	149.6457
45.000000	108.561	149.2231
45.500000	108.511	148.8727
46.200001	108.444	148.3979
46.799999	108.385	148.0288
47.500000	108.313	147.6126
48.200001	108.230	147.1526
48.700001	108.163	146.8190
49.400002	108.070	146.4143
50.000000	108.011	146.1120
50.799999	107.957	145.6566
51.500000	107.906	145.2159
52.200001	107.842	144.8195
53.000000	107.763	144.4090
53.799999	107.683	143.9886
54.500000	107.614	143.6302
55.200001	107.548	143.2907
56.000000	107.473	142.9131
57.000000	107.376	142.4673
58.000000	107.281	142.0363
59.000000	107.186	141.5911
60.000000	107.090	141.1516
60.799999	107.015	140.8214
61.500000	106.951	140.5492
62.200001	106.888	140.2896
63.000000	106.814	140.0060
64.000000	106.723	139.6489
65.000000	106.632	139.2741
66.000000	106.539	138.9342
67.000000	106.449	138.6241
68.000000	106.362	138.2948
69.000000	106.275	137.9686
70.000000	106.186	137.6690
71.000000	106.098	137.3823
72.000000	106.013	137.0732
73.000000	105.928	136.7689
74.000000	105.845	136.5153
75.000000	105.761	136.2701
76.199997	105.655	135.9612
77.500000	105.547	135.7057
78.800003	105.441	135.7214
80.000000	105.361	135.7178
81.199997	105.266	135.2417
82.500000	105.144	134.7159
83.800003	105.040	134.4018
85.000000	104.948	134.1587
86.199997	104.859	133.9306
87.500000	104.766	133.6993
88.500000	104.686	133.5540
90.000000	104.560	133.2988
91.199997	104.467	133.0258
92.500000	104.371	132.8078
93.800003	104.274	132.6714
95.000000	104.187	132.5765
96.199997	104.104	132.5040
97.500000	104.011	132.3481
98.800003	103.919	132.0905
100.000000	103.831	131.9144
101.500000	103.713	131.7843
103.000000	103.595	131.8121
104.400002	103.509	131.8378
106.000000	103.506	131.4563
107.500000	103.477	131.0754
109.000000	103.329	132.0614
110.599998	103.243	132.6034
112.000000	103.199	132.3759
113.800003	103.121	131.6869
115.000000	103.038	131.1793
117.199997	102.863	130.7536
118.000000	102.807	130.7260
120.599998	102.656	130.5603
122.000000	102.571	130.4379
124.099998	102.439	130.3659
125.000000	102.383	130.3631
126.500000	102.295	130.3293
128.000000	102.216	130.2593
131.500000	102.029	130.0334
132.000000	102.001	130.0035
134.000000	101.894	129.9602
136.000000	101.788	129.9229
138.000000	101.671	129.8835
140.000000	101.544	129.8889
143.000000	101.368	129.8254
145.000000	101.296	129.7545
147.500000	101.180	129.8375
150.000000	101.050	129.8722
152.500000	100.918	129.9268
155.000000	100.800	130.0730
157.500000	100.696	130.2526
160.000000	100.602	130.3671
162.500000	100.517	130.4290
165.000000	100.418	130.4145
167.500000	100.313	130.3349
170.000000	100.202	130.2771
172.500000	100.093	130.3205
175.000000	99.983	130.3825
177.500000	99.863	130.4263
180.000000	99.756	130.5211
182.500000	99.667	130.5925
185.000000	99.577	130.6588
187.500000	99.484	130.7387
190.000000	99.386	130.8259
192.500000	99.291	130.9231
195.000000	99.200	131.0354
197.500000	99.116	131.1683
200.000000	99.033	131.2768
203.000000	98.917	131.3820
206.000000	98.802	131.5300
209.000000	98.697	131.6583
212.000000	98.588	131.8008
214.000000	98.513	131.9158
218.000000	98.381	132.1740
220.000000	98.316	132.3171
224.000000	98.186	132.7377
227.000000	98.093	132.9958
230.000000	98.008	133.1538
233.000000	97.932	133.3258
236.000000	97.857	133.4440
240.000000	97.747	133.5937
243.000000	97.663	133.7116
247.000000	97.552	133.9361
250.000000	97.467	134.1160
254.000000	97.351	134.3661
258.000000	97.240	134.6092
262.000000	97.131	134.8826
265.000000	97.050	135.1158
269.000000	96.946	135.3860
272.000000	96.871	135.5786
276.000000	96.768	135.8345
280.000000	96.665	136.1212
285.000000	96.545	136.4842
290.000000	96.428	136.8379
295.000000	96.314	137.2062
300.000000	96.201	137.5751
304.000000	96.112	137.8761
307.000000	96.046	138.1030
311.000000	95.960	138.4071
315.000000	95.875	138.7117
320.000000	95.770	139.0926
325.000000	95.666	139.4794
330.000000	95.565	139.8711
335.000000	95.468	140.2657
340.000000	95.372	140.6616
345.000000	95.279	141.0474
350.000000	95.188	141.4340
355.000000	95.096	141.8540
360.000000	95.006	142.2707
365.000000	94.918	142.6787
370.000000	94.833	143.0837
375.000000	94.749	143.4907
382.000000	94.633	144.0675
387.000000	94.553	144.4813
395.000000	94.429	145.1405
400.000000	94.354	145.5524
406.000000	94.263	146.0578
412.000000	94.174	146.5659
418.000000	94.088	147.0712
425.000000	93.990	147.6619
431.000000	93.908	148.1707
437.000000	93.828	148.6812
444.000000	93.738	149.2742
450.000000	93.663	149.7771
455.000000	93.600	150.2089
462.000000	93.513	150.8174
468.000000	93.442	151.3331
475.000000	93.360	151.9316
482.000000	93.281	152.5327
487.000000	93.226	152.9622
494.000000	93.149	153.5609
500.000000	93.085	154.0766
508.000000	93.002	154.7764
515.000000	92.932	155.3887
522.000000	92.864	155.9957
530.000000	92.787	156.6900
538.000000	92.712	157.3937
545.000000	92.647	158.0249
552.000000	92.585	158.6497
560.000000	92.519	159.3294
570.000000	92.437	160.1953
580.000000	92.358	161.0759
590.000000	92.281	161.9595
600.000000	92.207	162.8472
608.000000	92.151	163.5676
615.000000	92.103	164.1964
622.000000	92.057	164.8252
630.000000	92.005	165.5485
640.000000	91.944	166.4533
650.000000	91.886	167.3553
660.000000	91.830	168.2617
670.000000	91.778	169.1764
680.000000	91.729	170.0942
690.000000	91.682	171.0133
700.000000	91.639	171.9386
710.000000	91.597	172.8702
720.000000	91.557	173.8060
730.000000	91.521	174.7533
740.000000	91.487	175.7138
750.000000	91.459	176.6927
762.000000	91.437	177.8984
775.000000	91.426	179.1843
788.000000	91.425	-179.5757
800.000000	91.430	-178.4743
812.000000	91.439	-177.4134
825.000000	91.452	-176.3151
838.000000	91.462	-175.2655
850.000000	91.465	-174.3002
862.000000	91.459	-173.3009
875.000000	91.455	-172.1136
885.000000	91.461	-171.1342
900.000000	91.492	-169.6371
912.000000	91.533	-168.4631
925.000000	91.589	-167.2421
938.000000	91.656	-166.0716
950.000000	91.723	-165.0362
962.000000	91.794	-164.0428
975.000000	91.876	-163.0121
988.000000	91.963	-162.0312
1000.000000	92.048	-161.1676
1015.000000	92.158	-160.1483
1030.000000	92.273	-159.1944
1044.000000	92.382	-158.3648
1060.000000	92.511	-157.4874
1075.000000	92.634	-156.7321
1090.000000	92.756	-156.0386
1106.000000	92.885	-155.3697
1120.000000	92.997	-154.8380
1138.000000	93.138	-154.2213
1150.000000	93.230	-153.8503
1172.000000	93.395	-153.2497
1180.000000	93.453	-153.0527
1206.000000	93.632	-152.4771
1220.000000	93.723	-152.2046
1241.000000	93.854	-151.8364
1250.000000	93.908	-151.6906
1265.000000	93.994	-151.4594
1280.000000	94.076	-151.2421
1315.000000	94.253	-150.7748
1320.000000	94.276	-150.7119
1340.000000	94.368	-150.4656
1360.000000	94.455	-150.2211
1380.000000	94.538	-149.9763
1400.000000	94.617	-149.7303
1430.000000	94.730	-149.3558
1450.000000	94.801	-149.0997
1475.000000	94.889	-148.7784
1500.000000	94.975	-148.4486
1525.000000	95.058	-148.1097
1550.000000	95.141	-147.7654
1575.000000	95.223	-147.4144
1600.000000	95.305	-147.0598
1625.000000	95.388	-146.7019
1650.000000	95.472	-146.3457
1675.000000	95.556	-145.9942
1700.000000	95.641	-145.6442
1725.000000	95.728	-145.2975
1750.000000	95.817	-144.9565
1775.000000	95.907	-144.6241
1800.000000	95.998	-144.3010
1825.000000	96.091	-143.9893
1850.000000	96.184	-143.6901
1875.000000	96.280	-143.4044
1900.000000	96.377	-143.1339
1925.000000	96.476	-142.8755
1950.000000	96.575	-142.6326
1975.000000	96.676	-142.4103
2000.000000	96.779	-142.2085
