* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 6, 2025 6:48:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.184	-160.6408
20.600000	101.130	-161.2103
20.900000	101.101	-161.8265
21.200001	101.111	-162.5335
21.400000	101.136	-163.0965
21.799999	101.209	-164.4787
22.000000	101.243	-165.2736
22.400000	101.286	-166.9159
22.700001	101.290	-168.0296
23.000000	101.277	-168.9161
23.299999	101.265	-169.5309
23.600000	101.269	-169.9172
24.000000	101.312	-170.2891
24.299999	101.365	-170.6317
24.700001	101.428	-171.3134
25.000000	101.450	-171.9741
25.400000	101.435	-172.9125
25.799999	101.390	-173.7519
26.200001	101.348	-174.4279
26.500000	101.336	-174.8715
26.900000	101.348	-175.4800
27.200001	101.366	-175.9899
27.600000	101.382	-176.7204
28.000000	101.374	-177.4215
28.500000	101.334	-178.1402
29.000000	101.288	-178.7156
29.500000	101.260	-179.3376
30.000000	101.251	179.8519
30.400000	101.250	179.0988
30.700001	101.250	178.5337
31.100000	101.252	177.8504
31.500000	101.256	177.2774
32.000000	101.256	176.6638
32.500000	101.230	176.0664
33.000000	101.160	175.4658
33.500000	101.063	174.9275
34.000000	100.982	174.4577
34.500000	100.956	173.9312
35.000000	100.977	173.2280
35.500000	101.007	172.4134
36.000000	101.014	171.6960
36.500000	100.996	171.2119
37.000000	100.965	170.8947
37.500000	100.921	170.5771
38.200001	100.824	170.0262
38.700001	100.744	169.6610
39.500000	100.666	169.1660
40.000000	100.658	168.7411
40.599998	100.650	168.0109
41.200001	100.607	167.1975
41.799999	100.535	166.5192
42.500000	100.461	165.9296
43.099998	100.425	165.4283
43.700001	100.400	164.8476
44.400002	100.363	164.1840
45.000000	100.323	163.7365
45.500000	100.288	163.4362
46.200001	100.229	163.0372
46.799999	100.170	162.6686
47.500000	100.102	162.1711
48.200001	100.048	161.5693
48.700001	100.012	161.1190
49.400002	99.959	160.5900
50.000000	99.911	160.2744
50.799999	99.845	159.9140
51.500000	99.783	159.5264
52.200001	99.728	159.0692
53.000000	99.680	158.5471
53.799999	99.632	158.1428
54.500000	99.578	157.9078
55.200001	99.515	157.6652
56.000000	99.438	157.2523
57.000000	99.352	156.6427
58.000000	99.286	156.1520
59.000000	99.218	155.7487
60.000000	99.132	155.3032
60.799999	99.056	154.9742
61.500000	98.999	154.7471
62.200001	98.955	154.5205
63.000000	98.908	154.2196
64.000000	98.847	153.8603
65.000000	98.778	153.5723
66.000000	98.691	153.3066
67.000000	98.603	152.9299
