* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2026 11:53:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.127	-178.6258
20.600000	105.106	-179.2804
20.900000	105.082	-179.9781
21.200001	105.058	179.3281
21.400000	105.043	178.8668
21.799999	105.015	177.9476
22.000000	105.001	177.4926
22.400000	104.973	176.6036
22.700001	104.950	175.9625
23.000000	104.927	175.3451
23.299999	104.904	174.7473
23.600000	104.880	174.1622
24.000000	104.848	173.3905
24.299999	104.823	172.8140
24.700001	104.787	172.0508
25.000000	104.758	171.4880
25.400000	104.717	170.7582
25.799999	104.674	170.0563
26.200001	104.632	169.3799
26.500000	104.600	168.8858
26.900000	104.558	168.2391
27.200001	104.527	167.7609
27.600000	104.484	167.1315
28.000000	104.440	166.5125
28.500000	104.385	165.7582
29.000000	104.330	165.0307
29.500000	104.274	164.3323
30.000000	104.218	163.6600
30.400000	104.173	163.1367
30.700001	104.140	162.7508
31.100000	104.094	162.2440
31.500000	104.049	161.7462
32.000000	103.992	161.1390
32.500000	103.935	160.5499
33.000000	103.878	159.9784
33.500000	103.818	159.4233
34.000000	103.758	158.8833
34.500000	103.697	158.3516
35.000000	103.638	157.8172
35.500000	103.579	157.2810
36.000000	103.518	156.7685
36.500000	103.458	156.3124
37.000000	103.402	155.9115
37.500000	103.349	155.5167
38.200001	103.273	154.8790
38.700001	103.211	154.3714
39.500000	103.109	153.6041
40.000000	103.054	153.2002
40.599998	102.996	152.7847
41.200001	102.934	152.3996
41.799999	102.860	151.9793
42.500000	102.763	151.4163
43.099998	102.687	150.9357
43.700001	102.632	150.5039
44.400002	102.571	150.0685
45.000000	102.493	149.7828
45.500000	102.419	149.5644
46.200001	102.331	149.0565
46.799999	102.269	148.4390
47.500000	102.209	148.0273
48.200001	102.177	148.0634
48.700001	102.115	147.9755
49.400002	101.832	147.6291
50.000000	101.441	147.7623
50.799999	101.160	148.5435
51.500000	101.328	148.0255
52.200001	101.551	146.3053
53.000000	101.607	145.1053
53.799999	101.557	145.1522
54.500000	101.483	145.0834
55.200001	101.379	144.6769
56.000000	101.289	144.2444
57.000000	101.216	143.8853
58.000000	101.102	143.6524
59.000000	100.988	143.3147
60.000000	100.893	142.9298
60.799999	100.818	142.7690
61.500000	100.753	142.6317
62.200001	100.684	142.3798
63.000000	100.601	142.0063
64.000000	100.505	141.6671
65.000000	100.422	141.4507
66.000000	100.333	141.2199
67.000000	100.237	140.9957
68.000000	100.144	140.7969
69.000000	100.057	140.6199
70.000000	99.969	140.4320
71.000000	99.874	140.2413
72.000000	99.780	140.0602
73.000000	99.696	139.8865
74.000000	99.618	139.6648
75.000000	99.536	139.2356
76.199997	99.412	138.7954
77.500000	99.310	138.9757
78.800003	99.158	139.3180
80.000000	99.002	139.5107
81.199997	98.926	138.9809
82.500000	98.846	138.4615
83.800003	98.751	138.4343
85.000000	98.665	138.3847
86.199997	98.602	138.2201
87.500000	98.513	138.0379
88.500000	98.415	137.9269
90.000000	98.269	137.3629
91.199997	98.137	137.1010
92.500000	98.008	137.4565
93.800003	97.910	137.9006
95.000000	97.814	138.4351
96.199997	97.683	139.1179
97.500000	97.621	139.5413
98.800003	97.549	139.7054
100.000000	97.149	140.1573
101.500000	96.651	141.0105
103.000000	97.082	139.4142
104.400002	97.443	138.5702
106.000000	97.491	138.7493
107.500000	97.425	138.3115
109.000000	97.344	137.8783
110.599998	97.272	137.7225
112.000000	97.190	137.7134
113.800003	97.052	137.9308
115.000000	96.978	138.2334
117.199997	96.819	138.1321
118.000000	96.756	138.0388
120.599998	96.585	138.1031
122.000000	96.519	138.0877
124.099998	96.421	138.1137
125.000000	96.373	138.2293
126.500000	96.301	138.4217
128.000000	96.246	138.6132
131.500000	96.066	138.6062
132.000000	96.039	138.5473
134.000000	95.943	138.4039
136.000000	95.851	138.5763
138.000000	95.776	138.7278
140.000000	95.726	138.9911
143.000000	95.553	139.2785
145.000000	95.441	139.5917
147.500000	95.333	139.8603
150.000000	95.047	138.8872
152.500000	94.707	137.3308
155.000000	94.955	139.5568
157.500000	95.033	140.6161
160.000000	94.991	141.0289
162.500000	94.898	141.0213
165.000000	94.807	141.0925
167.500000	94.711	141.3983
170.000000	94.620	141.5660
172.500000	94.530	141.6721
175.000000	94.438	141.7964
177.500000	94.348	141.9692
180.000000	94.256	142.1313
182.500000	94.167	142.3112
185.000000	94.081	142.4938
187.500000	93.997	142.6752
190.000000	93.918	142.8661
192.500000	93.837	143.0752
195.000000	93.755	143.3030
197.500000	93.679	143.6070
200.000000	93.610	144.0846
203.000000	93.526	144.6608
206.000000	93.435	144.6172
209.000000	93.350	144.7356
212.000000	93.271	145.0139
214.000000	93.219	145.2242
218.000000	93.115	145.6603
220.000000	93.066	145.8613
224.000000	92.975	146.2215
227.000000	92.911	146.4865
230.000000	92.844	146.7655
233.000000	92.778	147.0541
236.000000	92.711	147.3456
240.000000	92.625	147.7457
243.000000	92.565	148.0550
