* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2026 11:56:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.475	-161.4452
20.600000	103.486	-162.1549
20.900000	103.495	-162.9207
21.200001	103.502	-163.6860
21.400000	103.506	-164.1938
21.799999	103.517	-165.2027
22.000000	103.523	-165.7022
22.400000	103.535	-166.6857
22.700001	103.544	-167.4057
23.000000	103.552	-168.1086
23.299999	103.558	-168.7948
23.600000	103.562	-169.4662
24.000000	103.565	-170.3425
24.299999	103.564	-170.9874
24.700001	103.561	-171.8312
25.000000	103.557	-172.4521
25.400000	103.551	-173.2660
25.799999	103.545	-174.0686
26.200001	103.539	-174.8644
26.500000	103.533	-175.4563
26.900000	103.522	-176.2326
27.200001	103.512	-176.7994
27.600000	103.495	-177.5291
28.000000	103.478	-178.2314
28.500000	103.457	-179.0863
29.000000	103.436	-179.9325
29.500000	103.412	179.2307
30.000000	103.386	178.4183
30.400000	103.366	177.7922
30.700001	103.351	177.3347
31.100000	103.333	176.7346
31.500000	103.314	176.1396
32.000000	103.287	175.3994
32.500000	103.256	174.6679
33.000000	103.221	173.9519
33.500000	103.188	173.2515
34.000000	103.156	172.5617
34.500000	103.127	171.8841
35.000000	103.098	171.2330
35.500000	103.066	170.6241
36.000000	103.032	170.0515
36.500000	102.997	169.4844
37.000000	102.958	168.8989
37.500000	102.915	168.3074
38.200001	102.860	167.5355
38.700001	102.834	167.0259
39.500000	102.805	166.1710
40.000000	102.773	165.5956
40.599998	102.708	164.9379
41.200001	102.633	164.3604
41.799999	102.571	163.8036
42.500000	102.519	163.1010
43.099998	102.478	162.5084
43.700001	102.433	161.9902
44.400002	102.376	161.4312
45.000000	102.320	160.9189
45.500000	102.273	160.4702
46.200001	102.220	159.8511
46.799999	102.182	159.3581
47.500000	102.122	158.8826
48.200001	102.042	158.4671
48.700001	101.981	158.0352
49.400002	101.886	157.0621
50.000000	101.787	156.0938
50.799999	101.679	155.3250
51.500000	101.661	155.2496
52.200001	101.682	155.2516
53.000000	101.659	155.0311
53.799999	101.583	154.6604
54.500000	101.520	154.2339
55.200001	101.465	153.7611
56.000000	101.402	153.3008
57.000000	101.317	152.8020
58.000000	101.224	152.2506
59.000000	101.134	151.7129
60.000000	101.049	151.2375
60.799999	100.982	150.9016
61.500000	100.927	150.5968
62.200001	100.873	150.2591
63.000000	100.808	149.8617
64.000000	100.724	149.4013
65.000000	100.640	148.9770
66.000000	100.559	148.5758
67.000000	100.483	148.1692
68.000000	100.402	147.7664
69.000000	100.317	147.4073
70.000000	100.234	147.0378
71.000000	100.152	146.6740
72.000000	100.072	146.3728
73.000000	99.993	146.0765
74.000000	99.916	145.7203
75.000000	99.848	145.2172
76.199997	99.749	144.7396
