* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2026 12:13:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.020	163.8843
20.600000	105.982	163.3457
20.900000	105.935	162.7696
21.200001	105.888	162.1955
21.400000	105.857	161.8133
21.799999	105.798	161.0501
22.000000	105.769	160.6709
22.400000	105.713	159.9254
22.700001	105.671	159.3834
23.000000	105.629	158.8586
23.299999	105.585	158.3502
23.600000	105.541	157.8553
24.000000	105.480	157.2119
24.299999	105.434	156.7390
24.700001	105.372	156.1198
25.000000	105.325	155.6634
25.400000	105.263	155.0658
25.799999	105.200	154.4822
26.200001	105.137	153.9167
26.500000	105.090	153.5065
26.900000	105.027	152.9767
27.200001	104.981	152.5875
27.600000	104.919	152.0693
28.000000	104.858	151.5455
28.500000	104.778	150.8924
29.000000	104.696	150.2756
29.500000	104.615	149.7231
30.000000	104.540	149.2218
30.400000	104.482	148.8300
30.700001	104.439	148.5300
31.100000	104.378	148.1211
31.500000	104.313	147.7116
32.000000	104.228	147.2158
32.500000	104.144	146.7397
33.000000	104.066	146.2712
33.500000	103.991	145.8067
34.000000	103.919	145.3553
34.500000	103.849	144.9207
35.000000	103.779	144.4936
35.500000	103.706	144.0704
36.000000	103.630	143.6644
36.500000	103.554	143.2874
37.000000	103.484	142.9281
37.500000	103.418	142.5636
38.200001	103.323	142.0508
38.700001	103.249	141.7241
39.500000	103.122	141.3024
40.000000	103.043	141.0610
40.599998	102.955	140.7290
41.200001	102.874	140.3065
41.799999	102.798	139.8097
42.500000	102.706	139.3046
43.099998	102.634	139.0843
43.700001	102.583	138.9899
44.400002	102.532	138.7431
45.000000	102.455	138.3374
45.500000	102.362	137.9768
46.200001	102.224	137.5901
46.799999	102.129	137.3225
47.500000	102.040	136.9840
48.200001	101.953	136.6649
48.700001	101.889	136.4775
49.400002	101.800	136.2276
50.000000	101.723	135.9928
50.799999	101.619	135.6841
51.500000	101.535	135.4431
52.200001	101.457	135.2137
53.000000	101.366	134.9528
53.799999	101.271	134.6918
54.500000	101.187	134.4645
55.200001	101.102	134.2419
56.000000	101.006	133.9941
57.000000	100.888	133.7183
58.000000	100.781	133.5103
59.000000	100.683	133.3119
60.000000	100.578	133.0691
60.799999	100.487	132.8654
61.500000	100.409	132.7009
62.200001	100.335	132.5549
63.000000	100.252	132.4069
64.000000	100.145	132.2331
65.000000	100.040	132.0441
66.000000	99.950	131.8320
67.000000	99.868	131.6558
68.000000	99.775	131.5152
69.000000	99.656	131.3788
70.000000	99.532	131.2696
71.000000	99.425	131.1631
72.000000	99.329	131.0681
73.000000	99.237	130.9752
74.000000	99.144	130.8636
75.000000	99.051	130.7698
76.199997	98.932	130.7049
77.500000	98.809	130.6287
78.800003	98.710	130.3988
80.000000	98.621	130.3308
81.199997	98.524	130.4772
82.500000	98.417	130.6149
83.800003	98.315	130.3978
85.000000	98.190	130.1544
86.199997	98.082	130.0675
87.500000	97.987	130.0563
88.500000	97.918	130.1785
90.000000	97.801	130.1026
91.199997	97.686	129.8954
92.500000	97.570	129.7973
93.800003	97.459	129.8256
95.000000	97.360	129.8329
96.199997	97.263	129.8111
97.500000	97.154	129.8758
98.800003	97.033	130.0074
100.000000	96.923	130.0724
101.500000	96.793	130.0238
103.000000	96.652	130.2439
104.400002	96.557	131.0897
106.000000	96.495	132.3021
107.500000	96.443	133.0973
109.000000	96.464	133.2915
110.599998	96.491	132.8095
112.000000	96.475	132.1850
113.800003	96.410	131.3689
115.000000	96.345	130.6633
117.199997	96.227	130.6900
118.000000	96.198	130.9929
120.599998	96.015	131.2358
122.000000	95.919	131.2376
124.099998	95.788	131.2834
125.000000	95.732	131.2430
126.500000	95.644	131.1429
128.000000	95.555	131.1124
131.500000	95.352	131.2488
132.000000	95.327	131.2665
134.000000	95.241	131.2106
136.000000	95.141	131.2785
138.000000	95.046	131.6418
140.000000	94.968	132.0260
143.000000	94.851	132.3774
145.000000	94.746	132.3750
147.500000	94.616	132.4415
150.000000	94.509	132.6498
152.500000	94.401	132.7696
155.000000	94.291	133.0264
157.500000	94.181	133.2572
160.000000	94.073	133.4953
162.500000	93.960	133.6949
165.000000	93.853	133.7926
167.500000	93.772	133.7910
170.000000	93.678	134.0057
172.500000	93.547	134.4225
175.000000	93.429	134.7245
177.500000	93.338	134.7975
180.000000	93.245	135.0988
182.500000	93.138	135.5105
185.000000	93.045	135.8450
187.500000	92.954	136.1539
190.000000	92.868	136.4240
192.500000	92.804	136.7021
195.000000	92.729	137.0440
197.500000	92.669	137.1716
200.000000	92.623	137.1539
203.000000	92.556	137.2807
206.000000	92.495	137.6254
209.000000	92.478	137.9900
212.000000	92.378	138.3717
214.000000	92.286	139.0068
218.000000	92.138	139.5583
220.000000	92.064	139.4221
224.000000	91.921	139.6968
227.000000	91.866	140.2035
230.000000	91.817	140.5657
233.000000	91.759	140.7809
236.000000	91.689	141.0887
240.000000	91.592	141.5592
243.000000	91.521	141.7898
247.000000	91.420	142.0845
250.000000	91.351	142.4170
254.000000	91.260	142.8442
258.000000	91.155	143.2529
262.000000	91.055	143.8499
265.000000	91.017	144.3814
269.000000	90.969	144.5878
272.000000	90.901	144.7210
276.000000	90.808	145.1042
280.000000	90.724	145.5465
285.000000	90.634	146.1062
290.000000	90.545	146.6491
295.000000	90.454	147.1657
300.000000	90.368	147.6811
304.000000	90.302	148.1047
307.000000	90.252	148.4191
311.000000	90.186	148.8406
315.000000	90.121	149.2782
320.000000	90.042	149.7999
325.000000	89.963	150.2972
330.000000	89.895	150.7624
335.000000	89.829	151.2827
340.000000	89.763	151.7953
345.000000	89.700	152.2788
350.000000	89.637	152.7544
355.000000	89.571	153.2471
360.000000	89.516	153.7136
365.000000	89.459	154.1897
370.000000	89.398	154.6594
375.000000	89.336	155.1153
382.000000	89.260	155.8318
387.000000	89.211	156.3783
395.000000	89.120	157.2011
400.000000	89.069	157.6764
406.000000	89.006	158.2768
412.000000	88.949	158.8942
418.000000	88.892	159.4665
425.000000	88.826	160.1259
431.000000	88.774	160.6821
437.000000	88.723	161.2625
444.000000	88.665	161.9334
450.000000	88.618	162.5173
455.000000	88.579	162.9767
462.000000	88.525	163.6321
468.000000	88.480	164.1929
475.000000	88.430	164.8142
482.000000	88.381	165.4660
487.000000	88.348	165.9269
494.000000	88.303	166.5709
500.000000	88.267	167.1160
508.000000	88.219	167.8484
515.000000	88.177	168.4886
522.000000	88.136	169.1233
530.000000	88.091	169.8438
538.000000	88.051	170.5536
545.000000	88.017	171.1886
552.000000	87.981	171.8173
560.000000	87.937	172.5277
570.000000	87.887	173.4253
580.000000	87.841	174.3185
590.000000	87.795	175.2149
600.000000	87.750	176.1004
608.000000	87.715	176.8223
615.000000	87.685	177.4712
622.000000	87.655	178.1235
630.000000	87.620	178.8680
640.000000	87.575	179.8160
650.000000	87.528	-179.1995
660.000000	87.486	-178.2322
670.000000	87.440	-177.1972
680.000000	87.400	-176.0147
690.000000	87.370	-174.7084
700.000000	87.359	-173.2440
710.000000	87.390	-171.7632
720.000000	87.462	-170.3930
730.000000	87.561	-169.2905
740.000000	87.656	-168.5178
750.000000	87.721	-167.9304
762.000000	87.758	-167.2062
775.000000	87.776	-166.2724
788.000000	87.804	-165.0970
800.000000	87.857	-163.9633
812.000000	87.939	-162.9851
825.000000	88.021	-162.1740
838.000000	88.074	-161.4777
850.000000	88.105	-160.7777
862.000000	88.131	-159.9817
875.000000	88.164	-159.0595
885.000000	88.193	-158.3281
900.000000	88.245	-157.2106
912.000000	88.295	-156.3130
925.000000	88.356	-155.3565
938.000000	88.424	-154.4171
950.000000	88.493	-153.5685
962.000000	88.565	-152.7380
975.000000	88.649	-151.8726
988.000000	88.737	-151.0401
1000.000000	88.823	-150.2994
1015.000000	88.936	-149.4287
1030.000000	89.051	-148.6112
1044.000000	89.159	-147.9068
1060.000000	89.285	-147.1829
1075.000000	89.406	-146.5362
1090.000000	89.527	-145.9416
1106.000000	89.655	-145.3689
1120.000000	89.766	-144.9133
1138.000000	89.906	-144.3910
1150.000000	89.997	-144.0759
1172.000000	90.157	-143.5544
1180.000000	90.214	-143.3847
1206.000000	90.391	-142.8897
1220.000000	90.481	-142.6511
1241.000000	90.613	-142.3249
1250.000000	90.669	-142.1944
1265.000000	90.763	-141.9910
1280.000000	90.855	-141.8017
1315.000000	91.061	-141.3771
1320.000000	91.089	-141.3188
1340.000000	91.198	-141.0866
1360.000000	91.302	-140.8518
1380.000000	91.401	-140.6207
1400.000000	91.497	-140.3735
1430.000000	91.639	-140.0137
1450.000000	91.731	-139.7575
1475.000000	91.845	-139.4293
1500.000000	91.955	-139.1239
1525.000000	92.064	-138.8115
1550.000000	92.173	-138.4838
1575.000000	92.283	-138.1795
1600.000000	92.390	-137.8610
1625.000000	92.491	-137.5356
1650.000000	92.591	-137.2094
1675.000000	92.692	-136.8893
1700.000000	92.794	-136.5690
1725.000000	92.896	-136.2475
1750.000000	93.001	-135.9350
1775.000000	93.107	-135.6317
1800.000000	93.214	-135.3364
1825.000000	93.323	-135.0566
1850.000000	93.434	-134.7908
1875.000000	93.546	-134.5349
1900.000000	93.660	-134.2983
1925.000000	93.774	-134.0778
1950.000000	93.890	-133.8699
1975.000000	94.009	-133.6700
2000.000000	94.130	-133.4910
2030.000000	94.277	-133.3198
2060.000000	94.426	-133.1885
2090.000000	94.578	-133.0912
2120.000000	94.730	-133.0200
2140.000000	94.832	-132.9883
2180.000000	95.029	-132.9777
2200.000000	95.127	-132.9967
2240.000000	95.326	-133.0930
2270.000000	95.474	-133.2181
2300.000000	95.618	-133.3652
2330.000000	95.755	-133.5216
2360.000000	95.886	-133.6816
2400.000000	96.058	-133.8884
2430.000000	96.190	-134.0109
2470.000000	96.370	-134.0765
2500.000000	96.519	-134.0825
2540.000000	96.759	-134.1161
2580.000000	97.042	-134.3918
2620.000000	97.337	-135.0819
2650.000000	97.546	-135.8589
2690.000000	97.792	-137.1202
2720.000000	97.952	-138.1608
2760.000000	98.137	-139.6084
2800.000000	98.296	-141.0928
2850.000000	98.463	-142.9782
2900.000000	98.600	-144.8958
2950.000000	98.709	-146.8384
3000.000000	98.790	-148.7945
3040.000000	98.835	-150.3633
3070.000000	98.857	-151.5375
3110.000000	98.871	-153.0940
3150.000000	98.870	-154.6321
3200.000000	98.846	-156.5176
3250.000000	98.797	-158.3508
3300.000000	98.724	-160.1176
3350.000000	98.630	-161.8099
3400.000000	98.515	-163.3748
3450.000000	98.382	-164.7950
3500.000000	98.234	-166.1152
3550.000000	98.077	-167.3171
3600.000000	97.915	-168.3782
3650.000000	97.750	-169.3186
3700.000000	97.582	-170.1772
3750.000000	97.414	-170.9455
3820.000000	97.176	-171.8716
3870.000000	97.006	-172.4553
3950.000000	96.733	-173.2493
4000.000000	96.563	-173.6760
4060.000000	96.355	-174.1421
4120.000000	96.142	-174.5582
4180.000000	95.927	-174.8983
4250.000000	95.670	-175.1863
4310.000000	95.448	-175.3346
4370.000000	95.226	-175.3906
4440.000000	94.972	-175.3490
4500.000000	94.760	-175.2169
4550.000000	94.588	-175.0442
4620.000000	94.355	-174.7228
4680.000000	94.166	-174.3931
4750.000000	93.957	-173.9671
4820.000000	93.759	-173.5205
4870.000000	93.624	-173.2003
4940.000000	93.440	-172.7538
5000.000000	93.284	-172.3741
5080.000000	93.077	-171.8668
5150.000000	92.894	-171.3952
5220.000000	92.709	-170.8763
5300.000000	92.499	-170.2139
5380.000000	92.292	-169.4785
5450.000000	92.116	-168.7756
5520.000000	91.946	-168.0073
5600.000000	91.757	-167.0579
5700.000000	91.535	-165.7510
5800.000000	91.338	-164.3250
5900.000000	91.173	-162.8293
6000.000000	91.039	-161.3548
6080.000000	90.950	-160.2213
6150.000000	90.883	-159.2650
6220.000000	90.826	-158.3442
6300.000000	90.780	-157.3366
6400.000000	90.757	-156.1232
6500.000000	90.759	-154.9615
6600.000000	90.776	-153.8569
6700.000000	90.805	-152.8112
6800.000000	90.845	-151.8214
6900.000000	90.899	-150.8864
7000.000000	90.967	-150.0093
7100.000000	91.052	-149.2150
7200.000000	91.150	-148.5450
7300.000000	91.256	-147.9853
7400.000000	91.372	-147.4088
7500.000000	91.533	-146.8111
7620.000000	91.790	-146.5690
7750.000000	92.062	-147.0313
7880.000000	92.299	-147.8619
8000.000000	92.484	-148.8452
8120.000000	92.626	-150.0735
8250.000000	92.759	-151.7600
8380.000000	92.879	-153.9018
8500.000000	92.964	-156.2943
8620.000000	93.011	-159.0308
8750.000000	93.008	-162.2931
8850.000000	92.967	-164.9483
9000.000000	92.842	-169.0638
9120.000000	92.693	-172.4135
9250.000000	92.488	-176.0750
9380.000000	92.240	-179.7403
9500.000000	91.976	176.8872
9620.000000	91.676	173.5350
9750.000000	91.307	169.9703
9880.000000	90.893	166.5492
10000.000000	90.476	163.6006
10150.000000	89.923	160.3006
10300.000000	89.358	157.4975
10440.000000	88.845	155.3194
10600.000000	88.302	153.2338
10750.000000	87.851	151.5280
10900.000000	87.462	149.9257
11060.000000	87.117	148.1832
11200.000000	86.870	146.5249
11380.000000	86.618	144.0678
11500.000000	86.485	142.1562
11720.000000	86.293	137.9310
11800.000000	86.232	136.1256
12060.000000	86.022	129.1599
12200.000000	85.875	124.6975
12410.000000	85.567	117.1664
12500.000000	85.397	113.6934
12650.000000	85.058	107.6789
12800.000000	84.644	101.4795
13150.000000	83.362	86.7588
13200.000000	83.141	84.6889
