* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2026 12:11:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 5 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.106	167.9960
20.600000	105.078	167.4655
20.900000	105.043	166.8893
21.200001	105.006	166.3074
21.400000	104.982	165.9181
21.799999	104.936	165.1416
22.000000	104.914	164.7576
22.400000	104.870	164.0043
22.700001	104.837	163.4550
23.000000	104.802	162.9197
23.299999	104.767	162.3980
23.600000	104.729	161.8893
24.000000	104.679	161.2295
24.299999	104.642	160.7455
24.700001	104.594	160.1100
25.000000	104.559	159.6400
25.400000	104.511	159.0289
25.799999	104.460	158.4473
26.200001	104.406	157.8988
26.500000	104.365	157.4996
26.900000	104.309	156.9571
27.200001	104.264	156.5267
27.600000	104.199	155.9194
28.000000	104.126	155.3042
28.500000	104.034	154.5998
29.000000	103.957	154.0115
29.500000	103.907	153.4911
30.000000	103.872	152.9547
30.400000	103.840	152.4982
30.700001	103.809	152.1547
31.100000	103.757	151.7179
31.500000	103.699	151.3125
32.000000	103.626	150.8231
32.500000	103.557	150.3133
33.000000	103.489	149.7814
33.500000	103.422	149.2627
34.000000	103.355	148.7805
34.500000	103.291	148.3279
35.000000	103.225	147.8897
35.500000	103.158	147.4598
36.000000	103.091	147.0360
36.500000	103.025	146.6168
37.000000	102.958	146.2091
37.500000	102.891	145.8254
38.200001	102.800	145.3150
38.700001	102.738	144.9288
39.500000	102.632	144.2534
40.000000	102.561	143.8504
40.599998	102.478	143.4372
41.200001	102.405	143.0780
41.799999	102.336	142.7275
42.500000	102.251	142.3187
43.099998	102.175	141.9781
43.700001	102.100	141.6373
44.400002	102.017	141.2305
45.000000	101.947	140.8856
45.500000	101.888	140.6060
46.200001	101.803	140.2242
46.799999	101.725	139.9112
47.500000	101.636	139.5674
48.200001	101.554	139.2203
48.700001	101.498	138.9608
49.400002	101.419	138.6119
50.000000	101.349	138.3555
50.799999	101.256	138.0536
51.500000	101.171	137.7879
52.200001	101.085	137.5184
53.000000	100.990	137.2017
53.799999	100.899	136.8812
54.500000	100.822	136.6322
55.200001	100.747	136.4047
56.000000	100.656	136.1424
57.000000	100.534	135.8398
58.000000	100.421	135.5295
59.000000	100.320	135.2072
60.000000	100.225	134.8513
60.799999	100.137	134.5679
61.500000	100.059	134.4159
62.200001	99.996	134.2889
63.000000	99.929	134.0684
64.000000	99.831	133.7810
65.000000	99.726	133.5101
66.000000	99.611	133.3313
67.000000	99.520	133.2370
68.000000	99.440	133.0173
69.000000	99.360	132.7572
70.000000	99.264	132.3831
71.000000	99.128	132.2321
72.000000	99.030	132.2657
73.000000	98.950	131.9683
74.000000	98.836	131.7023
75.000000	98.729	131.7082
76.199997	98.622	131.7175
77.500000	98.526	131.6418
78.800003	98.454	131.6015
80.000000	98.403	131.2361
81.199997	98.305	130.3790
82.500000	98.092	130.1089
83.800003	97.942	130.9490
85.000000	97.969	131.0421
86.199997	98.004	130.7802
87.500000	97.895	130.8272
88.500000	97.716	130.9778
90.000000	97.510	130.7835
91.199997	97.439	130.7642
92.500000	97.411	130.4805
