* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 1, 2026 9:21:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai 8 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.269	-145.1120
20.600000	97.306	-145.7859
20.900000	97.347	-146.5529
21.200001	97.388	-147.3595
21.400000	97.415	-147.9120
21.799999	97.469	-149.0311
22.000000	97.495	-149.5865
22.400000	97.544	-150.6592
22.700001	97.578	-151.4099
23.000000	97.610	-152.1028
23.299999	97.642	-152.7391
23.600000	97.676	-153.3320
24.000000	97.727	-154.0947
24.299999	97.768	-154.6741
24.700001	97.820	-155.4749
25.000000	97.851	-156.0847
25.400000	97.880	-156.8695
25.799999	97.898	-157.5838
26.200001	97.912	-158.2317
26.500000	97.924	-158.7055
26.900000	97.939	-159.3717
27.200001	97.946	-159.9120
27.600000	97.945	-160.6624
28.000000	97.934	-161.3849
28.500000	97.926	-162.1752
29.000000	97.946	-162.8731
29.500000	97.991	-163.6008
30.000000	98.038	-164.4161
30.400000	98.063	-165.0907
30.700001	98.072	-165.5764
31.100000	98.077	-166.1795
31.500000	98.080	-166.7464
32.000000	98.084	-167.4541
32.500000	98.087	-168.1869
33.000000	98.086	-168.9197
33.500000	98.083	-169.6212
34.000000	98.081	-170.2929
34.500000	98.079	-170.9492
35.000000	98.076	-171.5908
35.500000	98.073	-172.2118
36.000000	98.071	-172.8170
36.500000	98.069	-173.4102
37.000000	98.062	-173.9769
37.500000	98.050	-174.5005
38.200001	98.035	-175.2016
38.700001	98.028	-175.7509
39.500000	98.011	-176.7463
40.000000	97.995	-177.3562
40.599998	97.978	-177.9880
41.200001	97.969	-178.5366
41.799999	97.963	-179.0856
42.500000	97.946	-179.7657
43.099998	97.926	179.6442
43.700001	97.912	179.0533
44.400002	97.899	178.3719
45.000000	97.879	177.8466
45.500000	97.858	177.4554
46.200001	97.825	176.8798
46.799999	97.793	176.3135
47.500000	97.761	175.6964
48.200001	97.768	175.2024
48.700001	97.792	174.8305
49.400002	97.803	174.2092
50.000000	97.763	173.7032
50.799999	97.676	173.2064
51.500000	97.620	172.7466
52.200001	97.581	172.1444
53.000000	97.544	171.4971
53.799999	97.515	171.0243
54.500000	97.488	170.6845
55.200001	97.457	170.3452
56.000000	97.424	169.8308
57.000000	97.371	168.9529
58.000000	97.306	168.2044
59.000000	97.266	167.6949
60.000000	97.225	167.2467
60.799999	97.182	166.8779
61.500000	97.144	166.4962
62.200001	97.107	166.0742
63.000000	97.068	165.6119
64.000000	97.018	165.1096
65.000000	96.959	164.6760
66.000000	96.906	164.2436
67.000000	96.865	163.7351
68.000000	96.825	163.1968
69.000000	96.773	162.7065
70.000000	96.712	162.2955
71.000000	96.649	161.9307
72.000000	96.589	161.5797
73.000000	96.535	161.2079
74.000000	96.485	160.8010
75.000000	96.434	160.4241
76.199997	96.364	160.0323
77.500000	96.295	159.4828
78.800003	96.234	158.8820
80.000000	96.187	158.4932
81.199997	96.131	158.1116
82.500000	96.049	157.8794
83.800003	95.947	157.5110
85.000000	95.879	156.7269
86.199997	95.878	155.7955
87.500000	95.848	155.5225
88.500000	95.790	155.6933
90.000000	95.686	155.6085
91.199997	95.600	155.3557
92.500000	95.494	155.0115
93.800003	95.408	154.6017
95.000000	95.331	154.4070
96.199997	95.257	154.2739
97.500000	95.204	153.9302
98.800003	95.186	153.6894
100.000000	95.146	153.4808
101.500000	94.994	153.1393
103.000000	94.830	152.7891
104.400002	94.723	152.5959
106.000000	94.649	152.8383
107.500000	94.566	152.9193
109.000000	94.503	153.4947
110.599998	94.585	155.1409
112.000000	94.705	155.2257
113.800003	94.684	153.7405
115.000000	94.587	152.8790
117.199997	94.423	152.3690
118.000000	94.398	152.2834
120.599998	94.308	151.7989
122.000000	94.248	151.5071
124.099998	94.141	151.1907
125.000000	94.103	151.1037
126.500000	94.046	150.9717
128.000000	93.979	150.8488
131.500000	93.821	150.5183
132.000000	93.797	150.4707
134.000000	93.711	150.3214
136.000000	93.640	150.1270
138.000000	93.567	149.9843
140.000000	93.461	149.9119
143.000000	93.325	149.5927
145.000000	93.256	149.4047
147.500000	93.173	149.3228
150.000000	93.073	149.1952
152.500000	92.960	149.2595
155.000000	92.874	149.3072
157.500000	92.791	149.3079
160.000000	92.698	149.2833
162.500000	92.600	149.2954
165.000000	92.492	149.3758
167.500000	92.394	149.4858
170.000000	92.312	149.6520
172.500000	92.237	149.8510
175.000000	92.174	149.9003
177.500000	92.115	149.8355
180.000000	92.041	149.7503
182.500000	91.958	149.6946
185.000000	91.873	149.6915
187.500000	91.785	149.7422
190.000000	91.698	149.8198
192.500000	91.612	149.8859
195.000000	91.523	149.9670
197.500000	91.431	150.0874
200.000000	91.350	150.2781
203.000000	91.284	150.5783
206.000000	91.209	150.7570
209.000000	91.132	150.9199
212.000000	91.061	151.0246
214.000000	91.014	151.0835
218.000000	90.914	151.2546
220.000000	90.866	151.3521
224.000000	90.778	151.5571
227.000000	90.712	151.7106
230.000000	90.645	151.8652
233.000000	90.579	152.0002
236.000000	90.512	152.1187
240.000000	90.419	152.2962
243.000000	90.350	152.4583
247.000000	90.258	152.7253
250.000000	90.190	152.9375
254.000000	90.104	153.1646
258.000000	90.019	153.4189
262.000000	89.935	153.6954
265.000000	89.872	153.8976
269.000000	89.788	154.1661
272.000000	89.728	154.3840
276.000000	89.649	154.6762
280.000000	89.572	154.9668
285.000000	89.479	155.3659
290.000000	89.387	155.7601
295.000000	89.299	156.1370
300.000000	89.211	156.5253
304.000000	89.143	156.8504
307.000000	89.094	157.0985
311.000000	89.030	157.4229
315.000000	88.965	157.7515
320.000000	88.887	158.1729
325.000000	88.813	158.5906
330.000000	88.739	159.0111
335.000000	88.667	159.4377
340.000000	88.598	159.8657
345.000000	88.531	160.2903
350.000000	88.468	160.7186
355.000000	88.401	161.1417
360.000000	88.336	161.5635
365.000000	88.274	161.9984
370.000000	88.215	162.4520
375.000000	88.157	162.9070
382.000000	88.075	163.5101
387.000000	88.020	163.9441
395.000000	87.934	164.6552
400.000000	87.883	165.0994
406.000000	87.822	165.6302
412.000000	87.763	166.1546
418.000000	87.706	166.6856
425.000000	87.642	167.3111
431.000000	87.588	167.8426
437.000000	87.536	168.3859
444.000000	87.475	169.0200
450.000000	87.424	169.5515
455.000000	87.384	169.9990
462.000000	87.333	170.6350
468.000000	87.289	171.1756
475.000000	87.238	171.8113
482.000000	87.188	172.4530
487.000000	87.154	172.9065
494.000000	87.108	173.5333
500.000000	87.070	174.0636
508.000000	87.020	174.7745
515.000000	86.979	175.4088
522.000000	86.940	176.0523
530.000000	86.897	176.7825
538.000000	86.856	177.5142
545.000000	86.820	178.1807
552.000000	86.785	178.8361
560.000000	86.748	179.5247
570.000000	86.706	-179.5782
580.000000	86.666	-178.6599
590.000000	86.627	-177.7415
600.000000	86.591	-176.8298
608.000000	86.564	-176.0951
615.000000	86.542	-175.4500
622.000000	86.522	-174.7998
630.000000	86.500	-174.0511
640.000000	86.477	-173.1230
650.000000	86.457	-172.1986
660.000000	86.437	-171.2702
670.000000	86.419	-170.3297
680.000000	86.404	-169.3861
690.000000	86.393	-168.4424
700.000000	86.383	-167.4929
710.000000	86.375	-166.5382
720.000000	86.371	-165.5816
730.000000	86.369	-164.6086
740.000000	86.371	-163.6166
750.000000	86.378	-162.6056
762.000000	86.397	-161.3874
775.000000	86.429	-160.0963
788.000000	86.470	-158.8567
800.000000	86.510	-157.7588
812.000000	86.550	-156.6901
825.000000	86.594	-155.5754
838.000000	86.638	-154.5216
850.000000	86.672	-153.5934
862.000000	86.697	-152.6487
875.000000	86.718	-151.5289
885.000000	86.739	-150.5831
900.000000	86.791	-149.0961
912.000000	86.850	-147.9155
925.000000	86.927	-146.6763
938.000000	87.013	-145.4905
950.000000	87.101	-144.4388
962.000000	87.194	-143.4341
975.000000	87.301	-142.3925
988.000000	87.411	-141.3987
1000.000000	87.516	-140.5245
1015.000000	87.651	-139.4845
1030.000000	87.791	-138.5064
1044.000000	87.925	-137.6496
1060.000000	88.079	-136.7467
1075.000000	88.224	-135.9659
1090.000000	88.369	-135.2458
1106.000000	88.523	-134.5501
1120.000000	88.658	-133.9892
1138.000000	88.827	-133.3310
1150.000000	88.938	-132.9324
1172.000000	89.137	-132.2809
1180.000000	89.207	-132.0639
1206.000000	89.428	-131.4193
1220.000000	89.543	-131.1061
1241.000000	89.711	-130.6801
1250.000000	89.782	-130.5095
1265.000000	89.900	-130.2376
1280.000000	90.015	-129.9792
1315.000000	90.275	-129.4226
1320.000000	90.311	-129.3461
1340.000000	90.451	-129.0462
1360.000000	90.586	-128.7527
1380.000000	90.717	-128.4602
1400.000000	90.845	-128.1690
1430.000000	91.033	-127.7319
1450.000000	91.154	-127.4408
1475.000000	91.302	-127.0608
1500.000000	91.448	-126.6798
1525.000000	91.594	-126.3001
1550.000000	91.738	-125.9187
1575.000000	91.883	-125.5369
1600.000000	92.025	-125.1535
1625.000000	92.165	-124.7714
1650.000000	92.304	-124.3924
1675.000000	92.443	-124.0292
1700.000000	92.584	-123.6723
1725.000000	92.727	-123.3248
1750.000000	92.872	-122.9905
1775.000000	93.019	-122.6661
1800.000000	93.168	-122.3576
1825.000000	93.319	-122.0677
1850.000000	93.473	-121.7990
1875.000000	93.628	-121.5536
1900.000000	93.786	-121.3343
1925.000000	93.945	-121.1394
1950.000000	94.106	-120.9714
1975.000000	94.269	-120.8339
2000.000000	94.434	-120.7298
2030.000000	94.636	-120.6468
2060.000000	94.841	-120.6098
2090.000000	95.047	-120.6247
2120.000000	95.253	-120.6950
2140.000000	95.392	-120.7746
2180.000000	95.668	-121.0158
2200.000000	95.805	-121.1783
2240.000000	96.077	-121.5826
2270.000000	96.279	-121.9572
2300.000000	96.478	-122.3973
2330.000000	96.672	-122.9035
2360.000000	96.860	-123.4727
2400.000000	97.100	-124.3181
2430.000000	97.271	-125.0032
2470.000000	97.488	-125.9640
2500.000000	97.644	-126.7112
2540.000000	97.846	-127.7408
2580.000000	98.040	-128.8086
2620.000000	98.229	-129.9031
2650.000000	98.371	-130.7451
2690.000000	98.565	-131.9339
2720.000000	98.714	-132.9278
2760.000000	98.909	-134.4647
2800.000000	99.080	-136.2561
2850.000000	99.236	-138.7376
2900.000000	99.322	-141.2922
