* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 3:38:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.608	163.6052
20.600000	104.565	163.0725
20.900000	104.518	162.4973
21.200001	104.474	161.9086
21.400000	104.447	161.5054
21.799999	104.392	160.6781
22.000000	104.363	160.2640
22.400000	104.299	159.4688
22.700001	104.247	158.9228
23.000000	104.194	158.4233
23.299999	104.145	157.9547
23.600000	104.101	157.4913
24.000000	104.047	156.8416
24.299999	104.008	156.3211
24.700001	103.951	155.6075
25.000000	103.903	155.0900
25.400000	103.834	154.4665
25.799999	103.763	153.9342
26.200001	103.693	153.4703
26.500000	103.642	153.1423
26.900000	103.572	152.7040
27.200001	103.519	152.3657
27.600000	103.445	151.9009
28.000000	103.373	151.4231
28.500000	103.289	150.8119
29.000000	103.209	150.1972
29.500000	103.128	149.6086
30.000000	103.046	149.0731
30.400000	102.979	148.6812
30.700001	102.929	148.3979
31.100000	102.865	148.0197
31.500000	102.802	147.6322
32.000000	102.724	147.1402
32.500000	102.647	146.6582
33.000000	102.571	146.1986
33.500000	102.492	145.7618
34.000000	102.409	145.3455
34.500000	102.322	144.9484
35.000000	102.237	144.5646
35.500000	102.156	144.1852
36.000000	102.080	143.8123
36.500000	102.006	143.4629
37.000000	101.933	143.1497
37.500000	101.862	142.8569
38.200001	101.761	142.4080
38.700001	101.685	142.0343
39.500000	101.554	141.4298
40.000000	101.475	141.1169
40.599998	101.391	140.8212
41.200001	101.320	140.5639
41.799999	101.251	140.2947
42.500000	101.161	139.9519
43.099998	101.074	139.6619
43.700001	100.984	139.4054
44.400002	100.884	139.1531
45.000000	100.806	138.9449
45.500000	100.742	138.7490
46.200001	100.646	138.4300
46.799999	100.555	138.1570
47.500000	100.450	137.9100
48.200001	100.367	137.7134
48.700001	100.319	137.5387
49.400002	100.250	137.2137
50.000000	100.175	136.9154
50.799999	100.064	136.5749
51.500000	99.971	136.3240
52.200001	99.891	136.1049
53.000000	99.809	135.8913
53.799999	99.717	135.7207
54.500000	99.618	135.6499
55.200001	99.523	135.6203
56.000000	99.430	135.4909
57.000000	99.317	135.2081
58.000000	99.197	135.0070
59.000000	99.065	134.8804
60.000000	98.942	134.8374
60.799999	98.874	134.7493
61.500000	98.824	134.5499
62.200001	98.762	134.3024
63.000000	98.675	134.0761
64.000000	98.560	133.9035
65.000000	98.452	133.7559
66.000000	98.354	133.6299
67.000000	98.262	133.5314
68.000000	98.155	133.4245
69.000000	98.035	133.3511
70.000000	97.931	133.2893
71.000000	97.837	133.2244
72.000000	97.742	133.1920
73.000000	97.653	133.0986
74.000000	97.565	132.9564
75.000000	97.469	132.9636
76.199997	97.352	132.9865
77.500000	97.246	132.8391
78.800003	97.145	133.4813
80.000000	97.073	134.4400
81.199997	96.965	134.1273
82.500000	96.796	133.4058
83.800003	96.676	133.3345
85.000000	96.622	133.2233
86.199997	96.552	133.4156
87.500000	96.454	134.1109
88.500000	96.371	133.9244
90.000000	96.272	132.8726
91.199997	96.239	133.0008
92.500000	96.230	133.6381
93.800003	96.180	133.5442
95.000000	96.083	133.4697
96.199997	95.956	133.5410
97.500000	95.726	132.8980
98.800003	95.423	131.8157
100.000000	95.290	132.2200
101.500000	95.408	133.4863
103.000000	95.423	134.0184
104.400002	95.360	133.9870
106.000000	95.262	133.8863
107.500000	95.157	133.9944
109.000000	95.074	134.1012
110.599998	94.980	134.1962
112.000000	94.897	134.4720
113.800003	94.790	134.6587
115.000000	94.725	134.6914
117.199997	94.610	134.7923
118.000000	94.563	134.8577
120.599998	94.433	135.0334
122.000000	94.367	135.0236
124.099998	94.282	135.1541
125.000000	94.247	135.2182
126.500000	94.184	135.2602
128.000000	94.115	135.3312
131.500000	93.938	135.6230
132.000000	93.916	135.6972
134.000000	93.828	135.9732
136.000000	93.733	136.0219
138.000000	93.645	136.1396
140.000000	93.549	136.3701
143.000000	93.410	136.7374
145.000000	93.328	136.9692
147.500000	93.234	137.1346
150.000000	93.141	137.2500
152.500000	93.047	137.6110
155.000000	92.951	137.9878
157.500000	92.862	138.2555
160.000000	92.767	138.5102
162.500000	92.665	138.7491
165.000000	92.568	139.0248
167.500000	92.473	139.2924
170.000000	92.379	139.5475
172.500000	92.290	139.8164
175.000000	92.205	140.1170
177.500000	92.117	140.3694
180.000000	92.030	140.6255
182.500000	91.951	140.9044
185.000000	91.875	141.1984
187.500000	91.798	141.5452
190.000000	91.719	141.8375
192.500000	91.641	142.1057
195.000000	91.560	142.3890
197.500000	91.474	142.6734
200.000000	91.402	142.9317
203.000000	91.335	143.3004
206.000000	91.262	143.6821
209.000000	91.186	144.0290
212.000000	91.114	144.3484
214.000000	91.067	144.5699
218.000000	90.969	145.0602
220.000000	90.923	145.3043
224.000000	90.831	145.7956
227.000000	90.763	146.1586
230.000000	90.697	146.5096
233.000000	90.631	146.8542
236.000000	90.566	147.1920
240.000000	90.484	147.6532
243.000000	90.427	148.0056
247.000000	90.351	148.4854
250.000000	90.291	148.8368
254.000000	90.216	149.3122
258.000000	90.141	149.7747
262.000000	90.069	150.2565
265.000000	90.016	150.6043
269.000000	89.948	151.0862
272.000000	89.900	151.4399
276.000000	89.836	151.8914
280.000000	89.775	152.3435
285.000000	89.698	152.9274
290.000000	89.622	153.4866
295.000000	89.549	154.0410
300.000000	89.480	154.5981
304.000000	89.426	155.0460
307.000000	89.386	155.3774
311.000000	89.335	155.8171
315.000000	89.285	156.2644
320.000000	89.225	156.8147
325.000000	89.167	157.3501
330.000000	89.109	157.8714
335.000000	89.053	158.3962
340.000000	88.999	158.9265
345.000000	88.948	159.4487
350.000000	88.900	159.9756
355.000000	88.848	160.4891
360.000000	88.798	161.0069
365.000000	88.751	161.5201
370.000000	88.705	162.0241
375.000000	88.660	162.5236
382.000000	88.600	163.2280
387.000000	88.558	163.7386
395.000000	88.492	164.5653
400.000000	88.452	165.0539
406.000000	88.408	165.6178
412.000000	88.364	166.1969
418.000000	88.322	166.7791
425.000000	88.274	167.4676
431.000000	88.236	168.0523
437.000000	88.200	168.6327
444.000000	88.160	169.3054
450.000000	88.126	169.8772
455.000000	88.096	170.3417
462.000000	88.054	170.9891
468.000000	88.022	171.5525
475.000000	87.985	172.2042
482.000000	87.949	172.8468
487.000000	87.924	173.3062
494.000000	87.893	173.9514
500.000000	87.867	174.5058
508.000000	87.833	175.2351
515.000000	87.805	175.8609
522.000000	87.777	176.4943
530.000000	87.747	177.2122
538.000000	87.718	177.9257
545.000000	87.693	178.5578
552.000000	87.670	179.1871
560.000000	87.646	179.8975
570.000000	87.617	-179.2194
580.000000	87.588	-178.3345
590.000000	87.561	-177.4551
600.000000	87.537	-176.5766
608.000000	87.517	-175.8687
615.000000	87.500	-175.2493
622.000000	87.485	-174.6303
630.000000	87.469	-173.9211
640.000000	87.450	-173.0434
650.000000	87.433	-172.1707
660.000000	87.416	-171.2749
670.000000	87.398	-170.3684
680.000000	87.381	-169.4592
690.000000	87.365	-168.5471
700.000000	87.349	-167.6104
710.000000	87.333	-166.6379
720.000000	87.318	-165.6277
730.000000	87.303	-164.5506
740.000000	87.292	-163.3885
750.000000	87.292	-162.1201
762.000000	87.326	-160.4709
775.000000	87.426	-158.6775
788.000000	87.582	-157.2394
800.000000	87.726	-156.3838
812.000000	87.830	-155.8040
825.000000	87.898	-155.2162
838.000000	87.940	-154.5236
850.000000	87.971	-153.7867
862.000000	88.003	-152.9692
875.000000	88.043	-152.0355
885.000000	88.077	-151.2974
900.000000	88.137	-150.1703
912.000000	88.192	-149.2695
925.000000	88.259	-148.3004
938.000000	88.332	-147.3517
950.000000	88.404	-146.4955
962.000000	88.481	-145.6626
975.000000	88.569	-144.7944
988.000000	88.661	-143.9655
1000.000000	88.747	-143.2304
1015.000000	88.859	-142.3547
1030.000000	88.972	-141.5351
1044.000000	89.078	-140.8155
1060.000000	89.200	-140.0556
1075.000000	89.313	-139.3876
1090.000000	89.424	-138.7565
1106.000000	89.538	-138.1212
1120.000000	89.635	-137.5879
1138.000000	89.754	-136.9097
1150.000000	89.831	-136.4506
1172.000000	89.972	-135.5492
1180.000000	90.026	-135.1991
1206.000000	90.230	-134.0329
1220.000000	90.361	-133.4579
1241.000000	90.578	-132.8344
1250.000000	90.672	-132.6771
1265.000000	90.823	-132.5389
1280.000000	90.959	-132.5009
1315.000000	91.208	-132.4811
1320.000000	91.238	-132.4698
1340.000000	91.349	-132.3940
1360.000000	91.450	-132.2635
1380.000000	91.544	-132.0843
1400.000000	91.634	-131.8674
1430.000000	91.763	-131.4896
1450.000000	91.846	-131.2111
1475.000000	91.949	-130.8345
1500.000000	92.051	-130.4299
1525.000000	92.151	-130.0061
1550.000000	92.250	-129.5634
