* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 3:36:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Banzai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.281	169.5529
20.600000	106.247	168.9892
20.900000	106.207	168.4062
21.200001	106.169	167.8422
21.400000	106.146	167.4713
21.799999	106.108	166.7246
22.000000	106.090	166.3441
22.400000	106.056	165.5677
22.700001	106.028	164.9789
23.000000	105.993	164.3959
23.299999	105.952	163.8317
23.600000	105.904	163.2985
24.000000	105.834	162.6486
24.299999	105.782	162.2050
24.700001	105.720	161.6485
25.000000	105.681	161.2309
25.400000	105.638	160.6360
25.799999	105.601	159.9792
26.200001	105.561	159.2795
26.500000	105.526	158.7561
26.900000	105.472	158.1015
27.200001	105.429	157.6587
27.600000	105.371	157.1278
28.000000	105.316	156.6339
28.500000	105.250	156.0144
29.000000	105.181	155.3730
29.500000	105.108	154.7406
30.000000	105.035	154.1488
30.400000	104.982	153.7004
30.700001	104.943	153.3680
31.100000	104.893	152.9209
31.500000	104.840	152.4710
32.000000	104.770	151.9199
32.500000	104.699	151.3892
33.000000	104.631	150.8666
33.500000	104.565	150.3474
34.000000	104.496	149.8604
34.500000	104.427	149.4362
35.000000	104.361	149.0539
35.500000	104.297	148.6499
36.000000	104.228	148.1923
36.500000	104.152	147.7233
37.000000	104.076	147.3023
37.500000	104.012	146.9284
38.200001	103.931	146.4042
38.700001	103.857	146.0551
39.500000	103.714	145.7092
40.000000	103.640	145.5493
40.599998	103.579	145.1642
41.200001	103.523	144.5090
41.799999	103.451	143.8164
42.500000	103.362	143.2642
43.099998	103.295	142.9828
43.700001	103.227	142.7379
44.400002	103.133	142.4265
45.000000	103.050	142.1362
45.500000	102.984	141.8710
46.200001	102.895	141.4736
46.799999	102.818	141.1448
47.500000	102.730	140.7850
48.200001	102.650	140.3922
48.700001	102.597	140.0738
49.400002	102.521	139.6373
50.000000	102.451	139.3555
50.799999	102.357	139.1255
51.500000	102.276	138.9413
52.200001	102.193	138.6921
53.000000	102.103	138.3623
53.799999	102.018	138.0592
54.500000	101.944	137.8526
55.200001	101.866	137.6718
56.000000	101.770	137.4254
57.000000	101.643	137.1168
58.000000	101.538	136.8774
59.000000	101.445	136.5368
60.000000	101.333	136.1763
60.799999	101.242	135.9686
61.500000	101.169	135.8203
62.200001	101.098	135.6849
63.000000	101.018	135.5372
64.000000	100.919	135.3425
65.000000	100.819	135.1370
66.000000	100.720	134.9166
67.000000	100.619	134.6905
68.000000	100.519	134.4985
69.000000	100.426	134.3286
70.000000	100.333	134.1606
71.000000	100.234	134.0405
72.000000	100.132	133.9866
73.000000	100.039	133.9184
74.000000	99.948	133.7707
75.000000	99.848	133.6183
76.199997	99.740	133.3861
77.500000	99.649	133.2037
78.800003	99.535	133.7413
80.000000	99.439	134.5213
81.199997	99.331	133.9987
82.500000	99.164	132.9355
83.800003	99.083	132.3642
85.000000	99.002	132.4231
86.199997	98.890	132.7961
87.500000	98.756	132.8931
88.500000	98.664	133.0056
90.000000	98.588	133.4235
91.199997	98.564	133.4409
92.500000	98.517	133.3025
93.800003	98.370	133.4533
95.000000	98.236	133.1231
96.199997	98.192	132.1809
97.500000	98.195	131.6112
98.800003	98.122	131.8872
100.000000	98.003	132.4389
101.500000	97.874	132.8995
103.000000	97.792	132.9202
104.400002	97.711	132.7228
106.000000	97.626	132.7344
107.500000	97.543	132.7272
109.000000	97.438	132.6837
110.599998	97.322	132.6705
112.000000	97.231	132.7953
113.800003	97.127	132.9836
115.000000	97.051	133.0064
117.199997	96.927	132.9804
118.000000	96.899	132.9487
120.599998	96.805	133.1098
122.000000	96.704	133.3004
124.099998	96.573	133.4994
125.000000	96.529	133.5489
126.500000	96.467	133.6279
128.000000	96.421	133.6433
131.500000	96.253	133.4838
132.000000	96.223	133.4702
134.000000	96.114	133.5105
136.000000	96.024	133.5928
138.000000	95.926	133.7144
140.000000	95.828	133.8845
143.000000	95.708	134.0642
145.000000	95.627	134.1449
147.500000	95.511	134.2726
150.000000	95.394	134.4534
152.500000	95.296	134.6837
155.000000	95.200	134.9007
157.500000	95.092	135.0839
160.000000	94.983	135.2946
162.500000	94.882	135.5213
165.000000	94.779	135.7440
167.500000	94.674	135.9797
170.000000	94.576	136.2451
172.500000	94.480	136.4987
175.000000	94.390	136.7007
177.500000	94.307	136.9889
180.000000	94.219	137.3148
182.500000	94.132	137.5126
185.000000	94.050	137.7018
187.500000	93.966	137.9480
190.000000	93.883	138.2098
192.500000	93.806	138.4084
195.000000	93.732	138.6099
197.500000	93.660	138.8157
200.000000	93.585	138.9630
203.000000	93.489	139.2423
206.000000	93.399	139.5787
209.000000	93.311	139.8904
212.000000	93.228	140.1716
214.000000	93.176	140.3491
218.000000	93.074	140.7429
220.000000	93.021	140.9449
224.000000	92.911	141.3215
227.000000	92.834	141.6302
230.000000	92.764	141.9498
233.000000	92.695	142.2647
236.000000	92.621	142.5560
240.000000	92.526	142.9408
243.000000	92.458	143.2381
247.000000	92.372	143.6407
250.000000	92.306	143.9380
254.000000	92.216	144.3472
258.000000	92.131	144.7820
262.000000	92.049	145.2037
265.000000	91.988	145.5163
269.000000	91.906	145.9288
272.000000	91.848	146.2404
276.000000	91.773	146.6613
280.000000	91.699	147.0793
285.000000	91.608	147.5961
290.000000	91.521	148.1072
295.000000	91.435	148.6205
300.000000	91.352	149.1302
304.000000	91.288	149.5391
307.000000	91.240	149.8493
311.000000	91.178	150.2576
315.000000	91.118	150.6634
320.000000	91.045	151.1590
325.000000	90.974	151.6651
330.000000	90.904	152.1742
335.000000	90.836	152.6772
340.000000	90.769	153.1781
345.000000	90.706	153.6807
350.000000	90.644	154.1832
355.000000	90.581	154.6800
360.000000	90.521	155.1767
365.000000	90.464	155.6709
370.000000	90.408	156.1621
375.000000	90.353	156.6493
382.000000	90.277	157.3332
387.000000	90.226	157.8201
395.000000	90.150	158.6202
400.000000	90.102	159.1003
406.000000	90.044	159.6573
412.000000	89.988	160.2186
418.000000	89.936	160.7896
425.000000	89.877	161.4598
431.000000	89.827	162.0243
437.000000	89.780	162.5873
444.000000	89.729	163.2510
450.000000	89.687	163.8184
455.000000	89.649	164.2812
462.000000	89.596	164.9174
468.000000	89.555	165.4618
475.000000	89.509	166.1049
482.000000	89.465	166.7476
487.000000	89.434	167.2045
494.000000	89.392	167.8380
500.000000	89.358	168.3805
508.000000	89.315	169.1069
515.000000	89.278	169.7347
522.000000	89.241	170.3610
530.000000	89.202	171.0793
538.000000	89.167	171.7923
545.000000	89.137	172.4115
552.000000	89.107	173.0303
560.000000	89.073	173.7399
570.000000	89.034	174.6269
580.000000	88.997	175.5017
590.000000	88.963	176.3761
600.000000	88.932	177.2482
608.000000	88.910	177.9456
615.000000	88.890	178.5608
622.000000	88.872	179.1719
630.000000	88.854	179.8641
640.000000	88.834	-179.2719
650.000000	88.816	-178.4106
660.000000	88.800	-177.5331
670.000000	88.786	-176.6610
680.000000	88.775	-175.7957
690.000000	88.766	-174.9382
700.000000	88.761	-174.0822
710.000000	88.758	-173.2187
720.000000	88.759	-172.3603
730.000000	88.762	-171.5143
740.000000	88.769	-170.6855
750.000000	88.779	-169.8701
762.000000	88.796	-168.9096
775.000000	88.821	-167.9232
788.000000	88.845	-167.0397
800.000000	88.854	-166.3557
812.000000	88.825	-165.7326
825.000000	88.742	-164.8601
838.000000	88.643	-163.4658
850.000000	88.603	-161.7521
862.000000	88.641	-159.9963
875.000000	88.738	-158.3806
885.000000	88.821	-157.3723
900.000000	88.936	-156.0645
912.000000	89.022	-155.0928
925.000000	89.111	-154.0782
938.000000	89.200	-153.0916
950.000000	89.284	-152.2021
962.000000	89.373	-151.3370
975.000000	89.472	-150.4424
988.000000	89.574	-149.5959
1000.000000	89.670	-148.8476
1015.000000	89.793	-147.9479
1030.000000	89.917	-147.1039
1044.000000	90.035	-146.3789
1060.000000	90.171	-145.6164
1075.000000	90.299	-144.9638
1090.000000	90.426	-144.3641
1106.000000	90.559	-143.7902
1120.000000	90.674	-143.3356
1138.000000	90.818	-142.8072
1150.000000	90.912	-142.4934
1172.000000	91.076	-141.9791
1180.000000	91.133	-141.8055
1206.000000	91.310	-141.2913
1220.000000	91.400	-141.0390
1241.000000	91.531	-140.6857
1250.000000	91.587	-140.5399
1265.000000	91.681	-140.3040
1280.000000	91.776	-140.0797
1315.000000	91.988	-139.6006
1320.000000	92.017	-139.5375
1340.000000	92.129	-139.2921
1360.000000	92.235	-139.0521
1380.000000	92.335	-138.8105
1400.000000	92.431	-138.5649
1430.000000	92.570	-138.1815
1450.000000	92.660	-137.9090
1475.000000	92.770	-137.5575
1500.000000	92.877	-137.1945
1525.000000	92.985	-136.8246
1550.000000	93.091	-136.4444
1575.000000	93.198	-136.0573
1600.000000	93.303	-135.6663
1625.000000	93.405	-135.2729
1650.000000	93.506	-134.8741
