* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2026 7:31:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.338	-155.8343
20.600000	100.356	-156.4958
20.900000	100.375	-157.2104
21.200001	100.395	-157.9347
21.400000	100.408	-158.4246
21.799999	100.438	-159.4205
22.000000	100.452	-159.9225
22.400000	100.479	-160.9188
22.700001	100.497	-161.6469
23.000000	100.511	-162.3511
23.299999	100.523	-163.0298
23.600000	100.533	-163.6855
24.000000	100.544	-164.5323
24.299999	100.552	-165.1534
24.700001	100.561	-165.9698
25.000000	100.569	-166.5762
25.400000	100.578	-167.3790
25.799999	100.586	-168.1758
26.200001	100.593	-168.9648
26.500000	100.596	-169.5491
26.900000	100.597	-170.3138
27.200001	100.596	-170.8736
27.600000	100.593	-171.5999
28.000000	100.588	-172.3048
28.500000	100.581	-173.1633
29.000000	100.572	-174.0041
29.500000	100.559	-174.8275
30.000000	100.542	-175.6291
30.400000	100.528	-176.2548
30.700001	100.519	-176.7170
31.100000	100.508	-177.3267
31.500000	100.498	-177.9301
32.000000	100.487	-178.6721
32.500000	100.475	-179.3939
33.000000	100.461	179.9079
33.500000	100.444	179.2308
34.000000	100.425	178.5690
34.500000	100.405	177.9163
35.000000	100.383	177.2700
35.500000	100.357	176.6350
36.000000	100.328	176.0187
36.500000	100.298	175.4212
37.000000	100.272	174.8320
37.500000	100.249	174.2424
38.200001	100.218	173.4235
38.700001	100.190	172.8568
39.500000	100.132	171.9911
40.000000	100.094	171.4614
40.599998	100.059	170.7931
41.200001	100.033	170.0792
41.799999	100.001	169.4370
42.500000	99.961	168.9350
43.099998	99.927	168.5435
43.700001	99.851	167.9833
44.400002	99.661	167.4525
45.000000	99.499	167.4567
45.500000	99.457	167.4551
46.200001	99.520	166.5805
46.799999	99.564	165.2896
47.500000	99.604	164.3161
48.200001	99.686	163.7994
48.700001	99.651	163.3457
49.400002	99.307	163.4041
50.000000	98.911	164.9809
50.799999	98.821	166.8650
51.500000	99.052	165.2145
52.200001	99.164	162.0436
53.000000	99.159	160.1171
53.799999	99.182	159.8815
54.500000	99.146	159.6787
55.200001	99.043	159.3071
56.000000	98.963	158.7589
57.000000	98.924	157.9687
58.000000	98.858	157.5236
59.000000	98.781	157.0632
60.000000	98.713	156.4179
60.799999	98.664	156.0299
61.500000	98.617	155.7983
62.200001	98.563	155.5370
63.000000	98.494	155.1369
64.000000	98.420	154.6199
65.000000	98.360	154.1306
66.000000	98.280	153.6572
67.000000	98.193	153.2039
68.000000	98.111	152.7127
69.000000	98.034	152.2218
70.000000	97.964	151.7226
71.000000	97.890	151.3570
