* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 2:19:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 iwinhash L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.491	-160.1366
20.600000	98.514	-160.8366
20.900000	98.532	-161.6280
21.200001	98.538	-162.4152
21.400000	98.537	-162.9088
21.799999	98.532	-163.7758
22.000000	98.532	-164.1482
22.400000	98.547	-164.8234
22.700001	98.571	-165.3394
23.000000	98.597	-165.9208
23.299999	98.619	-166.5862
23.600000	98.627	-167.3178
24.000000	98.616	-168.3196
24.299999	98.597	-169.0340
24.700001	98.571	-169.8986
25.000000	98.559	-170.4947
25.400000	98.557	-171.2692
25.799999	98.562	-172.0565
26.200001	98.562	-172.8406
26.500000	98.555	-173.3944
26.900000	98.538	-174.0552
27.200001	98.526	-174.4971
27.600000	98.515	-175.0601
28.000000	98.510	-175.6549
28.500000	98.505	-176.4865
29.000000	98.489	-177.3599
29.500000	98.466	-178.1719
30.000000	98.444	-178.8849
30.400000	98.430	-179.4147
30.700001	98.420	-179.8113
31.100000	98.404	179.6473
31.500000	98.381	179.0954
32.000000	98.349	178.4078
32.500000	98.318	177.7262
33.000000	98.293	177.0408
33.500000	98.267	176.3699
34.000000	98.236	175.7628
34.500000	98.204	175.2372
35.000000	98.176	174.7334
35.500000	98.150	174.1693
36.000000	98.116	173.5387
36.500000	98.077	172.9201
37.000000	98.045	172.3770
37.500000	98.025	171.8887
38.200001	97.992	171.2311
38.700001	97.943	170.8455
39.500000	97.851	170.4715
40.000000	97.819	170.1966
40.599998	97.801	169.5620
41.200001	97.772	168.6767
41.799999	97.722	167.8676
42.500000	97.667	167.2425
43.099998	97.632	166.8509
43.700001	97.597	166.4379
44.400002	97.550	165.8782
45.000000	97.512	165.3469
45.500000	97.483	164.8919
46.200001	97.440	164.3036
46.799999	97.395	163.8914
47.500000	97.332	163.4924
48.200001	97.267	163.0677
48.700001	97.221	162.6971
49.400002	97.156	162.1315
50.000000	97.104	161.7144
50.799999	97.054	161.3123
51.500000	97.016	160.9927
52.200001	96.958	160.6539
53.000000	96.882	160.2865
53.799999	96.825	159.8763
54.500000	96.789	159.4523
55.200001	96.747	159.0508
56.000000	96.686	158.6584
57.000000	96.597	158.1641
58.000000	96.520	157.6404
59.000000	96.468	157.1588
60.000000	96.407	156.7283
60.799999	96.337	156.3794
61.500000	96.269	156.0764
62.200001	96.209	155.8000
63.000000	96.157	155.5059
64.000000	96.089	155.1615
65.000000	96.007	154.8798
66.000000	95.931	154.5599
67.000000	95.859	154.1747
68.000000	95.781	153.8221
69.000000	95.697	153.5028
70.000000	95.623	153.1502
71.000000	95.557	152.7844
72.000000	95.494	152.5203
73.000000	95.424	152.3354
74.000000	95.340	152.1411
75.000000	95.263	151.9056
76.199997	95.187	151.5829
77.500000	95.082	151.3283
78.800003	94.959	150.9684
80.000000	94.847	150.6117
81.199997	94.784	150.5951
82.500000	94.742	150.5755
83.800003	94.674	150.6073
85.000000	94.600	150.7267
86.199997	94.516	150.6367
87.500000	94.428	150.3734
88.500000	94.379	150.2552
90.000000	94.312	150.0214
91.199997	94.260	149.8856
92.500000	94.223	149.9786
93.800003	94.161	149.8696
95.000000	94.079	149.4863
96.199997	94.013	149.1088
97.500000	93.950	148.8963
98.800003	93.881	148.8286
100.000000	93.817	148.8092
101.500000	93.730	148.6495
103.000000	93.643	148.4475
104.400002	93.563	148.3610
106.000000	93.459	148.2581
107.500000	93.369	148.1090
109.000000	93.293	148.0853
110.599998	93.226	148.0676
112.000000	93.171	147.9620
113.800003	93.083	147.9186
115.000000	93.022	147.9513
117.199997	92.920	147.9632
118.000000	92.887	147.8792
120.599998	92.784	147.5776
122.000000	92.700	147.7327
124.099998	92.588	147.9992
125.000000	92.554	148.0813
126.500000	92.501	148.0940
128.000000	92.442	148.0438
131.500000	92.283	147.9526
132.000000	92.262	147.9381
134.000000	92.184	147.8544
136.000000	92.119	147.8631
138.000000	92.055	147.9319
140.000000	91.994	147.9531
143.000000	91.875	148.0170
145.000000	91.790	148.0955
147.500000	91.692	148.2190
150.000000	91.597	148.3304
152.500000	91.499	148.4976
155.000000	91.400	148.6487
157.500000	91.306	148.8416
160.000000	91.205	149.1827
162.500000	91.131	149.2547
165.000000	91.049	149.2941
