* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 2:20:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Make4 iwinhash R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.363	-150.6969
20.600000	99.402	-151.3976
20.900000	99.437	-152.1318
21.200001	99.465	-152.8301
21.400000	99.480	-153.2686
21.799999	99.505	-154.0788
22.000000	99.516	-154.4562
22.400000	99.541	-155.1854
22.700001	99.561	-155.7401
23.000000	99.582	-156.3248
23.299999	99.601	-156.9487
23.600000	99.618	-157.6074
24.000000	99.636	-158.5145
24.299999	99.649	-159.1953
24.700001	99.668	-160.0846
25.000000	99.686	-160.7367
25.400000	99.713	-161.5947
25.799999	99.740	-162.4445
26.200001	99.760	-163.2759
26.500000	99.770	-163.8747
26.900000	99.778	-164.6272
27.200001	99.781	-165.1571
27.600000	99.786	-165.8316
28.000000	99.794	-166.4903
28.500000	99.805	-167.3110
29.000000	99.812	-168.1219
29.500000	99.812	-168.9041
30.000000	99.808	-169.6595
30.400000	99.805	-170.2637
30.700001	99.803	-170.7283
31.100000	99.801	-171.3689
31.500000	99.799	-172.0245
32.000000	99.794	-172.8243
32.500000	99.786	-173.5521
33.000000	99.777	-174.2040
33.500000	99.770	-174.8427
34.000000	99.759	-175.5293
34.500000	99.740	-176.2448
35.000000	99.719	-176.9075
35.500000	99.710	-177.4835
36.000000	99.715	-178.0315
36.500000	99.713	-178.6117
37.000000	99.686	-179.1938
37.500000	99.643	-179.7313
38.200001	99.615	179.3835
38.700001	99.625	178.3994
39.500000	99.600	176.4922
40.000000	99.539	175.7131
40.599998	99.480	175.5464
41.200001	99.482	175.7368
41.799999	99.501	175.6252
42.500000	99.464	175.0271
43.099998	99.405	174.4360
43.700001	99.370	173.8607
44.400002	99.357	173.1512
45.000000	99.337	172.6143
45.500000	99.314	172.2736
46.200001	99.281	171.8200
46.799999	99.241	171.3202
47.500000	99.177	170.6879
48.200001	99.131	170.1014
48.700001	99.121	169.6417
49.400002	99.114	168.8917
50.000000	99.086	168.2957
50.799999	99.024	167.8141
51.500000	98.973	167.5723
52.200001	98.922	167.2685
53.000000	98.860	166.8097
53.799999	98.808	166.3132
54.500000	98.772	165.8632
55.200001	98.734	165.4085
56.000000	98.684	164.8943
57.000000	98.619	164.2361
58.000000	98.559	163.5867
59.000000	98.501	163.0486
60.000000	98.449	162.5873
60.799999	98.404	162.1865
61.500000	98.357	161.8339
62.200001	98.309	161.5091
63.000000	98.257	161.1441
64.000000	98.192	160.6706
65.000000	98.127	160.2234
66.000000	98.065	159.7850
67.000000	97.999	159.3520
68.000000	97.935	158.9262
69.000000	97.875	158.5029
70.000000	97.813	158.1335
71.000000	97.755	157.8059
72.000000	97.701	157.4423
73.000000	97.639	157.0530
74.000000	97.571	156.6779
75.000000	97.501	156.3235
76.199997	97.424	155.9626
77.500000	97.339	155.5263
78.800003	97.253	154.7910
80.000000	97.164	154.2068
81.199997	97.088	154.2525
82.500000	97.008	154.3654
83.800003	96.915	154.1808
85.000000	96.831	153.8584
86.199997	96.750	153.5741
87.500000	96.681	153.3725
88.500000	96.632	153.2541
90.000000	96.556	153.0897
91.199997	96.499	152.9596
92.500000	96.432	152.8602
93.800003	96.365	152.6370
95.000000	96.301	152.3620
96.199997	96.239	152.1061
97.500000	96.193	151.8830
98.800003	96.172	151.9595
100.000000	96.148	152.0246
101.500000	96.047	151.5475
103.000000	95.947	151.1495
104.400002	95.881	150.9686
106.000000	95.805	150.7506
107.500000	95.732	150.6005
109.000000	95.650	150.3942
110.599998	95.566	150.1832
112.000000	95.500	150.0184
113.800003	95.405	149.8022
115.000000	95.338	149.6859
117.199997	95.211	149.5290
118.000000	95.163	149.4975
120.599998	95.050	149.4111
122.000000	95.018	149.3062
124.099998	94.961	149.2517
125.000000	94.925	149.2552
126.500000	94.847	149.3206
128.000000	94.775	149.3663
131.500000	94.635	149.2376
132.000000	94.615	149.1897
134.000000	94.543	149.0414
136.000000	94.474	149.0095
138.000000	94.403	148.9289
140.000000	94.336	148.8236
143.000000	94.223	148.7099
145.000000	94.145	148.6641
147.500000	94.057	148.7456
150.000000	93.983	148.9049
152.500000	93.866	148.7466
155.000000	93.753	148.6740
157.500000	93.669	148.7090
160.000000	93.594	148.7440
162.500000	93.486	148.7528
165.000000	93.380	148.8079
167.500000	93.284	148.8997
170.000000	93.189	149.0081
172.500000	93.099	149.1109
175.000000	93.023	149.2837
177.500000	92.947	149.4575
180.000000	92.867	149.5687
182.500000	92.787	149.6677
185.000000	92.711	149.7835
187.500000	92.636	149.9170
190.000000	92.562	150.0665
192.500000	92.489	150.1674
195.000000	92.416	150.2350
197.500000	92.340	150.3557
200.000000	92.268	150.5043
203.000000	92.187	150.6779
206.000000	92.108	150.8530
209.000000	92.030	151.0269
212.000000	91.956	151.2057
214.000000	91.909	151.3307
218.000000	91.811	151.6030
220.000000	91.760	151.7486
