* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:17:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Flo Audio Bluelover Coreir AL
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.048	18.2981
20.600000	103.066	17.6210
20.900000	103.083	16.8939
21.200001	103.097	16.1672
21.400000	103.106	15.6842
21.799999	103.122	14.7246
22.000000	103.129	14.2510
22.400000	103.144	13.3229
22.700001	103.154	12.6449
23.000000	103.165	11.9787
23.299999	103.176	11.3189
23.600000	103.185	10.6606
24.000000	103.193	9.7838
24.299999	103.196	9.1312
24.700001	103.196	8.2777
25.000000	103.194	7.6554
25.400000	103.190	6.8502
25.799999	103.187	6.0668
26.200001	103.184	5.2966
26.500000	103.181	4.7251
26.900000	103.175	3.9721
27.200001	103.169	3.4158
27.600000	103.159	2.6870
28.000000	103.148	1.9720
28.500000	103.134	1.0942
29.000000	103.118	0.2337
29.500000	103.101	-0.6059
30.000000	103.083	-1.4224
30.400000	103.067	-2.0622
30.700001	103.055	-2.5369
31.100000	103.038	-3.1652
31.500000	103.019	-3.7874
32.000000	102.994	-4.5526
32.500000	102.968	-5.2997
33.000000	102.941	-6.0293
33.500000	102.913	-6.7441
34.000000	102.884	-7.4434
34.500000	102.854	-8.1250
35.000000	102.822	-8.7905
35.500000	102.791	-9.4463
36.000000	102.759	-10.0961
36.500000	102.725	-10.7355
37.000000	102.690	-11.3588
37.500000	102.654	-11.9673
38.200001	102.603	-12.8039
38.700001	102.564	-13.3858
39.500000	102.501	-14.2604
40.000000	102.464	-14.7753
40.599998	102.423	-15.3901
41.200001	102.378	-16.0171
41.799999	102.324	-16.6415
42.500000	102.255	-17.3524
43.099998	102.199	-17.9688
43.700001	102.147	-18.6044
44.400002	102.089	-19.3238
45.000000	102.042	-19.8759
45.500000	102.004	-20.3005
46.200001	101.945	-20.8951
46.799999	101.882	-21.4118
47.500000	101.799	-21.9769
48.200001	101.726	-22.5107
48.700001	101.681	-22.9153
49.400002	101.621	-23.5259
50.000000	101.565	-24.0441
50.799999	101.494	-24.6788
51.500000	101.434	-25.2012
52.200001	101.368	-25.6931
53.000000	101.282	-26.2064
53.799999	101.193	-26.7225
54.500000	101.119	-27.2089
55.200001	101.049	-27.6930
56.000000	100.972	-28.1901
57.000000	100.871	-28.7317
58.000000	100.763	-29.2787
59.000000	100.657	-29.8596
60.000000	100.554	-30.4106
60.799999	100.467	-30.8138
61.500000	100.387	-31.1502
62.200001	100.311	-31.4898
63.000000	100.227	-31.8863
64.000000	100.122	-32.3450
65.000000	100.013	-32.7448
66.000000	99.902	-33.1319
67.000000	99.792	-33.5012
68.000000	99.685	-33.8561
69.000000	99.574	-34.2107
70.000000	99.461	-34.5281
71.000000	99.348	-34.8097
72.000000	99.234	-35.0815
73.000000	99.125	-35.3356
74.000000	99.016	-35.5813
75.000000	98.899	-35.8280
76.199997	98.767	-36.1727
77.500000	98.646	-36.5246
78.800003	98.503	-36.6399
80.000000	98.346	-36.6642
81.199997	98.211	-36.8289
82.500000	98.075	-37.0621
83.800003	97.935	-37.2024
85.000000	97.818	-37.3259
86.199997	97.712	-37.3899
87.500000	97.584	-37.3164
88.500000	97.482	-37.2145
90.000000	97.320	-37.0824
91.199997	97.185	-37.0235
92.500000	97.045	-37.0859
93.800003	96.924	-37.1393
95.000000	96.823	-37.0722
96.199997	96.705	-36.9401
97.500000	96.550	-36.6791
98.800003	96.397	-36.3596
100.000000	96.280	-36.1279
101.500000	96.171	-35.9823
103.000000	96.071	-35.8467
104.400002	95.948	-35.5974
106.000000	95.774	-35.2135
107.500000	95.640	-34.8236
109.000000	95.529	-34.4723
110.599998	95.403	-34.1001
112.000000	95.293	-33.7669
113.800003	95.159	-33.2410
115.000000	95.072	-32.8602
117.199997	94.907	-32.1365
118.000000	94.843	-31.8934
120.599998	94.648	-31.0720
122.000000	94.565	-30.4736
124.099998	94.456	-29.6392
125.000000	94.407	-29.3002
126.500000	94.323	-28.7470
128.000000	94.245	-28.2139
131.500000	94.082	-26.8871
132.000000	94.059	-26.6924
134.000000	93.974	-25.8524
136.000000	93.900	-24.9466
138.000000	93.836	-24.1026
140.000000	93.776	-23.3337
143.000000	93.689	-21.9669
145.000000	93.647	-21.0474
147.500000	93.611	-19.9719
150.000000	93.588	-18.9984
152.500000	93.558	-18.0366
155.000000	93.528	-17.1485
157.500000	93.498	-16.1295
160.000000	93.488	-15.0695
162.500000	93.500	-14.2227
165.000000	93.509	-13.4346
167.500000	93.514	-12.6565
170.000000	93.522	-11.8823
172.500000	93.539	-11.1022
175.000000	93.558	-10.3252
177.500000	93.591	-9.5707
180.000000	93.619	-8.9113
182.500000	93.639	-8.3412
185.000000	93.668	-7.7803
187.500000	93.706	-7.2111
190.000000	93.746	-6.6647
192.500000	93.783	-6.1931
195.000000	93.820	-5.7504
197.500000	93.859	-5.3057
200.000000	93.897	-4.8889
203.000000	93.936	-4.4043
206.000000	93.981	-3.9652
209.000000	94.029	-3.5583
212.000000	94.075	-3.1871
214.000000	94.105	-2.9590
218.000000	94.167	-2.4737
220.000000	94.200	-2.2513
224.000000	94.270	-1.8145
227.000000	94.320	-1.5319
230.000000	94.367	-1.2746
233.000000	94.412	-1.0673
236.000000	94.457	-0.8568
240.000000	94.517	-0.5465
243.000000	94.557	-0.3896
247.000000	94.610	-0.2029
250.000000	94.648	-0.0584
254.000000	94.695	0.1133
258.000000	94.740	0.2599
262.000000	94.784	0.3665
265.000000	94.818	0.4355
269.000000	94.859	0.5234
272.000000	94.887	0.6049
276.000000	94.925	0.7033
280.000000	94.962	0.8031
285.000000	95.006	0.8539
290.000000	95.049	0.8736
295.000000	95.090	0.8900
300.000000	95.126	0.8836
304.000000	95.151	0.8819
307.000000	95.167	0.8763
311.000000	95.189	0.8648
315.000000	95.209	0.8420
320.000000	95.233	0.7915
325.000000	95.252	0.7670
330.000000	95.269	0.7434
335.000000	95.283	0.7088
340.000000	95.295	0.6738
345.000000	95.307	0.6324
350.000000	95.316	0.5962
355.000000	95.321	0.5533
360.000000	95.326	0.5076
365.000000	95.330	0.4689
370.000000	95.333	0.4337
375.000000	95.333	0.3935
382.000000	95.332	0.3486
387.000000	95.330	0.3189
395.000000	95.323	0.2689
400.000000	95.317	0.2429
406.000000	95.308	0.2108
412.000000	95.298	0.1898
418.000000	95.286	0.1800
425.000000	95.271	0.1684
431.000000	95.257	0.1654
437.000000	95.242	0.1723
444.000000	95.223	0.1848
450.000000	95.206	0.2024
455.000000	95.191	0.2276
462.000000	95.168	0.2624
468.000000	95.147	0.2927
475.000000	95.125	0.3388
482.000000	95.101	0.4020
487.000000	95.082	0.4511
494.000000	95.055	0.5157
500.000000	95.033	0.5792
508.000000	95.002	0.6769
515.000000	94.975	0.7721
522.000000	94.949	0.8762
530.000000	94.917	1.0046
538.000000	94.885	1.1397
545.000000	94.857	1.2633
552.000000	94.828	1.3958
560.000000	94.795	1.5561
570.000000	94.752	1.7701
580.000000	94.710	2.0033
590.000000	94.667	2.2505
600.000000	94.624	2.5137
608.000000	94.590	2.7364
615.000000	94.560	2.9403
622.000000	94.530	3.1510
630.000000	94.496	3.3996
640.000000	94.455	3.7240
650.000000	94.413	4.0712
660.000000	94.373	4.4341
670.000000	94.333	4.8139
680.000000	94.295	5.2100
690.000000	94.257	5.6240
700.000000	94.221	6.0543
710.000000	94.186	6.4998
720.000000	94.153	6.9588
730.000000	94.121	7.4306
740.000000	94.092	7.9177
750.000000	94.064	8.4216
762.000000	94.033	9.0431
775.000000	94.004	9.7340
788.000000	93.978	10.4482
800.000000	93.956	11.1219
812.000000	93.936	11.8057
825.000000	93.916	12.5617
838.000000	93.901	13.3297
850.000000	93.892	14.0481
862.000000	93.887	14.7705
875.000000	93.888	15.5549
885.000000	93.893	16.1608
900.000000	93.907	17.0693
912.000000	93.924	17.7909
925.000000	93.948	18.5588
938.000000	93.977	19.3112
950.000000	94.009	19.9914
962.000000	94.045	20.6548
975.000000	94.089	21.3515
988.000000	94.138	22.0234
1000.000000	94.187	22.6182
1015.000000	94.250	23.3269
1030.000000	94.318	23.9923
1044.000000	94.383	24.5728
1060.000000	94.461	25.1894
1075.000000	94.535	25.7197
1090.000000	94.609	26.2040
1106.000000	94.688	26.6710
1120.000000	94.756	27.0414
1138.000000	94.842	27.4722
1150.000000	94.898	27.7342
1172.000000	94.994	28.1661
1180.000000	95.028	28.3097
1206.000000	95.130	28.7352
1220.000000	95.181	28.9453
1241.000000	95.254	29.2413
1250.000000	95.285	29.3642
1265.000000	95.337	29.5675
1280.000000	95.389	29.7685
1315.000000	95.501	30.2418
1320.000000	95.516	30.3111
1340.000000	95.573	30.5957
1360.000000	95.627	30.8917
1380.000000	95.680	31.2020
1400.000000	95.730	31.5280
1430.000000	95.802	32.0493
1450.000000	95.850	32.4174
1475.000000	95.910	32.8969
1500.000000	95.971	33.4016
1525.000000	96.033	33.9294
1550.000000	96.097	34.4791
1575.000000	96.163	35.0483
1600.000000	96.232	35.6319
1625.000000	96.302	36.2250
1650.000000	96.374	36.8223
1675.000000	96.450	37.4218
1700.000000	96.530	38.0229
1725.000000	96.615	38.6211
1750.000000	96.705	39.2147
1775.000000	96.799	39.8040
1800.000000	96.898	40.3850
1825.000000	97.002	40.9552
1850.000000	97.111	41.5131
1875.000000	97.226	42.0550
1900.000000	97.346	42.5766
1925.000000	97.471	43.0770
1950.000000	97.601	43.5549
1975.000000	97.736	44.0064
2000.000000	97.878	44.4269
2030.000000	98.056	44.8912
2060.000000	98.242	45.3062
2090.000000	98.436	45.6642
2120.000000	98.637	45.9594
2140.000000	98.774	46.1177
2180.000000	99.057	46.3347
2200.000000	99.203	46.3889
2240.000000	99.500	46.3804
2270.000000	99.728	46.2634
2300.000000	99.959	46.0419
2330.000000	100.192	45.7086
2360.000000	100.426	45.2566
2400.000000	100.736	44.4580
2430.000000	100.965	43.7050
2470.000000	101.261	42.4866
2500.000000	101.474	41.4099
2540.000000	101.739	39.7549
2580.000000	101.976	37.8591
2620.000000	102.176	35.7443
2650.000000	102.297	34.0355
2690.000000	102.415	31.6368
2720.000000	102.467	29.7843
2760.000000	102.487	27.3051
2800.000000	102.454	24.8892
2850.000000	102.345	22.0625
2900.000000	102.178	19.5253
2950.000000	101.971	17.3018
3000.000000	101.735	15.3722
3040.000000	101.532	14.0236
3070.000000	101.372	13.1208
3110.000000	101.150	12.0589
3150.000000	100.922	11.1592
3200.000000	100.629	10.2623
3250.000000	100.332	9.6158
3300.000000	100.035	9.2105
3350.000000	99.742	9.0366
3400.000000	99.455	9.0833
3450.000000	99.179	9.3412
3500.000000	98.917	9.7979
3550.000000	98.675	10.4292
3600.000000	98.454	11.2003
3650.000000	98.257	12.0738
3700.000000	98.081	13.0176
3750.000000	97.924	14.0120
3820.000000	97.735	15.4718
3870.000000	97.620	16.5558
3950.000000	97.469	18.3446
4000.000000	97.394	19.4864
4060.000000	97.321	20.8655
4120.000000	97.269	22.2404
4180.000000	97.239	23.5946
4250.000000	97.232	25.1249
4310.000000	97.249	26.3798
4370.000000	97.284	27.5694
4440.000000	97.346	28.8574
4500.000000	97.415	29.8715
4550.000000	97.483	30.6512
4620.000000	97.589	31.6512
4680.000000	97.692	32.4366
4750.000000	97.829	33.2791
4820.000000	97.991	34.0288
4870.000000	98.125	34.4730
4940.000000	98.339	34.8870
5000.000000	98.542	34.9749
5080.000000	98.817	34.6315
5150.000000	99.041	33.9054
5220.000000	99.228	32.8558
5300.000000	99.386	31.3993
5380.000000	99.479	29.8452
5450.000000	99.515	28.5356
5520.000000	99.523	27.3597
5600.000000	99.521	26.2236
5700.000000	99.547	25.0179
5800.000000	99.642	23.6242
5900.000000	99.774	21.3562
6000.000000	99.795	17.8579
6080.000000	99.614	14.6602
6150.000000	99.297	12.2736
6220.000000	98.886	10.6946
6300.000000	98.392	10.0504
6400.000000	97.871	10.7373
6500.000000	97.526	12.4930
6600.000000	97.370	14.7395
6700.000000	97.392	17.0739
6800.000000	97.586	19.2199
6900.000000	97.945	20.9395
7000.000000	98.470	21.9576
7100.000000	99.157	21.9334
7200.000000	100.003	20.4216
7300.000000	100.959	16.6148
7400.000000	101.850	9.8680
7500.000000	102.480	0.2583
7620.000000	102.562	-13.9565
7750.000000	101.634	-29.1234
7880.000000	99.914	-40.4750
8000.000000	98.036	-46.6281
8120.000000	96.154	-49.3593
8250.000000	94.270	-49.7178
8380.000000	92.609	-48.4461
8500.000000	91.264	-46.4846
8620.000000	90.071	-44.2594
8750.000000	88.878	-42.1817
8850.000000	87.893	-41.0158
9000.000000	86.008	-35.9359
9120.000000	84.832	-25.1618
9250.000000	84.586	-15.2594
9380.000000	84.587	-9.7966
9500.000000	84.552	-5.5634
9620.000000	84.611	-1.9828
9750.000000	84.683	0.2067
9880.000000	84.528	1.3425
10000.000000	84.160	3.8545
10150.000000	83.958	10.1677
10300.000000	84.282	16.1179
10440.000000	84.841	20.1342
10600.000000	85.681	23.0957
10750.000000	86.611	23.9038
10900.000000	87.555	22.6685
11060.000000	88.526	19.6684
11200.000000	89.369	15.5891
11380.000000	90.338	7.7696
11500.000000	90.807	1.0965
11720.000000	91.177	-12.9923
11800.000000	91.127	-18.4492
12060.000000	90.217	-34.8878
12200.000000	89.405	-41.6636
12410.000000	88.114	-48.6982
12500.000000	87.606	-50.7613
12650.000000	86.879	-53.2830
12800.000000	86.328	-55.0097
13150.000000	85.790	-58.0496
13200.000000	85.800	-58.5675
13400.000000	86.053	-61.3363
13600.000000	86.608	-65.8133
13800.000000	87.372	-72.7029
14000.000000	88.205	-82.3699
14300.000000	89.363	-101.7747
14500.000000	89.998	-118.2827
14750.000000	90.052	-143.0266
15000.000000	88.867	-167.0673
15250.000000	87.074	173.7458
15500.000000	85.327	159.0405
15750.000000	83.943	147.5000
16000.000000	83.159	138.4606
16250.000000	83.923	132.3026
16500.000000	86.679	119.3564
