* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:19:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Flo Audio Bluelover DMZ
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.786	18.4284
20.600000	102.802	17.7494
20.900000	102.817	17.0166
21.200001	102.831	16.2798
21.400000	102.840	15.7880
21.799999	102.859	14.8086
22.000000	102.870	14.3258
22.400000	102.891	13.3857
22.700001	102.907	12.7067
23.000000	102.921	12.0473
23.299999	102.933	11.4005
23.600000	102.941	10.7589
24.000000	102.943	9.9040
24.299999	102.937	9.2639
24.700001	102.923	8.4190
25.000000	102.910	7.7970
25.400000	102.894	6.9863
25.799999	102.883	6.1950
26.200001	102.880	5.4204
26.500000	102.881	4.8506
26.900000	102.884	4.1091
27.200001	102.885	3.5682
27.600000	102.885	2.8668
28.000000	102.881	2.1819
28.500000	102.871	1.3354
29.000000	102.858	0.4898
29.500000	102.840	-0.3514
30.000000	102.820	-1.1756
30.400000	102.804	-1.8183
30.700001	102.792	-2.2933
31.100000	102.776	-2.9240
31.500000	102.760	-3.5563
32.000000	102.737	-4.3406
32.500000	102.711	-5.0932
33.000000	102.684	-5.8008
33.500000	102.657	-6.4841
34.000000	102.628	-7.1712
34.500000	102.592	-7.8572
35.000000	102.556	-8.5142
35.500000	102.528	-9.1394
36.000000	102.510	-9.7599
36.500000	102.492	-10.3757
37.000000	102.461	-10.9388
37.500000	102.422	-11.4323
38.200001	102.365	-12.2042
38.700001	102.316	-12.9830
39.500000	102.193	-14.4190
40.000000	102.114	-15.1105
40.599998	102.071	-15.6360
41.200001	102.083	-16.0797
41.799999	102.092	-16.6099
42.500000	102.053	-17.2292
43.099998	101.996	-17.7182
43.700001	101.939	-18.2732
44.400002	101.869	-19.0160
45.000000	101.810	-19.6201
45.500000	101.768	-20.0880
46.200001	101.710	-20.7612
46.799999	101.647	-21.3341
47.500000	101.568	-21.8987
48.200001	101.507	-22.3957
48.700001	101.470	-22.7757
49.400002	101.408	-23.3323
50.000000	101.344	-23.7739
50.799999	101.259	-24.3247
51.500000	101.191	-24.8508
52.200001	101.124	-25.4161
53.000000	101.045	-26.0205
53.799999	100.967	-26.5359
54.500000	100.900	-26.9457
55.200001	100.833	-27.3675
56.000000	100.752	-27.8859
57.000000	100.643	-28.5324
58.000000	100.535	-29.1106
59.000000	100.432	-29.6414
60.000000	100.327	-30.1641
60.799999	100.238	-30.5678
61.500000	100.160	-30.9034
62.200001	100.083	-31.2307
63.000000	99.997	-31.5964
64.000000	99.892	-32.0245
65.000000	99.786	-32.4236
66.000000	99.676	-32.7978
67.000000	99.569	-33.1483
68.000000	99.463	-33.4796
69.000000	99.356	-33.7817
70.000000	99.251	-34.0641
71.000000	99.151	-34.3858
72.000000	99.045	-34.7391
73.000000	98.932	-35.0369
74.000000	98.825	-35.2823
75.000000	98.723	-35.4937
76.199997	98.600	-35.7330
77.500000	98.445	-36.0931
78.800003	98.309	-36.5371
80.000000	98.194	-36.9671
81.199997	98.050	-36.9673
82.500000	97.902	-36.7997
83.800003	97.757	-36.8450
85.000000	97.634	-36.9336
86.199997	97.508	-37.0312
87.500000	97.366	-37.0932
88.500000	97.259	-37.0915
90.000000	97.107	-37.0248
91.199997	96.990	-36.9487
92.500000	96.859	-36.9055
93.800003	96.723	-36.8740
95.000000	96.606	-36.7706
96.199997	96.490	-36.6439
97.500000	96.379	-36.5154
98.800003	96.310	-36.2669
100.000000	96.239	-36.0650
101.500000	96.049	-35.8917
103.000000	95.857	-35.5841
104.400002	95.713	-35.2689
106.000000	95.572	-34.9370
107.500000	95.459	-34.6191
109.000000	95.346	-34.2407
110.599998	95.221	-33.8210
112.000000	95.112	-33.4036
113.800003	94.977	-32.8878
115.000000	94.888	-32.5572
117.199997	94.729	-31.8775
118.000000	94.672	-31.6158
120.599998	94.498	-30.7323
122.000000	94.415	-30.2325
124.099998	94.293	-29.4214
125.000000	94.242	-29.0657
126.500000	94.161	-28.4840
128.000000	94.088	-27.8898
131.500000	93.934	-26.5014
132.000000	93.913	-26.3155
134.000000	93.834	-25.5565
136.000000	93.764	-24.7282
138.000000	93.713	-23.8869
140.000000	93.667	-23.0678
143.000000	93.572	-21.8846
145.000000	93.526	-21.0938
147.500000	93.482	-20.1080
150.000000	93.456	-19.0783
152.500000	93.432	-18.1504
155.000000	93.427	-17.3381
157.500000	93.399	-16.7509
160.000000	93.355	-15.9213
162.500000	93.336	-14.7960
165.000000	93.343	-14.2247
167.500000	93.341	-13.3814
170.000000	93.324	-12.4888
172.500000	93.285	-11.6852
175.000000	93.277	-10.8136
177.500000	93.267	-9.9177
180.000000	93.289	-9.0114
182.500000	93.362	-8.3598
185.000000	93.416	-7.7502
187.500000	93.464	-7.0777
190.000000	93.503	-6.5368
192.500000	93.537	-6.0616
195.000000	93.578	-5.5156
197.500000	93.614	-4.9832
200.000000	93.656	-4.5079
203.000000	93.725	-4.0589
206.000000	93.787	-3.6394
209.000000	93.843	-3.2211
212.000000	93.898	-2.8150
214.000000	93.934	-2.5637
218.000000	94.010	-2.1441
220.000000	94.047	-1.9694
224.000000	94.115	-1.6224
227.000000	94.166	-1.3740
230.000000	94.217	-1.1610
233.000000	94.268	-0.9607
236.000000	94.315	-0.7771
240.000000	94.372	-0.5514
243.000000	94.414	-0.4192
247.000000	94.469	-0.2598
250.000000	94.507	-0.1504
254.000000	94.556	-0.0211
258.000000	94.601	0.0899
262.000000	94.642	0.1912
265.000000	94.672	0.2559
269.000000	94.711	0.3218
272.000000	94.739	0.3704
276.000000	94.773	0.4307
280.000000	94.806	0.4952
285.000000	94.848	0.5608
290.000000	94.889	0.5932
295.000000	94.924	0.6303
300.000000	94.957	0.6578
304.000000	94.981	0.6497
307.000000	94.997	0.6412
311.000000	95.016	0.6254
315.000000	95.034	0.6087
320.000000	95.055	0.5832
325.000000	95.076	0.5470
330.000000	95.094	0.5158
335.000000	95.109	0.4791
340.000000	95.122	0.4457
345.000000	95.134	0.4155
350.000000	95.145	0.3766
355.000000	95.155	0.3415
360.000000	95.164	0.3027
365.000000	95.171	0.2532
370.000000	95.176	0.2026
375.000000	95.180	0.1518
382.000000	95.181	0.0805
387.000000	95.181	0.0256
395.000000	95.176	-0.0682
400.000000	95.170	-0.1222
406.000000	95.161	-0.1804
412.000000	95.151	-0.2342
418.000000	95.138	-0.2774
425.000000	95.122	-0.3128
431.000000	95.106	-0.3343
437.000000	95.089	-0.3468
444.000000	95.068	-0.3549
450.000000	95.049	-0.3555
455.000000	95.033	-0.3561
462.000000	95.009	-0.3477
468.000000	94.987	-0.3308
475.000000	94.960	-0.2970
482.000000	94.933	-0.2525
487.000000	94.912	-0.2154
494.000000	94.884	-0.1590
500.000000	94.859	-0.1066
508.000000	94.826	-0.0222
515.000000	94.796	0.0603
522.000000	94.766	0.1541
530.000000	94.731	0.2732
538.000000	94.696	0.4007
545.000000	94.665	0.5218
552.000000	94.634	0.6500
560.000000	94.599	0.8053
570.000000	94.554	1.0181
580.000000	94.508	1.2468
590.000000	94.462	1.4946
600.000000	94.417	1.7675
608.000000	94.381	1.9922
615.000000	94.350	2.1957
622.000000	94.319	2.4074
630.000000	94.284	2.6580
640.000000	94.241	2.9876
650.000000	94.199	3.3303
660.000000	94.157	3.6899
670.000000	94.116	4.0725
680.000000	94.077	4.4716
690.000000	94.039	4.8827
700.000000	94.002	5.3052
710.000000	93.966	5.7408
720.000000	93.931	6.1937
730.000000	93.898	6.6631
740.000000	93.866	7.1471
750.000000	93.837	7.6486
762.000000	93.805	8.2756
775.000000	93.775	8.9686
788.000000	93.749	9.6766
800.000000	93.727	10.3461
812.000000	93.706	11.0267
825.000000	93.685	11.7767
838.000000	93.670	12.5392
850.000000	93.662	13.2479
862.000000	93.657	13.9623
875.000000	93.658	14.7380
885.000000	93.662	15.3324
900.000000	93.675	16.2200
912.000000	93.690	16.9268
925.000000	93.713	17.6829
938.000000	93.742	18.4262
950.000000	93.773	19.0960
962.000000	93.809	19.7486
975.000000	93.851	20.4320
988.000000	93.898	21.0914
1000.000000	93.944	21.6754
1015.000000	94.006	22.3663
1030.000000	94.072	23.0171
1044.000000	94.135	23.5840
1060.000000	94.210	24.1832
1075.000000	94.282	24.6984
1090.000000	94.354	25.1696
1106.000000	94.430	25.6237
1120.000000	94.496	25.9851
1138.000000	94.578	26.4063
1150.000000	94.631	26.6611
1172.000000	94.723	27.0783
1180.000000	94.754	27.2160
1206.000000	94.852	27.6287
1220.000000	94.900	27.8355
1241.000000	94.968	28.1314
1250.000000	94.997	28.2538
1265.000000	95.046	28.4547
1280.000000	95.094	28.6541
1315.000000	95.200	29.1307
1320.000000	95.214	29.2003
1340.000000	95.269	29.4848
1360.000000	95.320	29.7846
1380.000000	95.369	30.0991
1400.000000	95.416	30.4290
1430.000000	95.485	30.9548
1450.000000	95.531	31.3250
1475.000000	95.588	31.8071
1500.000000	95.646	32.3122
1525.000000	95.705	32.8407
1550.000000	95.767	33.3906
1575.000000	95.831	33.9625
1600.000000	95.897	34.5462
1625.000000	95.964	35.1389
1650.000000	96.033	35.7388
1675.000000	96.106	36.3402
1700.000000	96.183	36.9425
1725.000000	96.265	37.5460
1750.000000	96.352	38.1453
1775.000000	96.444	38.7391
1800.000000	96.540	39.3277
1825.000000	96.642	39.9073
1850.000000	96.749	40.4751
1875.000000	96.863	41.0254
1900.000000	96.981	41.5555
1925.000000	97.106	42.0636
1950.000000	97.236	42.5455
1975.000000	97.372	42.9954
2000.000000	97.513	43.4112
2030.000000	97.691	43.8646
2060.000000	97.876	44.2651
2090.000000	98.068	44.6100
2120.000000	98.266	44.8927
2140.000000	98.401	45.0437
2180.000000	98.680	45.2488
2200.000000	98.823	45.2983
2240.000000	99.115	45.2802
2270.000000	99.339	45.1571
2300.000000	99.566	44.9335
2330.000000	99.795	44.6009
2360.000000	100.025	44.1524
2400.000000	100.330	43.3645
2430.000000	100.555	42.6216
2470.000000	100.846	41.4226
2500.000000	101.056	40.3633
2540.000000	101.319	38.7326
2580.000000	101.554	36.8589
2620.000000	101.755	34.7611
2650.000000	101.877	33.0591
2690.000000	101.996	30.6601
2720.000000	102.049	28.8005
2760.000000	102.069	26.3032
2800.000000	102.034	23.8647
2850.000000	101.921	21.0105
2900.000000	101.748	18.4518
2950.000000	101.534	16.2146
3000.000000	101.290	14.2799
3040.000000	101.080	12.9332
3070.000000	100.915	12.0350
3110.000000	100.687	10.9842
3150.000000	100.451	10.1020
3200.000000	100.149	9.2427
3250.000000	99.844	8.6515
3300.000000	99.541	8.3232
3350.000000	99.246	8.2442
3400.000000	98.964	8.3931
3450.000000	98.700	8.7397
3500.000000	98.455	9.2465
3550.000000	98.231	9.8760
3600.000000	98.028	10.5983
3650.000000	97.844	11.3887
3700.000000	97.677	12.2298
3750.000000	97.525	13.1149
3820.000000	97.336	14.4213
3870.000000	97.218	15.3993
3950.000000	97.056	17.0367
4000.000000	96.972	18.0939
4060.000000	96.887	19.3824
4120.000000	96.822	20.6757
4180.000000	96.778	21.9583
4250.000000	96.753	23.4212
4310.000000	96.752	24.6289
4370.000000	96.769	25.7830
4440.000000	96.809	27.0522
4500.000000	96.859	28.0676
4550.000000	96.911	28.8604
4620.000000	96.996	29.8948
4680.000000	97.082	30.7228
4750.000000	97.199	31.6310
4820.000000	97.342	32.4673
4870.000000	97.465	32.9874
4940.000000	97.665	33.5265
5000.000000	97.859	33.7351
5080.000000	98.129	33.5651
5150.000000	98.353	32.9930
5220.000000	98.547	32.0917
5300.000000	98.717	30.7902
5380.000000	98.829	29.3638
5450.000000	98.886	28.1399
5520.000000	98.917	27.0217
5600.000000	98.943	25.9168
5700.000000	99.007	24.7036
5800.000000	99.146	23.2494
5900.000000	99.327	20.8354
6000.000000	99.396	17.0533
6080.000000	99.243	13.5268
6150.000000	98.939	10.8192
6220.000000	98.529	8.9216
6300.000000	98.025	7.9389
6400.000000	97.483	8.2579
6500.000000	97.113	9.7019
6600.000000	96.931	11.6798
6700.000000	96.930	13.7733
6800.000000	97.104	15.6824
6900.000000	97.450	17.1369
7000.000000	97.965	17.8360
7100.000000	98.642	17.4095
7200.000000	99.473	15.3586
7300.000000	100.388	10.8379
7400.000000	101.188	3.3239
7500.000000	101.669	-6.8816
7620.000000	101.532	-21.2654
7750.000000	100.398	-35.8805
7880.000000	98.566	-46.3745
8000.000000	96.650	-51.8693
8120.000000	94.759	-54.1772
8250.000000	92.872	-54.2964
8380.000000	91.202	-52.9287
8500.000000	89.842	-50.9630
8620.000000	88.627	-48.7929
8750.000000	87.400	-46.8309
8850.000000	86.373	-45.7640
9000.000000	84.415	-40.5920
9120.000000	83.207	-29.8441
9250.000000	82.898	-20.2079
9380.000000	82.814	-14.8026
9500.000000	82.711	-10.5316
9620.000000	82.705	-6.9806
9750.000000	82.684	-4.8678
9880.000000	82.412	-3.6148
10000.000000	81.964	-0.7491
10150.000000	81.694	5.5499
10300.000000	81.891	11.3385
10440.000000	82.303	15.4410
10600.000000	82.958	18.6889
10750.000000	83.698	19.9376
10900.000000	84.437	19.3786
11060.000000	85.178	17.4714
11200.000000	85.829	14.7782
11380.000000	86.628	9.3814
11500.000000	87.066	4.5757
11720.000000	87.583	-6.3732
11800.000000	87.639	-11.0090
12060.000000	87.078	-26.4314
12200.000000	86.363	-33.3744
12410.000000	85.045	-40.6634
12500.000000	84.476	-42.6434
12650.000000	83.615	-44.6574
12800.000000	82.918	-45.4272
13150.000000	82.078	-44.9966
13200.000000	82.048	-44.8982
13400.000000	82.131	-44.7984
13600.000000	82.511	-45.4027
13800.000000	83.188	-46.7743
14000.000000	84.280	-48.9022
14300.000000	87.300	-56.0586
14500.000000	90.039	-68.9319
14750.000000	92.682	-97.4671
15000.000000	93.366	-133.2020
15250.000000	92.109	-167.0087
15500.000000	89.764	166.6300
15750.000000	87.387	147.9342
16000.000000	85.664	134.7935
16250.000000	85.551	125.9316
16500.000000	87.571	111.2528
16750.000000	89.076	83.8124
17000.000000	89.755	52.6992
17250.000000	90.324	18.9120
17500.000000	90.536	-19.0091
17750.000000	90.013	-60.1678
18000.000000	88.731	-102.6884
18250.000000	86.948	-145.7831
18500.000000	84.963	169.9874
18750.000000	83.034	123.1963
