* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:00:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Flo Audio Bluelover EX11
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.694	18.2356
20.600000	103.710	17.5706
20.900000	103.725	16.8616
21.200001	103.737	16.1561
21.400000	103.746	15.6861
21.799999	103.763	14.7424
22.000000	103.771	14.2693
22.400000	103.785	13.3289
22.700001	103.794	12.6374
23.000000	103.801	11.9645
23.299999	103.807	11.3128
23.600000	103.811	10.6811
24.000000	103.815	9.8627
24.299999	103.818	9.2594
24.700001	103.821	8.4592
25.000000	103.821	7.8588
25.400000	103.818	7.0591
25.799999	103.812	6.2675
26.200001	103.804	5.4940
26.500000	103.798	4.9295
26.900000	103.790	4.1971
27.200001	103.784	3.6591
27.600000	103.776	2.9512
28.000000	103.767	2.2513
28.500000	103.752	1.3928
29.000000	103.735	0.5606
29.500000	103.716	-0.2478
30.000000	103.697	-1.0431
30.400000	103.680	-1.6721
30.700001	103.667	-2.1370
31.100000	103.648	-2.7439
31.500000	103.629	-3.3361
32.000000	103.605	-4.0657
32.500000	103.580	-4.7951
33.000000	103.552	-5.5209
33.500000	103.520	-6.2270
34.000000	103.488	-6.9045
34.500000	103.456	-7.5609
35.000000	103.426	-8.2088
35.500000	103.394	-8.8496
36.000000	103.362	-9.4744
36.500000	103.329	-10.0773
37.000000	103.298	-10.6643
37.500000	103.266	-11.2472
38.200001	103.214	-12.0576
38.700001	103.170	-12.6096
39.500000	103.098	-13.4177
40.000000	103.058	-13.9101
40.599998	103.015	-14.5419
41.200001	102.965	-15.2080
41.799999	102.907	-15.8444
42.500000	102.842	-16.5196
43.099998	102.797	-17.0926
43.700001	102.755	-17.6860
44.400002	102.697	-18.3465
45.000000	102.639	-18.8333
45.500000	102.590	-19.1908
46.200001	102.526	-19.6965
46.799999	102.480	-20.2087
47.500000	102.424	-20.8821
48.200001	102.358	-21.4750
48.700001	102.309	-21.7908
49.400002	102.246	-22.1786
50.000000	102.191	-22.5905
50.799999	102.103	-23.2657
51.500000	102.025	-23.8471
52.200001	101.956	-24.3532
53.000000	101.881	-24.8387
53.799999	101.802	-25.2776
54.500000	101.728	-25.6992
55.200001	101.648	-26.1432
56.000000	101.560	-26.5983
57.000000	101.462	-27.1408
58.000000	101.360	-27.7370
59.000000	101.254	-28.2981
60.000000	101.154	-28.7618
60.799999	101.075	-29.0699
61.500000	101.004	-29.3696
62.200001	100.924	-29.7434
63.000000	100.818	-30.1944
64.000000	100.685	-30.5688
65.000000	100.585	-30.7066
66.000000	100.507	-30.9425
67.000000	100.393	-31.3745
68.000000	100.255	-31.7160
69.000000	100.143	-32.0017
70.000000	100.035	-32.4135
71.000000	99.911	-32.7452
72.000000	99.801	-32.9032
73.000000	99.684	-33.0507
74.000000	99.541	-33.0980
75.000000	99.420	-33.0526
76.199997	99.317	-32.9899
77.500000	99.243	-33.0410
78.800003	99.196	-33.4751
80.000000	99.136	-33.8155
81.199997	98.969	-33.5321
82.500000	98.778	-32.9454
83.800003	98.660	-33.0263
85.000000	98.566	-33.2215
86.199997	98.434	-33.3349
87.500000	98.265	-33.2329
88.500000	98.183	-33.1348
90.000000	98.108	-33.2846
91.199997	98.036	-33.2623
92.500000	97.909	-32.8590
93.800003	97.764	-32.2668
95.000000	97.652	-32.1678
96.199997	97.527	-32.5030
97.500000	97.402	-32.4290
98.800003	97.369	-32.1805
100.000000	97.343	-32.5877
101.500000	97.232	-33.0862
103.000000	97.088	-32.7992
104.400002	96.937	-32.2572
106.000000	96.812	-31.4991
107.500000	96.751	-30.7526
109.000000	96.697	-30.4984
110.599998	96.577	-30.2028
