* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 10:56:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Flo Audio Bluelover EX11
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.789	18.7708
20.600000	102.808	18.0864
20.900000	102.826	17.3530
21.200001	102.840	16.6241
21.400000	102.850	16.1420
21.799999	102.868	15.1865
22.000000	102.877	14.7142
22.400000	102.894	13.7839
22.700001	102.906	13.1014
23.000000	102.916	12.4328
23.299999	102.925	11.7774
23.600000	102.932	11.1329
24.000000	102.937	10.2856
24.299999	102.940	9.6556
24.700001	102.942	8.8192
25.000000	102.942	8.1947
25.400000	102.940	7.3690
25.799999	102.937	6.5569
26.200001	102.933	5.7643
26.500000	102.931	5.1839
26.900000	102.926	4.4273
27.200001	102.922	3.8707
27.600000	102.915	3.1408
28.000000	102.906	2.4240
28.500000	102.891	1.5484
29.000000	102.875	0.6959
29.500000	102.857	-0.1371
30.000000	102.839	-0.9557
30.400000	102.823	-1.6018
30.700001	102.811	-2.0809
31.100000	102.793	-2.7111
31.500000	102.774	-3.3308
32.000000	102.751	-4.0910
32.500000	102.729	-4.8367
33.000000	102.708	-5.5682
33.500000	102.685	-6.2812
34.000000	102.660	-6.9704
34.500000	102.632	-7.6390
35.000000	102.603	-8.3004
35.500000	102.570	-8.9638
36.000000	102.533	-9.6189
36.500000	102.494	-10.2445
37.000000	102.459	-10.8379
37.500000	102.429	-11.4277
38.200001	102.387	-12.2958
38.700001	102.347	-12.9194
39.500000	102.274	-13.8139
40.000000	102.234	-14.3175
40.599998	102.193	-14.9374
41.200001	102.148	-15.5940
41.799999	102.093	-16.2394
42.500000	102.026	-16.9406
43.099998	101.975	-17.5277
43.700001	101.932	-18.1329
44.400002	101.885	-18.8696
45.000000	101.840	-19.5099
45.500000	101.792	-20.0129
46.200001	101.713	-20.5993
46.799999	101.650	-21.0051
47.500000	101.594	-21.5091
48.200001	101.539	-22.1431
48.700001	101.488	-22.6246
49.400002	101.404	-23.2238
50.000000	101.335	-23.6477
50.799999	101.257	-24.1694
51.500000	101.197	-24.6259
52.200001	101.139	-25.0728
53.000000	101.066	-25.5847
53.799999	100.982	-26.1180
54.500000	100.905	-26.6030
55.200001	100.833	-27.0997
56.000000	100.752	-27.6343
57.000000	100.651	-28.1845
58.000000	100.547	-28.7327
59.000000	100.425	-29.3380
60.000000	100.299	-29.8035
60.799999	100.219	-30.1074
61.500000	100.157	-30.4266
62.200001	100.089	-30.7840
63.000000	100.000	-31.1552
64.000000	99.889	-31.5272
65.000000	99.781	-31.8519
66.000000	99.673	-32.1817
67.000000	99.566	-32.5874
68.000000	99.472	-32.9723
69.000000	99.399	-33.2481
70.000000	99.298	-33.5210
71.000000	99.148	-33.8744
72.000000	99.013	-34.2603
73.000000	98.924	-34.4437
74.000000	98.837	-34.2974
75.000000	98.743	-34.1944
76.199997	98.669	-34.6627
77.500000	98.614	-34.9882
78.800003	98.520	-34.5828
80.000000	98.427	-34.5359
81.199997	98.294	-35.3326
82.500000	98.082	-36.0013
83.800003	97.910	-37.0354
85.000000	97.756	-38.3624
86.199997	97.671	-38.7380
87.500000	97.709	-37.6786
88.500000	97.727	-36.8326
90.000000	97.438	-36.3289
91.199997	97.032	-36.0564
92.500000	96.773	-35.6427
93.800003	96.851	-34.7994
95.000000	96.948	-34.4628
96.199997	96.825	-35.3773
97.500000	96.608	-37.0781
98.800003	96.456	-37.3415
100.000000	96.316	-35.9102
101.500000	96.127	-34.3585
103.000000	96.003	-34.0870
104.400002	95.887	-34.2355
106.000000	95.747	-34.6105
107.500000	95.656	-34.1839
109.000000	95.478	-33.5486
110.599998	95.265	-33.5366
112.000000	95.131	-33.5221
113.800003	95.021	-33.3459
115.000000	94.960	-33.0329
117.199997	94.826	-32.1469
118.000000	94.787	-31.8253
120.599998	94.613	-30.4291
122.000000	94.476	-29.8852
124.099998	94.354	-29.0944
125.000000	94.305	-28.7261
126.500000	94.217	-28.2134
128.000000	94.134	-27.7643
131.500000	93.978	-26.7276
132.000000	93.970	-26.4965
134.000000	93.913	-25.3496
136.000000	93.831	-24.4955
138.000000	93.756	-23.8614
140.000000	93.698	-23.0093
143.000000	93.612	-21.6465
145.000000	93.547	-20.8911
147.500000	93.522	-20.0089
150.000000	93.485	-19.0889
152.500000	93.467	-18.0764
155.000000	93.458	-17.0090
157.500000	93.394	-16.1123
160.000000	93.311	-15.2251
162.500000	93.354	-14.3696
165.000000	93.406	-13.5699
167.500000	93.414	-12.7320
170.000000	93.430	-11.9165
172.500000	93.446	-11.1486
175.000000	93.457	-10.4868
