* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 21, 2025 1:56:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Flo Audio Bluelover Epro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.100	17.9545
20.600000	104.110	17.2773
20.900000	104.119	16.5614
21.200001	104.128	15.8547
21.400000	104.135	15.3859
21.799999	104.152	14.4455
22.000000	104.161	13.9737
22.400000	104.179	13.0346
22.700001	104.189	12.3442
23.000000	104.195	11.6741
23.299999	104.199	11.0275
23.600000	104.199	10.4031
24.000000	104.196	9.5965
24.299999	104.193	9.0035
24.700001	104.187	8.2209
25.000000	104.182	7.6373
25.400000	104.175	6.8614
25.799999	104.170	6.0855
26.200001	104.166	5.3071
26.500000	104.162	4.7226
26.900000	104.155	3.9495
27.200001	104.148	3.3817
27.600000	104.135	2.6504
28.000000	104.120	1.9514
28.500000	104.102	1.1099
29.000000	104.085	0.2800
29.500000	104.065	-0.5504
30.000000	104.042	-1.3707
30.400000	104.022	-2.0082
30.700001	104.006	-2.4727
31.100000	103.986	-3.0764
31.500000	103.968	-3.6694
32.000000	103.944	-4.4087
32.500000	103.917	-5.1525
33.000000	103.882	-5.8891
33.500000	103.839	-6.5886
34.000000	103.795	-7.2263
34.500000	103.759	-7.8141
35.000000	103.736	-8.4014
35.500000	103.719	-9.0282
36.000000	103.696	-9.6783
36.500000	103.662	-10.2904
37.000000	103.621	-10.8250
37.500000	103.580	-11.3136
38.200001	103.524	-12.0563
38.700001	103.476	-12.6594
39.500000	103.384	-13.6062
40.000000	103.334	-14.1208
40.599998	103.294	-14.6982
41.200001	103.266	-15.2941
41.799999	103.231	-15.9021
42.500000	103.173	-16.5695
43.099998	103.113	-17.1038
43.700001	103.054	-17.6392
44.400002	102.992	-18.2909
45.000000	102.942	-18.8401
45.500000	102.898	-19.2473
46.200001	102.833	-19.7268
46.799999	102.776	-20.1434
47.500000	102.704	-20.7556
48.200001	102.630	-21.4376
48.700001	102.586	-21.8782
49.400002	102.533	-22.3632
50.000000	102.473	-22.5949
50.799999	102.360	-22.5688
51.500000	102.276	-22.5491
52.200001	102.219	-23.0438
53.000000	102.144	-24.1345
53.799999	102.062	-25.0602
54.500000	102.008	-25.5378
55.200001	101.954	-25.9005
56.000000	101.869	-26.2981
57.000000	101.755	-26.8124
58.000000	101.644	-27.3433
59.000000	101.532	-27.7549
60.000000	101.434	-28.1298
60.799999	101.356	-28.4813
61.500000	101.281	-28.8073
62.200001	101.204	-29.1551
63.000000	101.132	-29.6004
64.000000	101.067	-30.1419
65.000000	100.983	-30.4899
66.000000	100.842	-30.6398
67.000000	100.689	-30.8449
68.000000	100.572	-31.2321
69.000000	100.477	-31.5641
70.000000	100.379	-31.7349
71.000000	100.270	-31.8339
72.000000	100.157	-31.9784
73.000000	100.040	-32.2235
74.000000	99.931	-32.4179
75.000000	99.826	-32.4881
76.199997	99.661	-32.6528
77.500000	99.467	-33.4925
78.800003	99.296	-33.7577
80.000000	99.240	-32.9807
81.199997	99.155	-32.9639
82.500000	98.998	-33.0719
83.800003	98.887	-32.7342
85.000000	98.751	-32.5304
86.199997	98.591	-32.5331
87.500000	98.441	-32.4312
88.500000	98.373	-32.1408
90.000000	98.262	-31.7279
91.199997	98.127	-31.4535
92.500000	98.043	-31.1741
93.800003	98.036	-30.8882
95.000000	98.002	-30.6870
96.199997	97.926	-30.6773
97.500000	97.837	-30.7820
98.800003	97.744	-31.1530
100.000000	97.633	-31.4096
101.500000	97.542	-30.9721
103.000000	97.503	-30.5855
104.400002	97.381	-30.4280
106.000000	97.190	-29.6687
107.500000	97.063	-29.0720
109.000000	96.965	-28.6973
110.599998	96.866	-28.1694
112.000000	96.781	-27.7102
113.800003	96.687	-27.2404
115.000000	96.633	-26.8724
117.199997	96.524	-26.2105
118.000000	96.486	-26.0456
120.599998	96.357	-25.3403
122.000000	96.286	-24.8966
124.099998	96.193	-24.1862
125.000000	96.157	-23.8525
126.500000	96.097	-23.3147
128.000000	96.038	-22.7692
131.500000	95.931	-21.6033
132.000000	95.919	-21.4207
134.000000	95.873	-20.7032
136.000000	95.826	-20.0157
138.000000	95.776	-19.2929
140.000000	95.739	-18.6618
143.000000	95.700	-17.6761
145.000000	95.673	-17.0174
147.500000	95.655	-16.1383
150.000000	95.652	-15.3246
152.500000	95.639	-14.4596
155.000000	95.645	-13.6177
157.500000	95.634	-12.7875
160.000000	95.630	-11.9905
162.500000	95.641	-11.2734
165.000000	95.656	-10.5454
167.500000	95.682	-9.8031
170.000000	95.720	-9.1446
172.500000	95.760	-8.5394
175.000000	95.806	-8.0043
177.500000	95.854	-7.5586
180.000000	95.900	-7.1827
182.500000	95.940	-6.8654
185.000000	95.972	-6.5402
187.500000	96.005	-6.2504
