* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:28:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Flo Audio Bluelover Final E
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.605	17.4490
20.600000	103.620	16.7914
20.900000	103.633	16.0847
21.200001	103.644	15.3752
21.400000	103.651	14.9005
21.799999	103.663	13.9487
22.000000	103.669	13.4755
22.400000	103.679	12.5479
22.700001	103.686	11.8762
23.000000	103.693	11.2261
23.299999	103.699	10.5925
23.600000	103.705	9.9674
24.000000	103.711	9.1358
24.299999	103.713	8.5114
24.700001	103.710	7.6842
25.000000	103.705	7.0748
25.400000	103.696	6.2826
25.799999	103.687	5.5112
26.200001	103.680	4.7512
26.500000	103.675	4.1846
26.900000	103.667	3.4344
27.200001	103.659	2.8803
27.600000	103.646	2.1602
28.000000	103.632	1.4649
28.500000	103.614	0.6251
29.000000	103.595	-0.1950
29.500000	103.576	-1.0026
30.000000	103.554	-1.7956
30.400000	103.535	-2.4171
30.700001	103.521	-2.8758
31.100000	103.500	-3.4787
31.500000	103.480	-4.0728
32.000000	103.452	-4.8026
32.500000	103.423	-5.5160
33.000000	103.394	-6.2126
33.500000	103.364	-6.8965
34.000000	103.334	-7.5718
34.500000	103.302	-8.2369
35.000000	103.270	-8.8850
35.500000	103.236	-9.5119
36.000000	103.203	-10.1222
36.500000	103.168	-10.7234
37.000000	103.130	-11.3155
37.500000	103.089	-11.8920
38.200001	103.033	-12.6792
38.700001	102.996	-13.2531
39.500000	102.934	-14.1998
40.000000	102.889	-14.7603
40.599998	102.834	-15.3555
41.200001	102.786	-15.8974
41.799999	102.741	-16.4469
42.500000	102.681	-17.1103
43.099998	102.623	-17.6698
43.700001	102.564	-18.2208
44.400002	102.498	-18.8620
45.000000	102.443	-19.3902
45.500000	102.400	-19.8080
46.200001	102.340	-20.3788
46.799999	102.284	-20.8634
47.500000	102.215	-21.4275
48.200001	102.153	-22.0481
48.700001	102.109	-22.5428
49.400002	102.039	-23.2107
50.000000	101.973	-23.6421
50.799999	101.891	-24.0200
