* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:32:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Flo Audio Bluelover Velvet Wide
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.289	17.5190
20.600000	103.306	16.8847
20.900000	103.323	16.1938
21.200001	103.338	15.4873
21.400000	103.348	15.0079
21.799999	103.365	14.0345
22.000000	103.372	13.5457
22.400000	103.382	12.5788
22.700001	103.386	11.8736
23.000000	103.389	11.1924
23.299999	103.390	10.5379
23.600000	103.391	9.9086
24.000000	103.393	9.0983
24.299999	103.396	8.5002
24.700001	103.402	7.6980
25.000000	103.406	7.0875
25.400000	103.406	6.2674
25.799999	103.399	5.4600
26.200001	103.388	4.6860
26.500000	103.377	4.1317
26.900000	103.364	3.4191
27.200001	103.355	2.8938
27.600000	103.343	2.1929
28.000000	103.331	1.4877
28.500000	103.314	0.6109
29.000000	103.295	-0.2440
29.500000	103.275	-1.0699
30.000000	103.254	-1.8688
30.400000	103.236	-2.4903
30.700001	103.222	-2.9473
31.100000	103.202	-3.5472
31.500000	103.182	-4.1404
32.000000	103.155	-4.8757
32.500000	103.126	-5.6011
33.000000	103.096	-6.3093
33.500000	103.065	-6.9993
34.000000	103.036	-7.6769
34.500000	103.006	-8.3458
35.000000	102.975	-9.0010
35.500000	102.941	-9.6352
36.000000	102.905	-10.2482
36.500000	102.867	-10.8487
37.000000	102.828	-11.4455
37.500000	102.788	-12.0392
38.200001	102.735	-12.8561
38.700001	102.702	-13.4293
39.500000	102.652	-14.3356
40.000000	102.613	-14.8840
40.599998	102.558	-15.5020
41.200001	102.497	-16.0798
41.799999	102.439	-16.6509
42.500000	102.379	-17.3432
43.099998	102.329	-17.9448
43.700001	102.278	-18.5165
44.400002	102.213	-19.1186
45.000000	102.157	-19.6053
45.500000	102.110	-20.0233
46.200001	102.040	-20.6363
46.799999	101.978	-21.1480
47.500000	101.909	-21.7177
48.200001	101.846	-22.3277
48.700001	101.796	-22.7913
49.400002	101.720	-23.3872
50.000000	101.660	-23.7959
50.799999	101.596	-24.2746
51.500000	101.538	-24.7082
52.200001	101.467	-25.1396
53.000000	101.382	-25.6276
53.799999	101.298	-26.1302
54.500000	101.228	-26.5525
55.200001	101.159	-26.9473
56.000000	101.079	-27.3904
57.000000	100.972	-27.9472
58.000000	100.865	-28.5075
59.000000	100.763	-29.0341
60.000000	100.663	-29.5176
60.799999	100.579	-29.8885
61.500000	100.502	-30.1927
62.200001	100.425	-30.4786
63.000000	100.337	-30.7900
64.000000	100.230	-31.1672
65.000000	100.124	-31.5468
66.000000	100.015	-31.9029
67.000000	99.907	-32.2288
68.000000	99.799	-32.5440
69.000000	99.693	-32.8281
70.000000	99.590	-33.1075
71.000000	99.485	-33.4059
72.000000	99.375	-33.6792
73.000000	99.264	-33.8916
74.000000	99.158	-34.0729
75.000000	99.054	-34.2829
76.199997	98.921	-34.4835
77.500000	98.779	-34.6225
78.800003	98.654	-34.8226
80.000000	98.552	-35.0612
81.199997	98.421	-35.1584
82.500000	98.263	-35.1112
83.800003	98.121	-35.1777
85.000000	98.000	-35.2930
86.199997	97.870	-35.3441
87.500000	97.728	-35.2687
88.500000	97.626	-35.1320
90.000000	97.480	-34.9683
91.199997	97.369	-35.0408
92.500000	97.260	-35.1018
93.800003	97.139	-34.9381
95.000000	97.001	-34.7542
96.199997	96.871	-34.5242
97.500000	96.725	-33.8485
98.800003	96.564	-32.7121
100.000000	96.470	-32.1457
101.500000	96.404	-32.2108
103.000000	96.343	-32.0310
104.400002	96.275	-31.7294
106.000000	96.195	-31.5239
107.500000	96.094	-31.3344
109.000000	95.969	-31.0782
110.599998	95.837	-30.6923
112.000000	95.741	-30.2657
113.800003	95.608	-29.7193
115.000000	95.562	-29.3952
117.199997	95.463	-28.8113
118.000000	95.413	-28.5793
120.599998	95.234	-27.8288
122.000000	95.145	-27.3726
124.099998	95.051	-26.7307
