* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:33:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Flo Audio Bluelover Velvet Wide
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.840	17.1138
20.600000	102.857	16.4326
20.900000	102.872	15.7026
21.200001	102.885	14.9735
21.400000	102.894	14.4880
21.799999	102.909	13.5189
22.000000	102.916	13.0382
22.400000	102.928	12.0959
22.700001	102.935	11.4133
23.000000	102.941	10.7533
23.299999	102.947	10.1121
23.600000	102.952	9.4821
24.000000	102.958	8.6451
24.299999	102.961	8.0135
24.700001	102.962	7.1660
25.000000	102.961	6.5315
25.400000	102.956	5.6963
25.799999	102.950	4.8811
26.200001	102.943	4.0892
26.500000	102.939	3.5107
26.900000	102.932	2.7602
27.200001	102.925	2.2128
27.600000	102.916	1.5016
28.000000	102.905	0.8063
28.500000	102.890	-0.0535
29.000000	102.873	-0.9126
29.500000	102.851	-1.7669
30.000000	102.827	-2.6021
30.400000	102.807	-3.2502
30.700001	102.793	-3.7253
31.100000	102.774	-4.3483
31.500000	102.756	-4.9640
32.000000	102.730	-5.7249
32.500000	102.702	-6.4705
33.000000	102.672	-7.1949
33.500000	102.641	-7.8999
34.000000	102.612	-8.5915
34.500000	102.583	-9.2704
35.000000	102.552	-9.9299
35.500000	102.519	-10.5646
36.000000	102.484	-11.1797
36.500000	102.447	-11.7890
37.000000	102.408	-12.4019
37.500000	102.368	-13.0166
38.200001	102.313	-13.8693
38.700001	102.276	-14.4755
39.500000	102.217	-15.4451
40.000000	102.175	-16.0280
40.599998	102.120	-16.6709
41.200001	102.067	-17.2595
41.799999	102.020	-17.8361
42.500000	101.961	-18.5245
43.099998	101.905	-19.1139
43.700001	101.846	-19.6955
44.400002	101.780	-20.3726
45.000000	101.727	-20.9416
45.500000	101.684	-21.3947
46.200001	101.619	-21.9948
46.799999	101.556	-22.4879
47.500000	101.482	-23.0777
48.200001	101.419	-23.7736
48.700001	101.378	-24.3471
49.400002	101.310	-25.1098
50.000000	101.244	-25.5605
50.799999	101.163	-25.8905
51.500000	101.098	-26.1869
52.200001	101.024	-26.6216
53.000000	100.933	-27.1981
53.799999	100.850	-27.7665
54.500000	100.780	-28.2204
55.200001	100.708	-28.6303
56.000000	100.624	-29.0998
57.000000	100.515	-29.7045
58.000000	100.408	-30.2516
59.000000	100.303	-30.7775
60.000000	100.193	-31.2979
60.799999	100.104	-31.6913
61.500000	100.028	-32.0225
62.200001	99.952	-32.3466
63.000000	99.865	-32.7045
64.000000	99.760	-33.1439
65.000000	99.653	-33.5801
66.000000	99.537	-33.9546
67.000000	99.421	-34.3124
68.000000	99.304	-34.6806
69.000000	99.195	-35.0269
70.000000	99.084	-35.3435
71.000000	98.975	-35.6139
72.000000	98.865	-35.9319
73.000000	98.740	-36.1947
74.000000	98.626	-36.3402
75.000000	98.524	-36.5386
76.199997	98.409	-36.7003
77.500000	98.282	-36.9710
78.800003	98.119	-37.3637
80.000000	97.971	-37.7157
81.199997	97.824	-37.5605
82.500000	97.707	-37.4105
83.800003	97.549	-37.5872
85.000000	97.442	-37.4705
86.199997	97.344	-37.7414
87.500000	97.185	-37.8259
88.500000	97.090	-37.8474
90.000000	96.903	-37.9528
91.199997	96.764	-37.7301
92.500000	96.677	-37.6123
93.800003	96.532	-37.6987
95.000000	96.425	-37.2320
96.199997	96.341	-37.3705
97.500000	96.152	-37.8153
98.800003	95.981	-37.7787
100.000000	95.934	-37.3009
101.500000	95.809	-37.1894
103.000000	95.621	-36.2698
104.400002	95.579	-35.8155
106.000000	95.460	-35.8907
107.500000	95.236	-35.6378
109.000000	95.116	-34.4486
110.599998	95.069	-34.2392
112.000000	94.933	-34.3021
113.800003	94.720	-33.6932
115.000000	94.589	-32.7808
117.199997	94.511	-31.9385
118.000000	94.469	-32.0146
120.599998	94.273	-31.4865
122.000000	94.129	-30.9818
124.099998	93.971	-29.5512
125.000000	93.955	-29.0603
126.500000	93.917	-28.4708
128.000000	93.877	-27.8120
131.500000	93.770	-27.1414
132.000000	93.733	-26.9650
134.000000	93.599	-26.0153
136.000000	93.499	-25.4975
138.000000	93.386	-24.7693
140.000000	93.310	-23.6969
143.000000	93.260	-22.4986
145.000000	93.202	-21.6494
147.500000	93.182	-20.3454
150.000000	93.196	-19.4262
152.500000	93.170	-18.4972
155.000000	93.130	-17.0898
157.500000	93.092	-15.7249
160.000000	93.005	-14.9485
162.500000	93.037	-14.3494
165.000000	93.096	-13.7049
167.500000	93.107	-12.8305
170.000000	93.116	-11.7910
172.500000	93.130	-10.8993
175.000000	93.172	-10.0928
177.500000	93.200	-9.4019
180.000000	93.204	-8.7303
182.500000	93.243	-8.2003
185.000000	93.279	-7.5639
187.500000	93.313	-7.1140
190.000000	93.374	-6.7604
192.500000	93.430	-6.3689
195.000000	93.484	-5.9135
197.500000	93.526	-5.2986
200.000000	93.563	-4.6898
203.000000	93.601	-4.1373
206.000000	93.639	-3.8185
209.000000	93.699	-3.5383
212.000000	93.754	-3.1159
214.000000	93.784	-2.8604
218.000000	93.848	-2.4708
220.000000	93.884	-2.2395
224.000000	93.941	-1.7680
227.000000	93.994	-1.5482
230.000000	94.043	-1.2891
233.000000	94.092	-1.0918
236.000000	94.141	-0.8854
240.000000	94.197	-0.6530
243.000000	94.244	-0.4385
247.000000	94.304	-0.2477
250.000000	94.346	-0.1107
254.000000	94.399	0.0444
258.000000	94.450	0.1809
262.000000	94.498	0.2801
265.000000	94.533	0.2854
269.000000	94.580	0.2962
272.000000	94.609	0.3459
276.000000	94.644	0.4042
280.000000	94.676	0.4462
285.000000	94.714	0.4867
290.000000	94.747	0.4917
295.000000	94.777	0.4619
300.000000	94.806	0.4648
304.000000	94.828	0.4932
307.000000	94.843	0.4976
311.000000	94.864	0.4911
315.000000	94.885	0.4833
320.000000	94.908	0.4535
325.000000	94.927	0.4268
330.000000	94.945	0.3857
335.000000	94.961	0.3491
340.000000	94.973	0.3197
345.000000	94.985	0.2673
350.000000	94.995	0.2187
355.000000	95.000	0.1920
360.000000	95.005	0.1651
365.000000	95.009	0.1287
370.000000	95.011	0.0889
375.000000	95.012	0.0511
382.000000	95.012	0.0012
387.000000	95.012	-0.0348
395.000000	95.009	-0.0784
400.000000	95.005	-0.1096
406.000000	94.997	-0.1473
412.000000	94.988	-0.1673
418.000000	94.977	-0.1922
425.000000	94.963	-0.2172
431.000000	94.950	-0.2335
437.000000	94.936	-0.2400
444.000000	94.918	-0.2437
450.000000	94.902	-0.2312
455.000000	94.889	-0.2223
462.000000	94.870	-0.2159
468.000000	94.852	-0.1927
475.000000	94.831	-0.1625
482.000000	94.811	-0.1361
487.000000	94.795	-0.1134
494.000000	94.770	-0.0722
500.000000	94.747	-0.0306
508.000000	94.716	0.0258
515.000000	94.689	0.0778
522.000000	94.661	0.1425
530.000000	94.626	0.2399
538.000000	94.590	0.3473
545.000000	94.561	0.4491
552.000000	94.530	0.5674
560.000000	94.494	0.7165
570.000000	94.450	0.9178
580.000000	94.406	1.1303
590.000000	94.362	1.3622
600.000000	94.318	1.6115
608.000000	94.282	1.8197
615.000000	94.251	2.0076
622.000000	94.220	2.2051
630.000000	94.185	2.4457
640.000000	94.143	2.7572
650.000000	94.100	3.0874
660.000000	94.059	3.4356
670.000000	94.019	3.7975
680.000000	93.980	4.1753
690.000000	93.943	4.5696
700.000000	93.906	4.9787
710.000000	93.871	5.3999
720.000000	93.837	5.8359
730.000000	93.805	6.2888
740.000000	93.774	6.7571
750.000000	93.746	7.2380
762.000000	93.715	7.8294
775.000000	93.684	8.4886
788.000000	93.656	9.1673
800.000000	93.633	9.8126
812.000000	93.610	10.4715
825.000000	93.588	11.1963
