* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:23:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Flo Audio Bluelover W1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.204	17.7511
20.600000	103.219	17.0880
20.900000	103.232	16.3800
21.200001	103.244	15.6745
21.400000	103.251	15.2045
21.799999	103.266	14.2611
22.000000	103.272	13.7881
22.400000	103.284	12.8455
22.700001	103.291	12.1484
23.000000	103.296	11.4657
23.299999	103.300	10.8011
23.600000	103.302	10.1559
24.000000	103.304	9.3240
24.299999	103.305	8.7175
24.700001	103.308	7.9240
25.000000	103.309	7.3356
25.400000	103.308	6.5558
25.799999	103.304	5.7818
26.200001	103.296	5.0178
26.500000	103.288	4.4544
26.900000	103.277	3.7175
27.200001	103.267	3.1749
27.600000	103.255	2.4621
28.000000	103.243	1.7600
28.500000	103.227	0.8993
29.000000	103.209	0.0631
29.500000	103.190	-0.7478
30.000000	103.169	-1.5409
30.400000	103.151	-2.1672
30.700001	103.137	-2.6323
31.100000	103.118	-3.2435
31.500000	103.098	-3.8418
32.000000	103.072	-4.5718
32.500000	103.044	-5.2853
33.000000	103.013	-5.9841
33.500000	102.980	-6.6679
34.000000	102.948	-7.3432
34.500000	102.918	-8.0189
35.000000	102.888	-8.6890
35.500000	102.854	-9.3291
36.000000	102.819	-9.9257
36.500000	102.785	-10.5024
37.000000	102.749	-11.0987
37.500000	102.710	-11.7196
38.200001	102.654	-12.5509
38.700001	102.627	-13.0868
39.500000	102.606	-13.9568
40.000000	102.583	-14.5518
40.599998	102.524	-15.2364
41.200001	102.445	-15.7975
41.799999	102.373	-16.2788
42.500000	102.311	-16.9013
43.099998	102.262	-17.5088
43.700001	102.207	-18.0941
44.400002	102.141	-18.6841
45.000000	102.088	-19.1642
45.500000	102.044	-19.5905
46.200001	101.977	-20.2141
46.799999	101.918	-20.7301
47.500000	101.853	-21.3400
48.200001	101.782	-22.0281
48.700001	101.721	-22.5198
49.400002	101.630	-23.0688
50.000000	101.572	-23.4036
50.799999	101.520	-23.8599
51.500000	101.463	-24.3279
52.200001	101.387	-24.7602
53.000000	101.302	-25.2202
53.799999	101.222	-25.7294
54.500000	101.151	-26.1679
55.200001	101.079	-26.5633
56.000000	100.998	-27.0110
57.000000	100.890	-27.5808
58.000000	100.783	-28.1034
59.000000	100.678	-28.5895
60.000000	100.572	-29.0714
60.799999	100.488	-29.4440
61.500000	100.414	-29.7490
62.200001	100.340	-30.0370
63.000000	100.251	-30.3442
64.000000	100.137	-30.6978
65.000000	100.029	-31.0863
66.000000	99.917	-31.5092
67.000000	99.803	-31.8559
68.000000	99.692	-32.1343
69.000000	99.576	-32.4041
70.000000	99.460	-32.6487
71.000000	99.348	-32.8380
72.000000	99.233	-32.9898
73.000000	99.116	-33.1692
74.000000	99.008	-33.3531
75.000000	98.908	-33.4661
76.199997	98.771	-33.5340
77.500000	98.656	-33.6868
78.800003	98.571	-33.0782
80.000000	98.551	-32.1499
81.199997	98.379	-32.5544
82.500000	98.114	-32.7010
83.800003	98.002	-32.6030
85.000000	97.922	-32.5363
86.199997	97.861	-32.5868
87.500000	97.792	-32.6606
88.500000	97.729	-32.7172
90.000000	97.618	-32.9553
91.199997	97.515	-33.0444
92.500000	97.416	-32.9113
93.800003	97.337	-32.8991
95.000000	97.251	-33.0231
96.199997	97.139	-33.0713
97.500000	97.024	-32.9103
98.800003	96.941	-32.4502
100.000000	96.872	-32.1127
101.500000	96.711	-32.2377
103.000000	96.552	-32.2865
104.400002	96.440	-32.0473
106.000000	96.316	-31.7295
107.500000	96.198	-31.4548
109.000000	96.075	-31.1566
110.599998	95.954	-30.8240
112.000000	95.861	-30.4894
113.800003	95.742	-29.9681
115.000000	95.659	-29.5922
117.199997	95.510	-28.9127
118.000000	95.459	-28.6642
120.599998	95.310	-27.8233
122.000000	95.230	-27.3186
124.099998	95.115	-26.5614
125.000000	95.073	-26.2587
126.500000	95.012	-25.7551
128.000000	94.952	-25.2264
131.500000	94.823	-23.9143
132.000000	94.806	-23.7261
134.000000	94.744	-22.9617
136.000000	94.683	-22.1828
138.000000	94.626	-21.4066
140.000000	94.575	-20.6599
143.000000	94.533	-19.5830
145.000000	94.506	-18.7854
147.500000	94.475	-17.8366
150.000000	94.451	-16.9001
152.500000	94.426	-16.1273
155.000000	94.437	-15.2846
157.500000	94.457	-13.9384
160.000000	94.466	-11.8989
162.500000	94.468	-11.9776
165.000000	94.475	-12.1548
167.500000	94.498	-11.6630
170.000000	94.526	-11.1076
172.500000	94.549	-10.5468
175.000000	94.567	-10.0534
177.500000	94.583	-9.5890
180.000000	94.607	-9.1463
182.500000	94.634	-8.6706
185.000000	94.659	-8.2186
187.500000	94.680	-7.7952
190.000000	94.703	-7.3843
192.500000	94.731	-6.9911
195.000000	94.761	-6.6106
197.500000	94.788	-6.2529
200.000000	94.817	-5.9270
203.000000	94.858	-5.6143
206.000000	94.898	-5.3058
209.000000	94.936	-5.0028
212.000000	94.976	-4.7157
214.000000	95.003	-4.5490
218.000000	95.056	-4.2441
220.000000	95.082	-4.0935
224.000000	95.134	-3.8054
227.000000	95.170	-3.6149
230.000000	95.206	-3.4495
233.000000	95.242	-3.2994
236.000000	95.275	-3.1662
240.000000	95.318	-3.0007
243.000000	95.350	-2.8981
247.000000	95.390	-2.7707
250.000000	95.418	-2.6813
254.000000	95.453	-2.5906
258.000000	95.485	-2.5216
262.000000	95.516	-2.4602
265.000000	95.539	-2.4181
269.000000	95.567	-2.3698
272.000000	95.586	-2.3464
276.000000	95.610	-2.3278
280.000000	95.632	-2.3177
285.000000	95.657	-2.3179
290.000000	95.680	-2.3204
295.000000	95.701	-2.3245
300.000000	95.720	-2.3359
304.000000	95.734	-2.3580
307.000000	95.743	-2.3762
311.000000	95.755	-2.4038
315.000000	95.764	-2.4358
320.000000	95.773	-2.4883
325.000000	95.782	-2.5343
330.000000	95.789	-2.5857
335.000000	95.794	-2.6454
340.000000	95.796	-2.7011
345.000000	95.796	-2.7512
350.000000	95.794	-2.8015
355.000000	95.790	-2.8566
360.000000	95.785	-2.9068
365.000000	95.780	-2.9534
370.000000	95.772	-2.9981
375.000000	95.763	-3.0395
382.000000	95.749	-3.0902
387.000000	95.737	-3.1211
395.000000	95.717	-3.1700
400.000000	95.703	-3.1967
406.000000	95.686	-3.2202
412.000000	95.667	-3.2420
418.000000	95.647	-3.2654
425.000000	95.623	-3.2800
431.000000	95.600	-3.2813
437.000000	95.577	-3.2834
444.000000	95.549	-3.2800
450.000000	95.524	-3.2667
455.000000	95.502	-3.2457
462.000000	95.471	-3.2096
468.000000	95.443	-3.1769
475.000000	95.411	-3.1297
482.000000	95.377	-3.0696
487.000000	95.353	-3.0191
494.000000	95.318	-2.9458
500.000000	95.289	-2.8778
508.000000	95.249	-2.7734
515.000000	95.214	-2.6717
522.000000	95.179	-2.5639
530.000000	95.139	-2.4316
538.000000	95.098	-2.2864
545.000000	95.062	-2.1513
552.000000	95.026	-2.0090
560.000000	94.985	-1.8335
570.000000	94.933	-1.5995
580.000000	94.882	-1.3493
590.000000	94.830	-1.0799
600.000000	94.779	-0.7968
608.000000	94.739	-0.5537
615.000000	94.705	-0.3343
622.000000	94.670	-0.1084
630.000000	94.631	0.1618
640.000000	94.583	0.5126
650.000000	94.536	0.8765
660.000000	94.490	1.2602
670.000000	94.445	1.6589
