* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 15, 2025 9:27:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Floaudio Calla L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.299	-149.3261
20.600000	100.325	-149.8714
20.900000	100.357	-150.3962
21.200001	100.393	-150.8739
21.400000	100.420	-151.1813
21.799999	100.478	-151.8130
22.000000	100.507	-152.1536
22.400000	100.560	-152.9056
22.700001	100.592	-153.5291
23.000000	100.616	-154.1857
23.299999	100.632	-154.8500
23.600000	100.643	-155.4969
24.000000	100.654	-156.3056
24.299999	100.665	-156.8697
24.700001	100.684	-157.5829
25.000000	100.699	-158.1019
25.400000	100.716	-158.7765
25.799999	100.726	-159.4148
26.200001	100.734	-160.0006
26.500000	100.742	-160.4131
26.900000	100.762	-160.9656
27.200001	100.784	-161.4138
27.600000	100.816	-162.0825
28.000000	100.842	-162.8140
28.500000	100.857	-163.7169
29.000000	100.857	-164.4838
29.500000	100.855	-165.0791
30.000000	100.863	-165.5873
30.400000	100.875	-166.0155
30.700001	100.885	-166.3777
31.100000	100.894	-166.9154
31.500000	100.898	-167.4837
32.000000	100.897	-168.1624
32.500000	100.901	-168.7610
33.000000	100.915	-169.3100
33.500000	100.924	-169.8568
34.000000	100.914	-170.3779
34.500000	100.893	-170.8278
35.000000	100.883	-171.2780
35.500000	100.889	-171.8933
36.000000	100.885	-172.6765
36.500000	100.850	-173.3323
37.000000	100.820	-173.5720
37.500000	100.859	-173.5803
38.200001	100.991	-174.3065
38.700001	100.997	-175.5220
39.500000	100.764	-176.9381
40.000000	100.648	-176.8101
40.599998	100.711	-176.5462
41.200001	100.858	-177.2327
41.799999	100.883	-178.3641
42.500000	100.805	-178.9036
43.099998	100.796	-178.9361
43.700001	100.810	-179.3134
44.400002	100.743	-179.8310
45.000000	100.687	-179.7623
45.500000	100.714	-179.6474
46.200001	100.798	179.8009
46.799999	100.798	178.8262
47.500000	100.722	177.8759
48.200001	100.655	177.2657
48.700001	100.623	176.8978
49.400002	100.595	176.4650
50.000000	100.600	176.1375
50.799999	100.626	175.5427
51.500000	100.616	174.9834
52.200001	100.580	174.6156
53.000000	100.544	174.2631
53.799999	100.511	173.7805
54.500000	100.485	173.3200
55.200001	100.472	172.8625
56.000000	100.466	172.3284
57.000000	100.461	171.5481
58.000000	100.401	170.8615
59.000000	100.321	170.5881
60.000000	100.233	169.8729
60.799999	100.118	169.1444
61.500000	100.064	168.8220
62.200001	100.084	168.6201
63.000000	100.103	168.4201
64.000000	100.041	168.5775
65.000000	99.984	168.5845
66.000000	99.949	167.7926
67.000000	99.918	166.9345
68.000000	99.900	166.4961
69.000000	99.889	166.1644
70.000000	99.872	165.6744
71.000000	99.852	165.2887
72.000000	99.849	165.0068
73.000000	99.814	164.6332
74.000000	99.742	164.4385
75.000000	99.693	164.2874
76.199997	99.631	163.8044
77.500000	99.560	163.2445
78.800003	99.511	162.7766
80.000000	99.468	162.4078
81.199997	99.433	162.1177
82.500000	99.403	161.8347
83.800003	99.363	161.4312
85.000000	99.314	160.9049
86.199997	99.250	160.5129
87.500000	99.167	160.2976
88.500000	99.110	160.1320
90.000000	99.055	159.8651
91.199997	99.008	159.6154
92.500000	98.934	159.3132
93.800003	98.867	158.9799
95.000000	98.814	158.7909
96.199997	98.761	158.6049
97.500000	98.699	158.3345
98.800003	98.652	157.9479
100.000000	98.606	157.5870
101.500000	98.536	157.3250
103.000000	98.460	157.1921
104.400002	98.404	156.9529
106.000000	98.347	156.5663
107.500000	98.274	156.3891
109.000000	98.182	156.1915
110.599998	98.102	156.0580
112.000000	98.063	156.0229
113.800003	98.000	155.9964
115.000000	97.943	155.8808
117.199997	97.859	155.3323
118.000000	97.840	155.1496
120.599998	97.843	155.2456
122.000000	97.938	155.0469
124.099998	97.944	153.9316
125.000000	97.925	153.7365
126.500000	97.873	153.9374
128.000000	97.755	154.2469
131.500000	97.469	154.0397
132.000000	97.438	154.0279
134.000000	97.336	153.9081
136.000000	97.264	153.7065
138.000000	97.198	153.3857
140.000000	97.126	153.1074
143.000000	97.022	152.9685
145.000000	96.942	152.9143
147.500000	96.843	152.8425
150.000000	96.767	152.7834
152.500000	96.702	152.7278
155.000000	96.627	152.6046
157.500000	96.550	152.5196
160.000000	96.471	152.4649
162.500000	96.384	152.4065
165.000000	96.303	152.3617
167.500000	96.228	152.3970
170.000000	96.155	152.5095
172.500000	96.080	152.5976
175.000000	95.997	152.5533
177.500000	95.917	152.4789
180.000000	95.852	152.3102
182.500000	95.779	152.2961
185.000000	95.691	152.4408
187.500000	95.598	152.5360
190.000000	95.513	152.4955
192.500000	95.434	152.5042
195.000000	95.360	152.5926
197.500000	95.288	152.6669
200.000000	95.219	152.7357
203.000000	95.137	152.8616
206.000000	95.068	153.0271
209.000000	95.007	153.1438
212.000000	94.946	153.2498
214.000000	94.899	153.2998
218.000000	94.795	153.4338
220.000000	94.749	153.5334
224.000000	94.656	153.7560
227.000000	94.583	153.8842
230.000000	94.513	154.0003
233.000000	94.445	154.1209
236.000000	94.380	154.2724
240.000000	94.297	154.5022
243.000000	94.234	154.7025
247.000000	94.149	154.9221
250.000000	94.087	155.0379
254.000000	94.005	155.2293
258.000000	93.920	155.4675
262.000000	93.836	155.6762
265.000000	93.777	155.8584
269.000000	93.702	156.1509
272.000000	93.645	156.3782
276.000000	93.569	156.6488
280.000000	93.496	156.9273
285.000000	93.426	157.2287
290.000000	93.343	157.4541
295.000000	93.244	157.8869
300.000000	93.150	158.2890
304.000000	93.083	158.5106
307.000000	93.037	158.7178
311.000000	92.977	159.0342
315.000000	92.912	159.3416
320.000000	92.841	159.7295
325.000000	92.774	160.1486
330.000000	92.704	160.5060
335.000000	92.638	160.9027
340.000000	92.576	161.3785
345.000000	92.510	161.7314
350.000000	92.439	162.0916
355.000000	92.377	162.5603
360.000000	92.326	162.9506
365.000000	92.269	163.3264
370.000000	92.207	163.6962
375.000000	92.146	164.1520
382.000000	92.055	164.8020
387.000000	91.999	165.1610
395.000000	91.928	165.7811
400.000000	91.882	166.3006
406.000000	91.821	166.8661
412.000000	91.758	167.3441
418.000000	91.701	167.8046
425.000000	91.637	168.4264
431.000000	91.593	168.9716
437.000000	91.544	169.4681
444.000000	91.487	170.0982
450.000000	91.443	170.6419
455.000000	91.407	171.0637
462.000000	91.356	171.6395
468.000000	91.313	172.1741
475.000000	91.265	172.8054
482.000000	91.222	173.4258
487.000000	91.190	173.8610
494.000000	91.146	174.4853
500.000000	91.110	175.0259
508.000000	91.067	175.7334
