* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 15, 2025 9:28:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Floaudio Calla R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.118	-170.5748
20.600000	104.121	-171.0278
20.900000	104.120	-171.5098
21.200001	104.116	-171.9842
21.400000	104.113	-172.2940
21.799999	104.106	-172.8928
22.000000	104.104	-173.1802
22.400000	104.103	-173.7349
22.700001	104.106	-174.1454
23.000000	104.113	-174.5662
23.299999	104.121	-175.0077
23.600000	104.127	-175.4710
24.000000	104.130	-176.1042
24.299999	104.128	-176.5676
24.700001	104.121	-177.1392
25.000000	104.115	-177.5266
25.400000	104.111	-178.0034
25.799999	104.110	-178.4695
26.200001	104.109	-178.9551
26.500000	104.106	-179.3353
26.900000	104.095	-179.8481
27.200001	104.084	179.7771
27.600000	104.068	179.3031
28.000000	104.056	178.8546
28.500000	104.049	178.3029
29.000000	104.045	177.7387
29.500000	104.035	177.1744
30.000000	104.018	176.6414
30.400000	104.001	176.2438
30.700001	103.989	175.9546
31.100000	103.975	175.5656
31.500000	103.963	175.1620
32.000000	103.946	174.6455
32.500000	103.928	174.1483
33.000000	103.910	173.6931
33.500000	103.895	173.2657
34.000000	103.882	172.8337
34.500000	103.867	172.3852
35.000000	103.848	171.9371
35.500000	103.828	171.5085
36.000000	103.810	171.0978
36.500000	103.793	170.6935
37.000000	103.773	170.2951
37.500000	103.749	169.9132
38.200001	103.717	169.4014
38.700001	103.698	169.0220
39.500000	103.670	168.3629
40.000000	103.649	167.9519
40.599998	103.621	167.5057
41.200001	103.591	167.1078
41.799999	103.561	166.7113
42.500000	103.521	166.2021
43.099998	103.483	165.7384
43.700001	103.453	165.2714
44.400002	103.437	164.7072
45.000000	103.429	164.2089
45.500000	103.415	163.8344
46.200001	103.379	163.4688
46.799999	103.339	163.2938
47.500000	103.288	163.1104
48.200001	103.235	162.8251
48.700001	103.200	162.5460
49.400002	103.160	162.0825
50.000000	103.133	161.6675
50.799999	103.098	161.1720
51.500000	103.064	160.8048
52.200001	103.023	160.4588
53.000000	102.974	160.0555
53.799999	102.932	159.6347
54.500000	102.900	159.2657
55.200001	102.867	158.9242
56.000000	102.826	158.5636
57.000000	102.771	158.1282
58.000000	102.723	157.7238
59.000000	102.679	157.3027
60.000000	102.627	156.8650
60.799999	102.586	156.4788
61.500000	102.549	156.0805
62.200001	102.500	155.7015
63.000000	102.441	155.3918
64.000000	102.383	155.0703
65.000000	102.327	154.6640
66.000000	102.258	154.3184
67.000000	102.197	154.0363
68.000000	102.152	153.6653
69.000000	102.110	153.2651
70.000000	102.055	153.0001
