* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 15, 2025 9:02:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Floaudio Lily L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.084	-163.8076
20.600000	98.096	-164.0309
20.900000	98.107	-164.2478
21.200001	98.120	-164.4418
21.400000	98.130	-164.5637
21.799999	98.159	-164.8080
22.000000	98.175	-164.9356
22.400000	98.209	-165.2020
22.700001	98.234	-165.4031
23.000000	98.256	-165.5989
23.299999	98.276	-165.7924
23.600000	98.295	-165.9950
24.000000	98.314	-166.3002
24.299999	98.319	-166.5552
24.700001	98.312	-166.8912
25.000000	98.296	-167.0969
25.400000	98.274	-167.2608
25.799999	98.268	-167.3136
26.200001	98.293	-167.3549
26.500000	98.330	-167.4554
26.900000	98.387	-167.7367
27.200001	98.424	-168.0414
27.600000	98.456	-168.4855
28.000000	98.468	-168.8647
28.500000	98.475	-169.1682
29.000000	98.489	-169.3509
29.500000	98.507	-169.5383
30.000000	98.517	-169.7581
30.400000	98.520	-169.9224
30.700001	98.524	-170.0303
31.100000	98.537	-170.1754
31.500000	98.561	-170.3629
32.000000	98.593	-170.6871
32.500000	98.615	-171.0538
33.000000	98.621	-171.3540
33.500000	98.623	-171.5382
34.000000	98.632	-171.6562
34.500000	98.647	-171.7886
35.000000	98.665	-171.9667
35.500000	98.680	-172.1669
36.000000	98.696	-172.3622
36.500000	98.711	-172.5553
37.000000	98.720	-172.7586
37.500000	98.719	-172.9617
38.200001	98.707	-173.1963
38.700001	98.707	-173.3357
39.500000	98.739	-173.6420
40.000000	98.768	-173.9212
40.599998	98.788	-174.2625
41.200001	98.786	-174.4943
41.799999	98.772	-174.6052
42.500000	98.753	-174.7141
43.099998	98.738	-174.8589
43.700001	98.735	-175.0212
44.400002	98.765	-175.2329
45.000000	98.808	-175.5048
45.500000	98.835	-175.7820
46.200001	98.839	-176.0737
46.799999	98.829	-176.1386
47.500000	98.840	-176.1555
48.200001	98.870	-176.3253
48.700001	98.887	-176.5190
49.400002	98.902	-176.7769
50.000000	98.907	-176.9797
50.799999	98.896	-177.3043
51.500000	98.869	-177.6117
52.200001	98.851	-177.8690
53.000000	98.860	-178.0609
53.799999	98.887	-178.0895
54.500000	98.911	-177.9983
55.200001	98.928	-177.9450
56.000000	98.937	-178.0776
57.000000	98.940	-178.4456
58.000000	98.949	-178.7914
59.000000	98.946	-179.0561
60.000000	98.927	-179.3011
60.799999	98.914	-179.4666
61.500000	98.915	-179.5701
62.200001	98.922	-179.6537
63.000000	98.926	-179.7509
64.000000	98.934	-179.9896
65.000000	98.937	179.6101
66.000000	98.937	179.4243
67.000000	98.957	179.4438
68.000000	98.968	179.3673
69.000000	98.965	179.1475
70.000000	98.964	178.7836
71.000000	98.971	178.4589
72.000000	98.976	178.3632
73.000000	98.971	178.5225
74.000000	98.965	178.5300
75.000000	98.939	178.2430
76.199997	98.940	177.9294
77.500000	98.947	177.6446
78.800003	98.944	177.7307
80.000000	98.970	177.3608
81.199997	98.958	176.9139
82.500000	98.959	176.7399
83.800003	98.948	176.6512
85.000000	98.925	176.6389
86.199997	98.922	176.4804
87.500000	98.920	176.1653
88.500000	98.911	176.0377
90.000000	98.902	175.8300
91.199997	98.891	175.5070
92.500000	98.873	175.4146
93.800003	98.870	175.3966
95.000000	98.864	175.1764
96.199997	98.865	174.9459
97.500000	98.819	174.9415
98.800003	98.710	175.2076
100.000000	98.690	175.1143
101.500000	98.762	174.3927
103.000000	98.807	174.6326
104.400002	98.827	174.6201
106.000000	98.832	174.1407
107.500000	98.847	173.8939
109.000000	98.813	173.8082
110.599998	98.811	173.8753
112.000000	98.865	173.5332
113.800003	98.872	172.9864
115.000000	98.864	172.8640
117.199997	98.869	172.8806
118.000000	98.867	172.7581
120.599998	98.822	172.0251
122.000000	98.798	171.8523
124.099998	98.775	171.6338
125.000000	98.765	171.5682
126.500000	98.755	171.4911
128.000000	98.753	171.3824
131.500000	98.745	171.0689
132.000000	98.743	171.0092
134.000000	98.733	170.7566
136.000000	98.715	170.5340
138.000000	98.699	170.3525
140.000000	98.688	170.1855
143.000000	98.670	169.8896
145.000000	98.654	169.6855
147.500000	98.635	169.4869
150.000000	98.619	169.2918
152.500000	98.602	169.0769
155.000000	98.583	168.8552
157.500000	98.569	168.6262
160.000000	98.547	168.4267
162.500000	98.518	168.2066
165.000000	98.494	167.9836
167.500000	98.463	167.7969
170.000000	98.428	167.6371
172.500000	98.398	167.4737
175.000000	98.369	167.3101
177.500000	98.343	167.1529
180.000000	98.312	166.9797
182.500000	98.283	166.8025
185.000000	98.254	166.6541
187.500000	98.225	166.5013
190.000000	98.196	166.3416
192.500000	98.167	166.1823
195.000000	98.139	166.0361
197.500000	98.112	165.9055
200.000000	98.084	165.7889
203.000000	98.047	165.6554
206.000000	98.015	165.5095
209.000000	97.987	165.3349
212.000000	97.960	165.1678
214.000000	97.939	165.0704
218.000000	97.896	164.8874
220.000000	97.878	164.8117
224.000000	97.836	164.6593
227.000000	97.803	164.4932
230.000000	97.770	164.3538
233.000000	97.732	164.2442
236.000000	97.694	164.1317
240.000000	97.664	164.0153
243.000000	97.641	163.9223
247.000000	97.604	163.7195
250.000000	97.578	163.5877
254.000000	97.538	163.4394
258.000000	97.491	163.2689
262.000000	97.446	163.1075
265.000000	97.414	162.9948
269.000000	97.367	162.8702
272.000000	97.330	162.7914
276.000000	97.282	162.6895
280.000000	97.236	162.5675
285.000000	97.182	162.4227
290.000000	97.128	162.2943
295.000000	97.064	162.1827
300.000000	97.001	162.0748
304.000000	96.956	161.9993
307.000000	96.924	161.9486
311.000000	96.878	161.9005
315.000000	96.831	161.8526
320.000000	96.775	161.7634
325.000000	96.718	161.6825
330.000000	96.660	161.6267
335.000000	96.602	161.5835
340.000000	96.545	161.5394
345.000000	96.487	161.4965
350.000000	96.430	161.4695
355.000000	96.373	161.4507
360.000000	96.317	161.4254
365.000000	96.260	161.4133
370.000000	96.203	161.4150
375.000000	96.148	161.4214
382.000000	96.072	161.4304
387.000000	96.018	161.4526
395.000000	95.931	161.5011
400.000000	95.877	161.5262
406.000000	95.812	161.5568
412.000000	95.747	161.6077
418.000000	95.684	161.6679
425.000000	95.609	161.7384
431.000000	95.546	161.8054
437.000000	95.484	161.8912
444.000000	95.411	161.9986
450.000000	95.348	162.0923
455.000000	95.297	162.1790
462.000000	95.225	162.3026
468.000000	95.162	162.4042
475.000000	95.088	162.5303
482.000000	95.019	162.6848
487.000000	94.971	162.7969
494.000000	94.903	162.9590
500.000000	94.843	163.1079
508.000000	94.762	163.3154
515.000000	94.692	163.5071
522.000000	94.624	163.7138
530.000000	94.546	163.9683
538.000000	94.470	164.2411
545.000000	94.406	164.4962
552.000000	94.344	164.7517
560.000000	94.273	165.0557
570.000000	94.185	165.4243
580.000000	94.095	165.8088
590.000000	94.008	166.2148
600.000000	93.924	166.6400
608.000000	93.857	167.0089
615.000000	93.801	167.3413
622.000000	93.746	167.6782
630.000000	93.686	168.0657
640.000000	93.613	168.5497
650.000000	93.542	169.0375
660.000000	93.471	169.5450
670.000000	93.402	170.0739
680.000000	93.335	170.6214
690.000000	93.271	171.1744
700.000000	93.208	171.7433
710.000000	93.149	172.3263
720.000000	93.092	172.9148
730.000000	93.037	173.5137
740.000000	92.986	174.1232
750.000000	92.937	174.7418
762.000000	92.882	175.4994
775.000000	92.827	176.3410
788.000000	92.777	177.1948
800.000000	92.733	177.9896
812.000000	92.691	178.7944
825.000000	92.649	179.6691
838.000000	92.612	-179.4486
850.000000	92.584	-178.6277
862.000000	92.560	-177.8045
875.000000	92.540	-176.9149
885.000000	92.530	-176.2346
900.000000	92.521	-175.2209
912.000000	92.519	-174.4176
925.000000	92.522	-173.5604
938.000000	92.531	-172.7216
950.000000	92.545	-171.9661
962.000000	92.562	-171.2319
975.000000	92.586	-170.4590
988.000000	92.614	-169.7100
1000.000000	92.643	-169.0428
1015.000000	92.682	-168.2481
1030.000000	92.725	-167.5008
1044.000000	92.767	-166.8428
1060.000000	92.816	-166.1336
1075.000000	92.864	-165.5099
1090.000000	92.913	-164.9304
1106.000000	92.965	-164.3558
1120.000000	93.008	-163.8844
1138.000000	93.061	-163.3190
1150.000000	93.095	-162.9638
1172.000000	93.153	-162.3499
1180.000000	93.173	-162.1351
1206.000000	93.232	-161.4692
1220.000000	93.261	-161.1241
1241.000000	93.301	-160.6098
1250.000000	93.319	-160.3899
1265.000000	93.349	-160.0197
1280.000000	93.380	-159.6426
1315.000000	93.452	-158.7292
1320.000000	93.463	-158.5937
1340.000000	93.505	-158.0406
1360.000000	93.550	-157.4765
1380.000000	93.599	-156.9119
1400.000000	93.652	-156.3606
1430.000000	93.736	-155.5813
1450.000000	93.792	-155.0999
1475.000000	93.858	-154.5352
1500.000000	93.918	-153.9917
1525.000000	93.971	-153.4452
1550.000000	94.018	-152.8739
1575.000000	94.063	-152.2642
1600.000000	94.106	-151.6227
1625.000000	94.146	-150.9528
1650.000000	94.188	-150.2586
1675.000000	94.233	-149.5426
1700.000000	94.281	-148.8070
1725.000000	94.335	-148.0574
1750.000000	94.393	-147.2981
1775.000000	94.457	-146.5371
1800.000000	94.526	-145.7736
1825.000000	94.600	-145.0102
1850.000000	94.678	-144.2481
1875.000000	94.763	-143.4843
1900.000000	94.852	-142.7248
1925.000000	94.947	-141.9727
1950.000000	95.047	-141.2294
1975.000000	95.152	-140.4942
2000.000000	95.264	-139.7658
2030.000000	95.409	-138.8966
2060.000000	95.565	-138.0346
2090.000000	95.733	-137.1787
2120.000000	95.917	-136.3475
2140.000000	96.050	-135.8260
2180.000000	96.337	-134.9140
2200.000000	96.488	-134.5389
2240.000000	96.799	-133.9607
2270.000000	97.033	-133.6568
2300.000000	97.268	-133.4423
2330.000000	97.503	-133.3035
2360.000000	97.741	-133.2354
2400.000000	98.063	-133.2679
2430.000000	98.309	-133.3941
2470.000000	98.643	-133.7144
2500.000000	98.896	-134.0823
2540.000000	99.237	-134.7563
2580.000000	99.578	-135.6570
2620.000000	99.913	-136.8009
2650.000000	100.159	-137.8253
2690.000000	100.474	-139.4244
2720.000000	100.698	-140.8091
2760.000000	100.973	-142.9138
2800.000000	101.209	-145.3058
2850.000000	101.434	-148.6323
2900.000000	101.564	-152.1964
2950.000000	101.595	-155.8344
3000.000000	101.530	-159.3908
3040.000000	101.415	-162.0896
3070.000000	101.297	-163.9921
3110.000000	101.102	-166.3363
3150.000000	100.872	-168.4372
3200.000000	100.549	-170.6973
3250.000000	100.197	-172.5445
3300.000000	99.829	-173.9880
3350.000000	99.453	-175.0438
3400.000000	99.079	-175.7368
3450.000000	98.713	-176.0979
3500.000000	98.362	-176.1556
3550.000000	98.031	-175.9466
3600.000000	97.725	-175.5128
3650.000000	97.446	-174.9052
3700.000000	97.194	-174.1796
3750.000000	96.965	-173.3721
3820.000000	96.677	-172.1283
3870.000000	96.490	-171.1496
3950.000000	96.227	-169.4150
4000.000000	96.087	-168.2277
4060.000000	95.943	-166.7220
4120.000000	95.832	-165.1526
4180.000000	95.757	-163.5473
4250.000000	95.718	-161.6920
4310.000000	95.726	-160.1749
4370.000000	95.768	-158.7740
4440.000000	95.851	-157.3186
4500.000000	95.946	-156.2237
4550.000000	96.041	-155.4203
4620.000000	96.197	-154.4726
4680.000000	96.350	-153.8358
4750.000000	96.551	-153.3330
4820.000000	96.769	-153.1280
4870.000000	96.932	-153.1810
4940.000000	97.165	-153.5496
5000.000000	97.364	-154.1458
5080.000000	97.619	-155.3533
5150.000000	97.823	-156.8079
5220.000000	98.000	-158.6490
5300.000000	98.147	-161.2207
5380.000000	98.211	-164.2235
5450.000000	98.181	-167.0830
5520.000000	98.062	-170.0062
5600.000000	97.816	-173.2232
5700.000000	97.364	-176.7460
5800.000000	96.794	-179.4362
5900.000000	96.158	178.8348
6000.000000	95.508	178.0544
6080.000000	95.003	178.0410
6150.000000	94.585	178.4135
6220.000000	94.198	179.0912
6300.000000	93.805	-179.8254
