* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 15, 2025 9:08:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Floaudio Lily R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.044	-162.6711
20.600000	97.048	-163.0816
20.900000	97.053	-163.4469
21.200001	97.063	-163.7413
21.400000	97.073	-163.9084
21.799999	97.097	-164.1917
22.000000	97.109	-164.3094
22.400000	97.128	-164.4926
22.700001	97.138	-164.5890
23.000000	97.148	-164.6713
23.299999	97.159	-164.7706
23.600000	97.171	-164.9163
24.000000	97.190	-165.2087
24.299999	97.206	-165.4966
24.700001	97.232	-165.9445
25.000000	97.256	-166.3106
25.400000	97.288	-166.8199
25.799999	97.309	-167.3193
26.200001	97.302	-167.7331
26.500000	97.278	-167.9272
26.900000	97.230	-167.9810
27.200001	97.200	-167.8866
27.600000	97.187	-167.7009
28.000000	97.216	-167.6273
28.500000	97.294	-167.8724
29.000000	97.378	-168.4040
29.500000	97.442	-168.9282
30.000000	97.485	-169.2416
30.400000	97.504	-169.3476
30.700001	97.508	-169.3867
31.100000	97.497	-169.4371
31.500000	97.472	-169.5219
32.000000	97.438	-169.7015
32.500000	97.424	-169.9598
33.000000	97.446	-170.2542
33.500000	97.502	-170.5273
34.000000	97.573	-170.7712
34.500000	97.626	-171.0215
35.000000	97.628	-171.2548
35.500000	97.581	-171.3600
36.000000	97.529	-171.2957
36.500000	97.528	-171.2556
37.000000	97.582	-171.5306
37.500000	97.640	-172.1621
38.200001	97.646	-173.0348
38.700001	97.619	-173.2339
39.500000	97.617	-173.0681
40.000000	97.636	-173.0326
40.599998	97.646	-173.0659
41.200001	97.661	-173.0304
41.799999	97.704	-173.0647
42.500000	97.750	-173.4639
43.099998	97.744	-173.9716
43.700001	97.707	-174.3311
44.400002	97.674	-174.3915
45.000000	97.683	-174.2724
45.500000	97.715	-174.2661
46.200001	97.756	-174.6367
46.799999	97.763	-175.1809
47.500000	97.766	-175.7019
48.200001	97.795	-176.0148
48.700001	97.799	-176.1386
49.400002	97.737	-176.0386
50.000000	97.651	-175.6889
50.799999	97.594	-175.4071
51.500000	97.633	-175.7021
52.200001	97.736	-176.2646
53.000000	97.859	-176.8093
53.799999	97.879	-176.9965
54.500000	97.811	-176.8637
55.200001	97.734	-176.6929
56.000000	97.717	-176.6058
57.000000	97.862	-176.7323
58.000000	98.020	-177.3378
59.000000	98.018	-177.8678
60.000000	97.942	-178.1752
60.799999	97.866	-178.3849
61.500000	97.817	-178.4006
62.200001	97.811	-178.3801
63.000000	97.826	-178.5648
64.000000	97.803	-178.8792
65.000000	97.785	-179.0001
66.000000	97.819	-179.2734
67.000000	97.864	-179.5865
68.000000	97.891	-179.7838
69.000000	97.871	-179.9809
70.000000	97.849	179.8866
71.000000	97.882	179.8138
72.000000	97.945	179.8615
73.000000	97.989	179.8960
74.000000	97.970	179.7441
75.000000	97.906	179.4894
76.199997	97.843	179.2451
77.500000	97.852	179.0947
78.800003	97.890	178.7343
80.000000	97.925	178.3263
81.199997	97.962	178.0708
82.500000	97.942	177.9771
83.800003	97.873	177.8394
85.000000	97.847	177.6551
86.199997	97.845	177.7554
87.500000	97.851	177.9017
88.500000	97.857	177.7007
90.000000	97.860	177.3448
91.199997	97.839	177.1859
92.500000	97.818	176.8029
93.800003	97.836	176.6546
95.000000	97.872	176.9662
96.199997	97.873	177.0796
97.500000	97.855	177.0592
98.800003	97.854	177.2978
100.000000	97.855	177.2465
101.500000	97.855	176.3428
103.000000	97.864	175.9352
104.400002	97.820	176.0404
106.000000	97.752	175.8234
107.500000	97.744	175.6455
109.000000	97.741	175.7035
110.599998	97.774	175.5995
112.000000	97.806	175.5188
113.800003	97.761	175.2808
115.000000	97.720	175.1039
117.199997	97.778	174.5440
118.000000	97.800	174.2251
120.599998	97.776	174.0509
122.000000	97.752	174.1294
124.099998	97.761	173.8591
125.000000	97.777	173.7622
126.500000	97.791	173.5396
128.000000	97.778	173.3166
131.500000	97.749	173.4271
132.000000	97.741	173.4064
134.000000	97.722	173.1230
136.000000	97.724	172.8418
138.000000	97.707	172.6384
140.000000	97.688	172.4448
143.000000	97.678	172.2704
145.000000	97.672	172.0912
147.500000	97.659	171.9237
150.000000	97.635	171.7806
152.500000	97.626	171.5400
155.000000	97.630	171.3616
157.500000	97.619	171.2792
160.000000	97.596	171.1829
162.500000	97.572	171.0576
165.000000	97.548	170.7601
167.500000	97.523	170.5159
170.000000	97.510	170.3822
172.500000	97.495	170.2669
175.000000	97.467	170.1055
177.500000	97.425	169.9197
180.000000	97.399	169.7709
182.500000	97.388	169.6334
185.000000	97.372	169.6010
187.500000	97.353	169.5271
190.000000	97.330	169.3388
192.500000	97.300	169.1428
195.000000	97.271	168.9836
197.500000	97.248	168.8779
200.000000	97.231	168.7890
203.000000	97.211	168.6205
206.000000	97.193	168.4858
209.000000	97.173	168.3307
212.000000	97.144	168.1287
214.000000	97.123	167.9849
218.000000	97.089	167.7613
220.000000	97.076	167.6726
224.000000	97.046	167.5305
227.000000	97.016	167.3994
230.000000	96.988	167.2621
233.000000	96.964	167.1029
236.000000	96.939	166.9601
240.000000	96.900	166.8704
243.000000	96.871	166.8005
247.000000	96.829	166.7036
250.000000	96.797	166.5991
254.000000	96.758	166.4666
258.000000	96.720	166.4023
262.000000	96.678	166.2928
265.000000	96.645	166.1953
269.000000	96.605	166.1058
272.000000	96.585	166.1028
276.000000	96.573	165.9931
280.000000	96.555	165.8159
285.000000	96.512	165.6837
290.000000	96.463	165.6197
295.000000	96.402	165.4632
300.000000	96.335	165.3220
304.000000	96.296	165.3050
307.000000	96.271	165.2452
311.000000	96.237	165.1552
315.000000	96.201	165.0922
320.000000	96.162	165.0284
325.000000	96.121	164.9504
330.000000	96.074	164.8706
335.000000	96.024	164.7803
340.000000	95.973	164.7077
345.000000	95.923	164.6447
350.000000	95.873	164.5785
355.000000	95.823	164.5267
360.000000	95.772	164.4956
365.000000	95.722	164.4744
370.000000	95.672	164.4461
375.000000	95.620	164.4290
382.000000	95.551	164.4191
387.000000	95.501	164.4118
395.000000	95.422	164.4392
400.000000	95.375	164.4585
406.000000	95.316	164.4764
412.000000	95.257	164.5093
418.000000	95.198	164.5506
425.000000	95.132	164.6169
431.000000	95.077	164.6737
437.000000	95.020	164.7259
444.000000	94.953	164.8025
450.000000	94.897	164.8814
455.000000	94.849	164.9565
462.000000	94.784	165.0655
468.000000	94.729	165.1604
475.000000	94.664	165.2789
482.000000	94.600	165.4154
487.000000	94.555	165.5210
494.000000	94.492	165.6659
500.000000	94.440	165.7980
508.000000	94.369	165.9848
515.000000	94.307	166.1575
522.000000	94.246	166.3346
530.000000	94.176	166.5437
538.000000	94.108	166.7634
545.000000	94.048	166.9678
552.000000	93.990	167.1810
560.000000	93.923	167.4305
570.000000	93.840	167.7571
580.000000	93.759	168.0974
590.000000	93.678	168.4568
600.000000	93.599	168.8416
608.000000	93.536	169.1577
615.000000	93.481	169.4407
622.000000	93.428	169.7352
630.000000	93.369	170.0838
640.000000	93.297	170.5342
650.000000	93.228	171.0042
660.000000	93.160	171.4870
670.000000	93.093	171.9759
680.000000	93.029	172.4817
690.000000	92.967	173.0028
700.000000	92.907	173.5310
710.000000	92.850	174.0742
720.000000	92.796	174.6338
730.000000	92.744	175.2049
740.000000	92.694	175.7881
750.000000	92.648	176.3817
762.000000	92.596	177.1044
775.000000	92.543	177.8956
788.000000	92.496	178.7022
800.000000	92.455	179.4624
812.000000	92.415	-179.7696
825.000000	92.374	-178.9289
838.000000	92.339	-178.0805
850.000000	92.312	-177.2944
862.000000	92.290	-176.5103
875.000000	92.272	-175.6555
885.000000	92.262	-175.0016
900.000000	92.254	-174.0305
912.000000	92.253	-173.2608
925.000000	92.257	-172.4388
938.000000	92.267	-171.6371
950.000000	92.282	-170.9133
962.000000	92.300	-170.2075
