* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 6:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ EDC PRO L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.761	-161.1071
20.600000	104.770	-161.7351
20.900000	104.780	-162.4214
21.200001	104.791	-163.1168
21.400000	104.799	-163.5811
21.799999	104.814	-164.4992
22.000000	104.821	-164.9463
22.400000	104.833	-165.8048
22.700001	104.840	-166.4152
23.000000	104.844	-167.0018
23.299999	104.847	-167.5740
23.600000	104.848	-168.1421
24.000000	104.848	-168.9080
24.299999	104.847	-169.4936
24.700001	104.845	-170.2847
25.000000	104.842	-170.8757
25.400000	104.838	-171.6413
25.799999	104.834	-172.3635
26.200001	104.831	-173.0369
26.500000	104.828	-173.5159
26.900000	104.824	-174.1343
27.200001	104.818	-174.5918
27.600000	104.807	-175.1994
28.000000	104.793	-175.8039
28.500000	104.773	-176.5542
29.000000	104.758	-177.3086
29.500000	104.748	-178.0825
30.000000	104.736	-178.8697
30.400000	104.722	-179.4858
30.700001	104.709	-179.9249
31.100000	104.687	179.5314
31.500000	104.664	179.0356
32.000000	104.638	178.4619
32.500000	104.615	177.9045
33.000000	104.594	177.3365
33.500000	104.571	176.7519
34.000000	104.544	176.1595
34.500000	104.514	175.5712
35.000000	104.482	174.9940
35.500000	104.453	174.4270
36.000000	104.426	173.8654
36.500000	104.401	173.3083
37.000000	104.375	172.7650
37.500000	104.346	172.2511
38.200001	104.300	171.5897
38.700001	104.268	171.1316
39.500000	104.220	170.3556
40.000000	104.190	169.8609
40.599998	104.153	169.3297
