* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 6:50:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ EDC PRO R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.457	-157.0502
20.600000	104.473	-157.6977
20.900000	104.488	-158.3862
21.200001	104.500	-159.0718
21.400000	104.507	-159.5287
21.799999	104.519	-160.4408
22.000000	104.524	-160.8920
22.400000	104.534	-161.7707
22.700001	104.542	-162.4027
23.000000	104.553	-163.0129
23.299999	104.567	-163.6083
23.600000	104.583	-164.1971
24.000000	104.604	-164.9798
24.299999	104.618	-165.5636
24.700001	104.632	-166.3277
25.000000	104.638	-166.8837
25.400000	104.642	-167.6003
25.799999	104.643	-168.2978
26.200001	104.643	-168.9919
26.500000	104.641	-169.5171
26.900000	104.638	-170.2243
27.200001	104.633	-170.7534
27.600000	104.623	-171.4416
28.000000	104.612	-172.0933
28.500000	104.602	-172.8489
29.000000	104.599	-173.5667
29.500000	104.600	-174.3000
30.000000	104.598	-175.0773
30.400000	104.587	-175.7142
30.700001	104.574	-176.1801
31.100000	104.552	-176.7637
31.500000	104.531	-177.2973
32.000000	104.513	-177.9215
32.500000	104.504	-178.5505
33.000000	104.497	-179.2108
33.500000	104.483	-179.8752
34.000000	104.461	179.5027
34.500000	104.436	178.9393
35.000000	104.412	178.4074
35.500000	104.390	177.8691
36.000000	104.367	177.3102
36.500000	104.344	176.7398
37.000000	104.323	176.1668
37.500000	104.306	175.5950
38.200001	104.282	174.8339
38.700001	104.264	174.3635
39.500000	104.242	173.7156
40.000000	104.227	173.2930
40.599998	104.191	172.7463
41.200001	104.130	172.2579
41.799999	104.068	171.8758
42.500000	104.022	171.3804
43.099998	103.993	170.7610
43.700001	103.955	170.0411
44.400002	103.904	169.2915
45.000000	103.873	168.7747
45.500000	103.854	168.3990
46.200001	103.827	167.9220
46.799999	103.797	167.5240
47.500000	103.750	167.0080
48.200001	103.690	166.4657
48.700001	103.650	166.1042
49.400002	103.616	165.5991
50.000000	103.593	165.1324
50.799999	103.541	164.6324
51.500000	103.490	164.4345
52.200001	103.461	164.2309
53.000000	103.432	163.6942
53.799999	103.381	163.0249
54.500000	103.340	162.5314
55.200001	103.307	162.0804
56.000000	103.252	161.6040
57.000000	103.163	161.1928
58.000000	103.096	160.7593
59.000000	103.030	160.1616
60.000000	102.960	159.6988
60.799999	102.915	159.4194
61.500000	102.878	159.1371
62.200001	102.833	158.8182
63.000000	102.776	158.4581
64.000000	102.709	158.0268
65.000000	102.643	157.5953
66.000000	102.576	157.1682
67.000000	102.511	156.7485
68.000000	102.446	156.3861
69.000000	102.382	156.1004
70.000000	102.322	155.7990
71.000000	102.257	155.4687
72.000000	102.193	155.1765
73.000000	102.130	154.9075
74.000000	102.071	154.6448
75.000000	102.019	154.3523
76.199997	101.955	153.9953
77.500000	101.886	153.6096
78.800003	101.806	153.1939
80.000000	101.734	152.8789
81.199997	101.660	152.5905
82.500000	101.576	152.3169
83.800003	101.500	151.9885
85.000000	101.430	151.6784
86.199997	101.360	151.4313
87.500000	101.284	151.1593
88.500000	101.223	150.9679
90.000000	101.136	150.6892
91.199997	101.061	150.4745
92.500000	100.991	150.2849
93.800003	100.920	150.0212
95.000000	100.845	149.8500
96.199997	100.781	149.7000
97.500000	100.711	149.4664
98.800003	100.633	149.3365
100.000000	100.575	149.2373
101.500000	100.495	148.9430
103.000000	100.399	148.8005
104.400002	100.335	148.7431
106.000000	100.251	148.4321
107.500000	100.143	148.3531
109.000000	100.078	148.4473
110.599998	100.014	148.1527
112.000000	99.896	148.0097
113.800003	99.790	148.4381
115.000000	99.771	148.3917
117.199997	99.659	147.5991
118.000000	99.612	147.6055
120.599998	99.595	148.1567
122.000000	99.575	147.8475
124.099998	99.439	147.2985
125.000000	99.366	147.3115
126.500000	99.276	147.5238
128.000000	99.237	147.6863
131.500000	99.158	147.3910
132.000000	99.136	147.3074
134.000000	99.028	147.0782
136.000000	98.919	147.0154
138.000000	98.840	147.0214
140.000000	98.764	147.1474
143.000000	98.645	147.2286
145.000000	98.593	147.2082
