* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 11:11:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch 10ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.394	-10.4805
20.600000	110.382	-10.9673
20.900000	110.364	-11.4991
21.200001	110.343	-12.0376
21.400000	110.328	-12.3967
21.799999	110.295	-13.1036
22.000000	110.279	-13.4459
22.400000	110.246	-14.1002
22.700001	110.223	-14.5665
23.000000	110.203	-15.0207
23.299999	110.184	-15.4730
23.600000	110.165	-15.9313
24.000000	110.137	-16.5556
24.299999	110.115	-17.0289
24.700001	110.081	-17.6540
25.000000	110.054	-18.1113
25.400000	110.018	-18.7020
25.799999	109.983	-19.2743
26.200001	109.949	-19.8340
26.500000	109.923	-20.2474
26.900000	109.888	-20.7898
27.200001	109.861	-21.1896
27.600000	109.824	-21.7142
28.000000	109.787	-22.2323
28.500000	109.739	-22.8759
29.000000	109.691	-23.5146
29.500000	109.642	-24.1402
30.000000	109.592	-24.7449
30.400000	109.552	-25.2140
30.700001	109.523	-25.5599
31.100000	109.484	-26.0179
31.500000	109.445	-26.4750
32.000000	109.395	-27.0440
32.500000	109.343	-27.6022
33.000000	109.290	-28.1416
33.500000	109.238	-28.6630
34.000000	109.186	-29.1739
34.500000	109.134	-29.6803
35.000000	109.081	-30.1816
35.500000	109.028	-30.6739
36.000000	108.976	-31.1572
36.500000	108.925	-31.6351
37.000000	108.873	-32.1080
37.500000	108.821	-32.5702
38.200001	108.746	-33.1949
38.700001	108.693	-33.6349
39.500000	108.605	-34.3434
40.000000	108.547	-34.7721
40.599998	108.478	-35.2502
41.200001	108.415	-35.7032
41.799999	108.355	-36.1663
42.500000	108.282	-36.7251
43.099998	108.212	-37.1895
43.700001	108.141	-37.6345
44.400002	108.062	-38.1588
45.000000	107.997	-38.6145
45.500000	107.944	-38.9798
46.200001	107.874	-39.4569
46.799999	107.814	-39.8509
47.500000	107.738	-40.3085
48.200001	107.655	-40.7610
48.700001	107.595	-41.0862
49.400002	107.515	-41.5503
50.000000	107.446	-41.9405
50.799999	107.357	-42.4178
51.500000	107.282	-42.8073
52.200001	107.207	-43.1984
53.000000	107.120	-43.6468
53.799999	107.030	-44.0766
54.500000	106.951	-44.4399
55.200001	106.872	-44.8016
56.000000	106.784	-45.2045
57.000000	106.679	-45.6810
58.000000	106.570	-46.1545
59.000000	106.456	-46.6316
60.000000	106.353	-47.1066
60.799999	106.278	-47.4178
61.500000	106.216	-47.6352
62.200001	106.149	-47.8867
63.000000	106.054	-48.2532
64.000000	105.920	-48.7007
65.000000	105.805	-49.0896
66.000000	105.700	-49.4441
67.000000	105.591	-49.7763
68.000000	105.480	-50.1442
69.000000	105.370	-50.5021
70.000000	105.265	-50.8220
71.000000	105.160	-51.1313
72.000000	105.055	-51.4228
73.000000	104.951	-51.6881
74.000000	104.848	-51.9397
75.000000	104.743	-52.1980
76.199997	104.616	-52.5177
77.500000	104.482	-52.8394
78.800003	104.351	-53.1196
80.000000	104.227	-53.3767
81.199997	104.099	-53.6782
82.500000	103.964	-53.9858
83.800003	103.839	-54.1857
85.000000	103.724	-54.3262
86.199997	103.603	-54.4960
87.500000	103.474	-54.6874
88.500000	103.378	-54.8294
90.000000	103.233	-55.0248
91.199997	103.118	-55.1661
92.500000	102.995	-55.3022
93.800003	102.876	-55.4303
95.000000	102.765	-55.5291
96.199997	102.648	-55.6040
97.500000	102.522	-55.6876
98.800003	102.406	-55.8004
100.000000	102.302	-55.8953
101.500000	102.164	-55.9710
103.000000	102.025	-56.0253
104.400002	101.899	-56.0347
106.000000	101.757	-56.0504
107.500000	101.624	-56.1104
109.000000	101.491	-56.1224
110.599998	101.350	-56.0639
112.000000	101.225	-56.0253
113.800003	101.069	-56.0320
115.000000	100.966	-55.9576
117.199997	100.780	-55.7373
118.000000	100.712	-55.7200
120.599998	100.504	-55.6032
122.000000	100.379	-55.4275
124.099998	100.179	-54.9775
125.000000	100.104	-54.6759
126.500000	100.011	-54.2761
128.000000	99.936	-54.1030
131.500000	99.747	-53.4061
132.000000	99.730	-53.3321
134.000000	99.652	-53.2355
136.000000	99.530	-53.2632
138.000000	99.412	-53.1181
140.000000	99.309	-52.9506
143.000000	99.121	-52.8400
145.000000	98.989	-52.6603
147.500000	98.839	-52.3200
150.000000	98.687	-51.9223
152.500000	98.530	-51.5775
155.000000	98.375	-51.2566
157.500000	98.229	-50.8363
160.000000	98.101	-50.2889
162.500000	97.971	-49.7585
165.000000	97.840	-49.2713
167.500000	97.717	-48.8470
170.000000	97.591	-48.4049
172.500000	97.470	-47.9638
175.000000	97.352	-47.5261
177.500000	97.238	-47.0453
180.000000	97.132	-46.5795
182.500000	97.023	-46.0568
185.000000	96.915	-45.5033
187.500000	96.812	-44.9835
190.000000	96.717	-44.5020
192.500000	96.625	-43.9850
195.000000	96.533	-43.4524
197.500000	96.445	-42.9143
200.000000	96.366	-42.3680
203.000000	96.275	-41.6889
206.000000	96.188	-41.0629
