* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:19:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Azla L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.790	-8.3440
20.600000	107.771	-8.8269
20.900000	107.743	-9.3489
21.200001	107.709	-9.8684
21.400000	107.687	-10.2099
21.799999	107.644	-10.8778
22.000000	107.627	-11.2042
22.400000	107.600	-11.8467
22.700001	107.587	-12.3254
23.000000	107.577	-12.8060
23.299999	107.569	-13.2882
23.600000	107.560	-13.7681
24.000000	107.541	-14.3935
24.299999	107.522	-14.8454
24.700001	107.491	-15.4247
25.000000	107.466	-15.8468
25.400000	107.429	-16.4037
25.799999	107.392	-16.9617
26.200001	107.355	-17.5214
26.500000	107.329	-17.9395
26.900000	107.294	-18.4902
27.200001	107.268	-18.8956
27.600000	107.233	-19.4223
28.000000	107.196	-19.9289
28.500000	107.148	-20.5318
29.000000	107.099	-21.1118
29.500000	107.053	-21.6899
30.000000	107.007	-22.2766
30.400000	106.969	-22.7453
30.700001	106.940	-23.0905
31.100000	106.902	-23.5389
31.500000	106.865	-23.9764
32.000000	106.818	-24.5169
32.500000	106.770	-25.0520
33.000000	106.718	-25.5719
33.500000	106.666	-26.0688
34.000000	106.614	-26.5477
34.500000	106.564	-27.0197
35.000000	106.515	-27.4914
35.500000	106.466	-27.9644
36.000000	106.418	-28.4380
36.500000	106.368	-28.9059
37.000000	106.317	-29.3566
37.500000	106.266	-29.7842
38.200001	106.196	-30.3618
38.700001	106.143	-30.7734
39.500000	106.052	-31.4101
40.000000	105.995	-31.7871
40.599998	105.934	-32.2498
41.200001	105.876	-32.7432
41.799999	105.818	-33.2297
42.500000	105.749	-33.7431
43.099998	105.688	-34.1644
43.700001	105.618	-34.5857
44.400002	105.535	-35.0521
45.000000	105.476	-35.4505
45.500000	105.434	-35.7978
46.200001	105.364	-36.2236
46.799999	105.293	-36.4832
47.500000	105.203	-36.9004
48.200001	105.073	-37.6820
48.700001	104.947	-38.2902
49.400002	104.783	-38.7904
50.000000	104.728	-38.8772
50.799999	104.758	-39.0283
51.500000	104.766	-39.3363
52.200001	104.715	-39.6207
53.000000	104.627	-39.9458
53.799999	104.539	-40.3859
54.500000	104.466	-40.7625
55.200001	104.399	-41.0602
56.000000	104.320	-41.3644
57.000000	104.215	-41.8131
58.000000	104.117	-42.3085
59.000000	104.029	-42.6893
60.000000	103.938	-42.9551
60.799999	103.863	-43.1427
61.500000	103.806	-43.3979
62.200001	103.746	-43.7903
63.000000	103.654	-44.2646
64.000000	103.521	-44.6163
65.000000	103.404	-44.8282
66.000000	103.300	-45.1384
67.000000	103.201	-45.4912
68.000000	103.109	-45.8050
69.000000	103.017	-46.1284
70.000000	102.914	-46.4450
71.000000	102.808	-46.7099
72.000000	102.704	-46.9264
73.000000	102.602	-47.1091
74.000000	102.505	-47.2996
75.000000	102.411	-47.5379
76.199997	102.299	-47.8582
77.500000	102.176	-48.1342
78.800003	102.053	-48.4101
80.000000	101.943	-48.6097
81.199997	101.840	-48.6934
82.500000	101.727	-48.7875
83.800003	101.604	-48.9454
85.000000	101.501	-49.0206
86.199997	101.410	-49.2130
87.500000	101.292	-49.5380
88.500000	101.195	-49.7320
90.000000	101.058	-49.9125
91.199997	100.944	-49.9949
92.500000	100.815	-49.9979
93.800003	100.706	-50.1162
95.000000	100.611	-50.3235
96.199997	100.501	-50.4907
97.500000	100.362	-50.8472
98.800003	100.230	-51.3911
100.000000	100.127	-51.5934
101.500000	100.017	-51.0696
103.000000	99.907	-50.6519
104.400002	99.800	-50.5291
106.000000	99.683	-50.4711
107.500000	99.569	-50.3327
109.000000	99.462	-50.1472
110.599998	99.360	-50.1119
112.000000	99.271	-50.0584
113.800003	99.160	-49.9058
115.000000	99.093	-49.7978
117.199997	98.966	-49.7398
118.000000	98.913	-49.7992
120.599998	98.736	-49.9383
122.000000	98.635	-49.9686
124.099998	98.492	-49.9380
125.000000	98.436	-49.8768
126.500000	98.341	-49.7695
128.000000	98.242	-49.6967
131.500000	98.018	-49.4331
132.000000	97.987	-49.4029
134.000000	97.862	-49.2886
136.000000	97.736	-49.1274
138.000000	97.611	-48.9643
140.000000	97.483	-48.8244
143.000000	97.282	-48.6331
145.000000	97.174	-48.0977
147.500000	96.992	-47.2551
150.000000	96.864	-47.1348
152.500000	96.782	-47.1086
155.000000	96.671	-46.7671
157.500000	96.550	-46.3866
160.000000	96.421	-46.0287
162.500000	96.296	-45.6491
165.000000	96.175	-45.2345
167.500000	96.055	-44.7857
170.000000	95.940	-44.3285
172.500000	95.829	-43.8882
175.000000	95.718	-43.4495
177.500000	95.610	-42.9929
180.000000	95.506	-42.5406
182.500000	95.406	-42.0834
185.000000	95.309	-41.6138
187.500000	95.215	-41.1467
190.000000	95.125	-40.6955
192.500000	95.038	-40.2426
195.000000	94.955	-39.8084
197.500000	94.878	-39.4341
200.000000	94.795	-38.9632
203.000000	94.690	-38.3747
206.000000	94.600	-37.7996
209.000000	94.519	-37.2553
212.000000	94.437	-36.7123
214.000000	94.382	-36.3411
218.000000	94.277	-35.5965
220.000000	94.228	-35.2322
224.000000	94.135	-34.5116
227.000000	94.070	-33.9535
230.000000	94.009	-33.3931
233.000000	93.947	-32.8327
236.000000	93.886	-32.2812
240.000000	93.812	-31.5459
243.000000	93.758	-31.0223
247.000000	93.687	-30.3287
250.000000	93.635	-29.8183
254.000000	93.575	-29.1046
258.000000	93.517	-28.4134
262.000000	93.459	-27.7284
265.000000	93.419	-27.2239
269.000000	93.369	-26.5754
272.000000	93.333	-26.1024
276.000000	93.288	-25.4569
280.000000	93.244	-24.8265
285.000000	93.194	-24.0735
290.000000	93.148	-23.3382
295.000000	93.105	-22.6141
300.000000	93.064	-21.9181
304.000000	93.035	-21.3602
307.000000	93.014	-20.9458
311.000000	92.986	-20.4027
315.000000	92.960	-19.8711
320.000000	92.929	-19.2257
325.000000	92.900	-18.5995
330.000000	92.874	-17.9866
335.000000	92.848	-17.3800
340.000000	92.823	-16.7948
345.000000	92.802	-16.2316
350.000000	92.782	-15.6913
355.000000	92.760	-15.1371
360.000000	92.740	-14.5849
365.000000	92.721	-14.0543
370.000000	92.703	-13.5363
375.000000	92.686	-13.0366
382.000000	92.663	-12.3369
387.000000	92.649	-11.8533
395.000000	92.627	-11.1105
400.000000	92.612	-10.6649
406.000000	92.596	-10.1129
412.000000	92.581	-9.5783
418.000000	92.566	-9.0655
425.000000	92.548	-8.4614
431.000000	92.534	-7.9475
437.000000	92.523	-7.4511
444.000000	92.508	-6.8708
450.000000	92.497	-6.3722
455.000000	92.486	-5.9835
462.000000	92.467	-5.4558
468.000000	92.453	-5.0063
475.000000	92.441	-4.4822
482.000000	92.429	-3.9531
487.000000	92.420	-3.5726
494.000000	92.408	-3.0393
500.000000	92.396	-2.5824
508.000000	92.383	-2.0058
515.000000	92.371	-1.5081
522.000000	92.360	-1.0183
530.000000	92.346	-0.4566
538.000000	92.333	0.1010
545.000000	92.324	0.5676
552.000000	92.316	1.0425
560.000000	92.305	1.6275
570.000000	92.293	2.3254
580.000000	92.283	3.0068
590.000000	92.271	3.6619
600.000000	92.258	4.3113
608.000000	92.250	4.8374
615.000000	92.242	5.3019
622.000000	92.234	5.7621
630.000000	92.225	6.2839
640.000000	92.215	6.9316
650.000000	92.206	7.5731
660.000000	92.199	8.2505
670.000000	92.191	8.9230
680.000000	92.184	9.5884
690.000000	92.179	10.2527
700.000000	92.175	10.9201
710.000000	92.171	11.5925
720.000000	92.170	12.2591
730.000000	92.169	12.9264
740.000000	92.170	13.5964
750.000000	92.172	14.2707
762.000000	92.174	15.0855
775.000000	92.179	15.9620
788.000000	92.188	16.8414
800.000000	92.197	17.6496
812.000000	92.203	18.4692
825.000000	92.211	19.3580
838.000000	92.223	20.2413
850.000000	92.238	21.0587
862.000000	92.258	21.8859
875.000000	92.283	22.7711
885.000000	92.306	23.4363
900.000000	92.343	24.4124
912.000000	92.377	25.1800
925.000000	92.417	25.9934
938.000000	92.459	26.7825
950.000000	92.500	27.4922
962.000000	92.544	28.1893
975.000000	92.595	28.9260
988.000000	92.646	29.6351
1000.000000	92.696	30.2665
1015.000000	92.758	31.0262
1030.000000	92.823	31.7443
1044.000000	92.883	32.3800
1060.000000	92.953	33.0683
1075.000000	93.018	33.6760
1090.000000	93.081	34.2465
1106.000000	93.146	34.8175
1120.000000	93.200	35.2895
1138.000000	93.265	35.8657
1150.000000	93.306	36.2364
1172.000000	93.377	36.8819
1180.000000	93.401	37.1063
1206.000000	93.468	37.8021
1220.000000	93.499	38.1590
1241.000000	93.537	38.6953
1250.000000	93.551	38.9294
1265.000000	93.571	39.3310
1280.000000	93.588	39.7553
1315.000000	93.604	40.8900
1320.000000	93.604	41.0777
1340.000000	93.599	41.9207
1360.000000	93.595	42.9330
1380.000000	93.606	44.1009
1400.000000	93.638	45.3413
1430.000000	93.701	47.2879
1450.000000	93.755	48.8299
1475.000000	93.895	51.1264
1500.000000	94.184	53.3937
1525.000000	94.593	54.6774
1550.000000	94.965	54.6201
1575.000000	95.192	53.9622
1600.000000	95.297	53.4634
1625.000000	95.342	53.3447
1650.000000	95.370	53.5432
1675.000000	95.396	53.9444
1700.000000	95.423	54.4793
1725.000000	95.451	55.1270
1750.000000	95.483	55.8805
1775.000000	95.520	56.7366
1800.000000	95.566	57.6932
1825.000000	95.623	58.7482
1850.000000	95.695	59.9058
