* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:18:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Azla R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.033	-9.0377
20.600000	108.014	-9.4728
20.900000	107.988	-9.9563
21.200001	107.957	-10.4585
21.400000	107.935	-10.8009
21.799999	107.892	-11.4917
22.000000	107.871	-11.8340
22.400000	107.836	-12.5023
22.700001	107.815	-12.9890
23.000000	107.798	-13.4675
23.299999	107.782	-13.9412
23.600000	107.766	-14.4097
24.000000	107.739	-15.0168
24.299999	107.714	-15.4504
24.700001	107.677	-15.9959
25.000000	107.648	-16.3890
25.400000	107.612	-16.9161
25.799999	107.577	-17.4719
26.200001	107.542	-18.0604
26.500000	107.514	-18.5077
26.900000	107.472	-19.0776
27.200001	107.440	-19.4650
27.600000	107.398	-19.9188
28.000000	107.361	-20.3195
28.500000	107.320	-20.8019
29.000000	107.278	-21.3114
29.500000	107.229	-21.8447
30.000000	107.174	-22.3694
30.400000	107.132	-22.7747
30.700001	107.104	-23.0762
31.100000	107.071	-23.4848
31.500000	107.041	-23.9039
32.000000	107.003	-24.4279
32.500000	106.963	-24.9322
33.000000	106.923	-25.4201
33.500000	106.884	-25.9178
34.000000	106.841	-26.4379
34.500000	106.793	-26.9608
35.000000	106.741	-27.4549
35.500000	106.688	-27.9087
36.000000	106.639	-28.3375
36.500000	106.593	-28.7641
37.000000	106.547	-29.2009
37.500000	106.502	-29.6497
38.200001	106.439	-30.2913
38.700001	106.392	-30.7479
39.500000	106.313	-31.4504
40.000000	106.263	-31.8722
40.599998	106.201	-32.3713
41.200001	106.134	-32.8560
41.799999	106.062	-33.3077
42.500000	105.983	-33.8100
43.099998	105.925	-34.2734
43.700001	105.869	-34.7755
44.400002	105.800	-35.3195
45.000000	105.736	-35.6878
45.500000	105.681	-35.9529
46.200001	105.597	-36.3503
46.799999	105.520	-36.7417
47.500000	105.451	-37.2543
48.200001	105.418	-37.8633
48.700001	105.397	-38.3303
49.400002	105.340	-38.8581
50.000000	105.260	-39.0802
50.799999	105.138	-39.2065
51.500000	105.035	-39.4274
52.200001	104.943	-39.7865
53.000000	104.863	-40.2281
53.799999	104.795	-40.6559
54.500000	104.721	-40.9893
55.200001	104.638	-41.2612
56.000000	104.553	-41.5716
57.000000	104.460	-42.0311
58.000000	104.366	-42.4955
59.000000	104.263	-42.9753
60.000000	104.157	-43.3747
60.799999	104.084	-43.6270
61.500000	104.017	-43.8698
62.200001	103.935	-44.1220
63.000000	103.831	-44.3716
64.000000	103.713	-44.6589
65.000000	103.617	-44.9952
66.000000	103.521	-45.3713
67.000000	103.411	-45.7072
68.000000	103.299	-45.9273
69.000000	103.208	-46.1144
70.000000	103.125	-46.3778
71.000000	103.031	-46.6532
72.000000	102.933	-46.8685
73.000000	102.841	-47.0466
74.000000	102.755	-47.2582
75.000000	102.663	-47.5300
76.199997	102.548	-47.8409
77.500000	102.423	-48.0999
78.800003	102.294	-48.3362
80.000000	102.178	-48.5723
81.199997	102.071	-48.7690
82.500000	101.952	-48.9810
83.800003	101.827	-49.2381
85.000000	101.718	-49.4489
86.199997	101.617	-49.5795
87.500000	101.505	-49.7301
88.500000	101.413	-49.8713
90.000000	101.275	-50.0531
91.199997	101.166	-50.1701
92.500000	101.048	-50.3070
93.800003	100.931	-50.3922
95.000000	100.825	-50.4420
96.199997	100.742	-50.3474
97.500000	100.699	-49.4868
98.800003	100.699	-48.4380
100.000000	100.602	-48.7587
101.500000	100.339	-49.8744
103.000000	100.152	-50.2251
104.400002	100.030	-50.2105
106.000000	99.931	-50.1569
107.500000	99.866	-49.9809
109.000000	99.769	-49.9530
110.599998	99.641	-50.0294
112.000000	99.545	-50.1213
113.800003	99.422	-50.2610
115.000000	99.331	-50.3395
117.199997	99.165	-50.3652
118.000000	99.106	-50.3269
120.599998	98.908	-50.2199
122.000000	98.808	-50.1703
124.099998	98.665	-50.0300
125.000000	98.605	-49.9613
126.500000	98.507	-49.8578
128.000000	98.408	-49.7627
131.500000	98.181	-49.4753
132.000000	98.149	-49.4164
134.000000	98.021	-49.1744
136.000000	97.895	-48.9231
138.000000	97.779	-48.7108
140.000000	97.661	-48.4515
143.000000	97.491	-48.0733
145.000000	97.388	-47.9296
147.500000	97.296	-47.8172
150.000000	97.136	-47.4570
152.500000	96.984	-46.7431
155.000000	96.872	-46.2088
157.500000	96.760	-45.7970
160.000000	96.638	-45.4146
162.500000	96.511	-44.9939
165.000000	96.398	-44.5667
167.500000	96.290	-44.1597
170.000000	96.182	-43.7976
172.500000	96.076	-43.3759
175.000000	95.960	-42.9107
177.500000	95.852	-42.4459
180.000000	95.749	-41.9495
182.500000	95.646	-41.4467
185.000000	95.546	-40.9379
187.500000	95.452	-40.4454
190.000000	95.362	-39.9758
192.500000	95.271	-39.4890
195.000000	95.183	-38.9924
197.500000	95.123	-38.6152
200.000000	95.078	-38.4206
203.000000	94.961	-37.9086
206.000000	94.862	-37.2863
209.000000	94.790	-36.6329
212.000000	94.708	-35.9843
214.000000	94.653	-35.5942
218.000000	94.555	-34.8915
220.000000	94.511	-34.5049
224.000000	94.423	-33.7101
227.000000	94.355	-33.1669
230.000000	94.296	-32.6281
233.000000	94.244	-32.0768
236.000000	94.192	-31.5259
240.000000	94.122	-30.8343
243.000000	94.074	-30.3016
247.000000	94.020	-29.5861
250.000000	93.980	-29.0610
254.000000	93.918	-28.4004
258.000000	93.860	-27.7432
262.000000	93.809	-27.0967
265.000000	93.772	-26.6166
269.000000	93.724	-25.9722
272.000000	93.692	-25.5027
276.000000	93.650	-24.8971
280.000000	93.610	-24.3085
285.000000	93.562	-23.5864
290.000000	93.517	-22.8981
295.000000	93.477	-22.1579
300.000000	93.440	-21.3612
304.000000	93.413	-20.8597
307.000000	93.395	-20.5201
311.000000	93.372	-20.0162
315.000000	93.343	-19.5239
320.000000	93.312	-18.9239
325.000000	93.289	-18.2887
330.000000	93.268	-17.7039
335.000000	93.243	-17.1378
340.000000	93.220	-16.5662
345.000000	93.197	-15.9749
350.000000	93.173	-15.4465
355.000000	93.156	-14.9610
360.000000	93.140	-14.4358
365.000000	93.124	-13.9186
370.000000	93.108	-13.4474
375.000000	93.092	-12.9796
382.000000	93.074	-12.2639
387.000000	93.061	-11.7840
395.000000	93.073	-11.0096
400.000000	93.089	-10.5147
406.000000	93.036	-10.0849
412.000000	92.996	-9.6391
418.000000	92.979	-9.1582
425.000000	92.960	-8.5546
431.000000	92.947	-8.0396
437.000000	92.935	-7.5832
444.000000	92.921	-7.0608
450.000000	92.906	-6.5792
455.000000	92.895	-6.1926
462.000000	92.880	-5.6755
468.000000	92.867	-5.2345
475.000000	92.853	-4.7152
482.000000	92.839	-4.2036
487.000000	92.830	-3.8451
494.000000	92.818	-3.3494
500.000000	92.805	-2.9166
508.000000	92.796	-2.3378
515.000000	92.789	-1.8651
522.000000	92.781	-1.3934
530.000000	92.770	-0.8524
538.000000	92.760	-0.2846
545.000000	92.753	0.2204
552.000000	92.745	0.6830
560.000000	92.733	1.1540
570.000000	92.720	1.7533
580.000000	92.708	2.3861
590.000000	92.699	3.1174
600.000000	92.691	3.9302
608.000000	92.674	4.2892
615.000000	92.659	4.6493
622.000000	92.649	5.0687
630.000000	92.643	5.5596
640.000000	92.642	6.1884
650.000000	92.640	6.8451
660.000000	92.626	7.4524
670.000000	92.614	8.0864
680.000000	92.607	8.7071
690.000000	92.601	9.3370
700.000000	92.595	9.9944
710.000000	92.590	10.6169
720.000000	92.589	11.2501
730.000000	92.589	11.9099
740.000000	92.585	12.5786
750.000000	92.581	13.2327
762.000000	92.585	14.0000
775.000000	92.591	14.8447
788.000000	92.601	15.7158
800.000000	92.614	16.5550
812.000000	92.614	17.3037
825.000000	92.616	18.1313
838.000000	92.625	18.9903
850.000000	92.637	19.7732
862.000000	92.652	20.5585
875.000000	92.673	21.4185
885.000000	92.692	22.0751
900.000000	92.725	23.0446
912.000000	92.755	23.8173
925.000000	92.789	24.6393
938.000000	92.829	25.4413
950.000000	92.870	26.1689
962.000000	92.914	26.8744
975.000000	92.965	27.6118
988.000000	93.019	28.3264
1000.000000	93.070	28.9662
1015.000000	93.136	29.7301
1030.000000	93.204	30.4522
1044.000000	93.269	31.0887
1060.000000	93.344	31.7740
1075.000000	93.413	32.3742
1090.000000	93.482	32.9332
1106.000000	93.554	33.4903
1120.000000	93.616	33.9510
1138.000000	93.693	34.5004
1150.000000	93.741	34.8404
1172.000000	93.822	35.4244
1180.000000	93.849	35.6252
1206.000000	93.930	36.2565
1220.000000	93.970	36.5924
1241.000000	94.025	37.0860
1250.000000	94.048	37.2946
1265.000000	94.087	37.6534
1280.000000	94.125	38.0192
1315.000000	94.204	38.8704
1320.000000	94.214	38.9943
1340.000000	94.248	39.5023
1360.000000	94.273	40.0353
1380.000000	94.289	40.6232
1400.000000	94.299	41.3042
1430.000000	94.305	42.5589
1450.000000	94.314	43.6426
1475.000000	94.369	45.3757
1500.000000	94.532	47.2193
1525.000000	94.794	48.4400
1550.000000	95.042	48.7600
1575.000000	95.199	48.6863
1600.000000	95.283	48.7089
1625.000000	95.331	48.9658
1650.000000	95.368	49.4010
1675.000000	95.405	49.9454
1700.000000	95.447	50.5637
1725.000000	95.494	51.2402
1750.000000	95.546	51.9458
1775.000000	95.601	52.6752
1800.000000	95.661	53.4145
1825.000000	95.724	54.1508
1850.000000	95.790	54.8848
1875.000000	95.855	55.6176
1900.000000	95.922	56.3539
1925.000000	95.988	57.0939
1950.000000	96.055	57.8358
1975.000000	96.120	58.5835
2000.000000	96.182	59.3427
2030.000000	96.253	60.2889
2060.000000	96.315	61.3046
2090.000000	96.366	62.4437
2120.000000	96.405	63.7820
2140.000000	96.426	64.8456
2180.000000	96.481	67.6210
2200.000000	96.538	69.4448
2240.000000	96.825	74.0134
2270.000000	97.295	77.7052
2300.000000	97.998	80.5351
2330.000000	98.818	81.6520
2360.000000	99.598	81.0376
2400.000000	100.432	78.5320
2430.000000	100.888	76.1168
2470.000000	101.316	72.8621
2500.000000	101.543	70.5987
2540.000000	101.770	67.8621
2580.000000	101.936	65.3765
2620.000000	102.048	63.1150
2650.000000	102.103	61.6193
2690.000000	102.168	59.9173
2720.000000	102.225	58.7496
2760.000000	102.307	57.1540
2800.000000	102.374	55.4525
2850.000000	102.412	53.2639
2900.000000	102.397	51.1425
2950.000000	102.336	49.1860
3000.000000	102.238	47.4599
3040.000000	102.141	46.2667
3070.000000	102.061	45.4810
3110.000000	101.948	44.5775
3150.000000	101.831	43.8429
3200.000000	101.689	43.1724
3250.000000	101.564	42.7508
3300.000000	101.468	42.4985
3350.000000	101.405	42.2815
3400.000000	101.361	41.9852
3450.000000	101.319	41.6169
3500.000000	101.274	41.2483
3550.000000	101.230	40.9253
3600.000000	101.193	40.6449
3650.000000	101.168	40.3771
3700.000000	101.154	40.0816
3750.000000	101.148	39.7310
3820.000000	101.149	39.1415
3870.000000	101.154	38.6381
3950.000000	101.168	37.6211
4000.000000	101.168	36.8116
4060.000000	101.142	35.6644
4120.000000	101.076	34.3991
4180.000000	100.968	33.1380
4250.000000	100.798	31.8121
4310.000000	100.625	30.8507
