* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 11:14:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Azla10 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.841	-11.5854
20.600000	109.818	-12.0832
20.900000	109.790	-12.6131
21.200001	109.764	-13.1414
21.400000	109.748	-13.4954
21.799999	109.722	-14.2136
22.000000	109.711	-14.5769
22.400000	109.688	-15.3008
22.700001	109.669	-15.8293
23.000000	109.648	-16.3370
23.299999	109.624	-16.8227
23.600000	109.599	-17.2911
24.000000	109.564	-17.9045
24.299999	109.537	-18.3667
24.700001	109.500	-18.9921
25.000000	109.470	-19.4646
25.400000	109.430	-20.0874
25.799999	109.391	-20.6906
26.200001	109.354	-21.2701
26.500000	109.327	-21.6915
26.900000	109.291	-22.2413
27.200001	109.263	-22.6472
27.600000	109.223	-23.1809
28.000000	109.181	-23.7064
28.500000	109.127	-24.3564
29.000000	109.074	-25.0068
29.500000	109.022	-25.6587
30.000000	108.970	-26.2991
30.400000	108.927	-26.7914
30.700001	108.895	-27.1464
31.100000	108.852	-27.6041
31.500000	108.810	-28.0530
32.000000	108.757	-28.6153
32.500000	108.703	-29.1826
33.000000	108.646	-29.7450
33.500000	108.590	-30.2914
34.000000	108.534	-30.8219
34.500000	108.480	-31.3425
35.000000	108.423	-31.8533
35.500000	108.365	-32.3463
36.000000	108.307	-32.8188
36.500000	108.252	-33.2830
37.000000	108.200	-33.7549
37.500000	108.147	-34.2344
38.200001	108.070	-34.8814
38.700001	108.013	-35.3093
39.500000	107.923	-35.9782
40.000000	107.864	-36.4182
40.599998	107.790	-36.9592
41.200001	107.714	-37.4759
41.799999	107.642	-37.9522
42.500000	107.566	-38.4842
43.099998	107.502	-38.9460
43.700001	107.433	-39.4147
44.400002	107.348	-39.9558
45.000000	107.277	-40.4063
45.500000	107.219	-40.7706
46.200001	107.140	-41.2612
46.799999	107.073	-41.6668
47.500000	106.993	-42.1374
48.200001	106.912	-42.6132
48.700001	106.853	-42.9448
49.400002	106.774	-43.3769
50.000000	106.707	-43.7180
50.799999	106.618	-44.1564
51.500000	106.535	-44.5417
52.200001	106.452	-44.9336
53.000000	106.358	-45.3858
53.799999	106.263	-45.8304
54.500000	106.179	-46.2147
55.200001	106.095	-46.6073
56.000000	106.007	-47.0694
57.000000	105.908	-47.6283
58.000000	105.798	-48.0680
59.000000	105.674	-48.3867
60.000000	105.553	-48.7754
60.799999	105.460	-49.1153
61.500000	105.383	-49.3425
62.200001	105.312	-49.5496
63.000000	105.226	-49.8765
64.000000	105.107	-50.3933
65.000000	104.999	-50.8634
66.000000	104.897	-51.2395
