* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 11:18:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Azla10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.012	-11.8856
20.600000	109.990	-12.3932
20.900000	109.962	-12.9308
21.200001	109.933	-13.4566
21.400000	109.914	-13.8001
21.799999	109.881	-14.4755
22.000000	109.867	-14.8101
22.400000	109.842	-15.4781
22.700001	109.824	-15.9797
23.000000	109.806	-16.4809
23.299999	109.784	-16.9785
23.600000	109.760	-17.4687
24.000000	109.724	-18.1062
24.299999	109.696	-18.5716
24.700001	109.658	-19.1793
25.000000	109.629	-19.6296
25.400000	109.592	-20.2278
25.799999	109.555	-20.8240
26.200001	109.517	-21.4137
26.500000	109.488	-21.8483
26.900000	109.447	-22.4137
27.200001	109.416	-22.8267
27.600000	109.372	-23.3638
28.000000	109.329	-23.8885
28.500000	109.277	-24.5328
29.000000	109.226	-25.1707
29.500000	109.178	-25.8036
30.000000	109.128	-26.4244
30.400000	109.087	-26.9061
30.700001	109.055	-27.2578
31.100000	109.012	-27.7173
31.500000	108.968	-28.1726
32.000000	108.912	-28.7438
32.500000	108.857	-29.3168
33.000000	108.802	-29.8838
33.500000	108.750	-30.4399
34.000000	108.699	-30.9838
34.500000	108.646	-31.5109
35.000000	108.590	-32.0137
35.500000	108.531	-32.4926
36.000000	108.472	-32.9604
36.500000	108.414	-33.4308
37.000000	108.355	-33.9038
37.500000	108.296	-34.3681
38.200001	108.218	-34.9928
38.700001	108.163	-35.4272
39.500000	108.071	-36.1048
40.000000	108.011	-36.5128
40.599998	107.941	-36.9999
41.200001	107.874	-37.5099
41.799999	107.806	-38.0430
42.500000	107.724	-38.6479
43.099998	107.652	-39.1178
43.700001	107.580	-39.5466
44.400002	107.498	-40.0282
45.000000	107.427	-40.4461
45.500000	107.370	-40.8013
46.200001	107.291	-41.3058
46.799999	107.224	-41.7342
47.500000	107.142	-42.1946
48.200001	107.056	-42.5808
48.700001	106.997	-42.8311
49.400002	106.918	-43.2168
50.000000	106.850	-43.6125
50.799999	106.755	-44.1740
51.500000	106.672	-44.6285
52.200001	106.592	-45.0451
53.000000	106.501	-45.4964
53.799999	106.407	-45.9220
54.500000	106.327	-46.2793
55.200001	106.248	-46.6310
56.000000	106.156	-47.0274
57.000000	106.039	-47.5143
58.000000	105.922	-47.9868
59.000000	105.809	-48.4601
60.000000	105.694	-48.9123
60.799999	105.608	-49.2266
61.500000	105.541	-49.5104
62.200001	105.471	-49.8358
63.000000	105.376	-50.2038
64.000000	105.244	-50.5566
65.000000	105.122	-50.8766
66.000000	105.006	-51.2300
67.000000	104.892	-51.5456
68.000000	104.785	-51.8328
69.000000	104.676	-52.1710
70.000000	104.558	-52.5049
71.000000	104.446	-52.7427
72.000000	104.347	-52.9514
73.000000	104.246	-53.1951
74.000000	104.141	-53.4619
75.000000	104.035	-53.7441
76.199997	103.903	-54.0273
77.500000	103.769	-54.2583
78.800003	103.643	-54.5535
80.000000	103.520	-54.8056
81.199997	103.401	-55.0733
82.500000	103.285	-55.3649
83.800003	103.163	-55.6452
85.000000	103.024	-55.8424
86.199997	102.888	-55.9707
87.500000	102.754	-56.1356
88.500000	102.650	-56.2980
90.000000	102.496	-56.4951
91.199997	102.378	-56.6372
92.500000	102.247	-56.7641
93.800003	102.108	-56.8477
95.000000	101.981	-56.8999
