* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:31:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Coreir L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.087	-8.1334
20.600000	108.071	-8.6131
20.900000	108.051	-9.1303
21.200001	108.031	-9.6516
21.400000	108.019	-10.0017
21.799999	107.997	-10.7050
22.000000	107.986	-11.0542
22.400000	107.964	-11.7344
22.700001	107.947	-12.2209
23.000000	107.929	-12.6858
23.299999	107.910	-13.1336
23.600000	107.890	-13.5715
24.000000	107.862	-14.1514
24.299999	107.839	-14.5868
24.700001	107.806	-15.1661
25.000000	107.780	-15.5960
25.400000	107.746	-16.1591
25.799999	107.713	-16.7106
26.200001	107.681	-17.2520
26.500000	107.657	-17.6511
26.900000	107.624	-18.1716
27.200001	107.598	-18.5520
27.600000	107.563	-19.0474
28.000000	107.527	-19.5355
28.500000	107.482	-20.1470
29.000000	107.438	-20.7647
29.500000	107.392	-21.3776
30.000000	107.346	-21.9686
30.400000	107.309	-22.4202
30.700001	107.282	-22.7484
31.100000	107.247	-23.1784
31.500000	107.212	-23.6070
32.000000	107.167	-24.1451
32.500000	107.120	-24.6792
33.000000	107.071	-25.1990
33.500000	107.022	-25.7046
34.000000	106.974	-26.2056
34.500000	106.924	-26.7049
35.000000	106.871	-27.1913
35.500000	106.817	-27.6529
36.000000	106.765	-28.0960
36.500000	106.716	-28.5410
37.000000	106.667	-28.9967
37.500000	106.617	-29.4491
38.200001	106.547	-30.0440
38.700001	106.501	-30.4484
39.500000	106.428	-31.0945
40.000000	106.375	-31.4823
40.599998	106.305	-31.9039
41.200001	106.237	-32.3019
41.799999	106.175	-32.7332
42.500000	106.103	-33.2944
43.099998	106.039	-33.7750
43.700001	105.976	-34.2197
44.400002	105.904	-34.6990
45.000000	105.841	-35.0892
45.500000	105.789	-35.4045
46.200001	105.718	-35.8427
46.799999	105.659	-36.2201
47.500000	105.591	-36.6520
48.200001	105.522	-37.0816
48.700001	105.471	-37.3992
49.400002	105.393	-37.8448
50.000000	105.323	-38.1952
50.799999	105.238	-38.6109
51.500000	105.170	-38.9625
52.200001	105.101	-39.3082
53.000000	105.019	-39.6827
53.799999	104.936	-40.0572
54.500000	104.862	-40.3933
55.200001	104.788	-40.7233
56.000000	104.704	-41.0941
57.000000	104.602	-41.5675
58.000000	104.504	-42.0375
59.000000	104.399	-42.4603
60.000000	104.282	-42.7543
60.799999	104.196	-42.9772
61.500000	104.127	-43.2879
62.200001	104.056	-43.6755
63.000000	103.975	-44.0753
64.000000	103.886	-44.4608
65.000000	103.793	-44.7771
66.000000	103.689	-45.0343
67.000000	103.587	-45.3160
68.000000	103.488	-45.6160
69.000000	103.394	-45.9039
70.000000	103.296	-46.1802
71.000000	103.197	-46.4508
72.000000	103.096	-46.7309
73.000000	102.994	-47.0007
74.000000	102.891	-47.2464
75.000000	102.791	-47.4647
76.199997	102.674	-47.6864
77.500000	102.547	-47.8928
78.800003	102.416	-48.1302
80.000000	102.297	-48.3029
81.199997	102.184	-48.5018
82.500000	102.066	-48.7691
83.800003	101.957	-48.9991
85.000000	101.842	-49.0366
86.199997	101.726	-49.0302
87.500000	101.604	-49.1300
88.500000	101.516	-49.2353
90.000000	101.391	-49.4382
91.199997	101.293	-49.5300
92.500000	101.179	-49.5303
93.800003	101.065	-49.6234
95.000000	100.965	-49.7827
96.199997	100.878	-49.7934
97.500000	100.776	-49.7817
98.800003	100.660	-49.9072
100.000000	100.556	-50.0644
101.500000	100.439	-50.1237
103.000000	100.323	-50.2227
104.400002	100.216	-50.3373
106.000000	100.110	-50.3956
107.500000	99.999	-50.4020
109.000000	99.883	-50.3624
110.599998	99.755	-50.2458
112.000000	99.643	-50.1726
113.800003	99.508	-50.1641
115.000000	99.424	-50.1621
117.199997	99.262	-50.0864
118.000000	99.200	-50.0312
120.599998	99.002	-49.8509
122.000000	98.902	-49.7548
124.099998	98.756	-49.5803
125.000000	98.695	-49.4993
126.500000	98.595	-49.3601
128.000000	98.498	-49.2086
131.500000	98.284	-48.8586
132.000000	98.254	-48.8087
134.000000	98.134	-48.5983
136.000000	98.013	-48.3608
138.000000	97.896	-48.1149
140.000000	97.783	-47.8710
143.000000	97.614	-47.4857
145.000000	97.503	-47.2375
147.500000	97.369	-46.8864
150.000000	97.240	-46.4622
152.500000	97.111	-46.1180
155.000000	96.987	-45.8019
157.500000	96.862	-45.4360
160.000000	96.734	-45.0044
162.500000	96.606	-44.5651
165.000000	96.483	-44.1224
167.500000	96.365	-43.6673
170.000000	96.249	-43.2151
172.500000	96.137	-42.7583
175.000000	96.026	-42.2753
177.500000	95.918	-41.7944
180.000000	95.812	-41.3262
182.500000	95.710	-40.8398
185.000000	95.609	-40.3422
187.500000	95.511	-39.8439
190.000000	95.418	-39.3367
192.500000	95.328	-38.7887
195.000000	95.241	-38.2164
197.500000	95.157	-37.6950
200.000000	95.082	-37.2010
203.000000	95.003	-36.5719
206.000000	94.925	-35.9206
209.000000	94.847	-35.3157
212.000000	94.773	-34.7015
214.000000	94.726	-34.2794
218.000000	94.636	-33.4556
220.000000	94.593	-33.0531
224.000000	94.513	-32.2859
227.000000	94.456	-31.7271
230.000000	94.400	-31.1336
233.000000	94.348	-30.5605
236.000000	94.299	-30.0171
240.000000	94.234	-29.2838
243.000000	94.189	-28.7372
247.000000	94.139	-27.9874
250.000000	94.104	-27.4232
254.000000	94.044	-26.7605
258.000000	93.988	-26.0937
262.000000	93.940	-25.4188
265.000000	93.906	-24.9163
269.000000	93.863	-24.2590
272.000000	93.832	-23.7719
276.000000	93.793	-23.1295
280.000000	93.758	-22.4957
285.000000	93.718	-21.7200
290.000000	93.680	-20.9721
295.000000	93.646	-20.2508
300.000000	93.617	-19.5511
304.000000	93.593	-18.9954
307.000000	93.576	-18.5862
311.000000	93.556	-18.0551
315.000000	93.536	-17.5368
320.000000	93.512	-16.8993
325.000000	93.491	-16.2809
330.000000	93.471	-15.6777
335.000000	93.452	-15.0883
340.000000	93.435	-14.5115
345.000000	93.419	-13.9564
350.000000	93.405	-13.4224
355.000000	93.390	-12.8683
360.000000	93.376	-12.3269
365.000000	93.362	-11.8061
370.000000	93.349	-11.3012
375.000000	93.338	-10.8059
382.000000	93.323	-10.1212
387.000000	93.312	-9.6390
395.000000	93.296	-8.8849
400.000000	93.287	-8.4206
406.000000	93.278	-7.8696
412.000000	93.271	-7.3297
418.000000	93.265	-6.7993
425.000000	93.260	-6.1937
431.000000	93.257	-5.6868
437.000000	93.255	-5.1981
444.000000	93.253	-4.6568
450.000000	93.252	-4.2149
455.000000	93.250	-3.8553
462.000000	93.247	-3.3604
468.000000	93.243	-2.9450
475.000000	93.237	-2.4752
482.000000	93.230	-2.0115
487.000000	93.224	-1.6806
494.000000	93.217	-1.2165
500.000000	93.211	-0.8155
508.000000	93.198	-0.2896
515.000000	93.188	0.1707
522.000000	93.180	0.6298
530.000000	93.170	1.1505
538.000000	93.161	1.6711
545.000000	93.151	2.1219
552.000000	93.142	2.5673
560.000000	93.135	3.0714
570.000000	93.125	3.7037
580.000000	93.113	4.3372
590.000000	93.101	4.9743
600.000000	93.091	5.6187
608.000000	93.081	6.1320
615.000000	93.074	6.5794
622.000000	93.067	7.0275
630.000000	93.060	7.5402
640.000000	93.054	8.1794
650.000000	93.048	8.8201
660.000000	93.041	9.4707
670.000000	93.034	10.1228
680.000000	93.030	10.7743
690.000000	93.027	11.4320
700.000000	93.024	12.0894
710.000000	93.022	12.7473
720.000000	93.022	13.4097
730.000000	93.023	14.0755
740.000000	93.026	14.7474
750.000000	93.029	15.4244
762.000000	93.036	16.2264
775.000000	93.045	17.1055
788.000000	93.057	17.9903
800.000000	93.069	18.8036
812.000000	93.081	19.6294
825.000000	93.094	20.5294
838.000000	93.112	21.4326
850.000000	93.132	22.2668
862.000000	93.155	23.0806
875.000000	93.184	23.9600
885.000000	93.210	24.6367
900.000000	93.253	25.6458
912.000000	93.290	26.4423
925.000000	93.336	27.2901
938.000000	93.387	28.1217
950.000000	93.437	28.8742
962.000000	93.490	29.6054
975.000000	93.552	30.3748
988.000000	93.617	31.1170
1000.000000	93.679	31.7784
1015.000000	93.759	32.5703
1030.000000	93.843	33.3203
1044.000000	93.922	33.9830
1060.000000	94.014	34.6848
1075.000000	94.101	35.2960
1090.000000	94.187	35.8705
1106.000000	94.278	36.4375
1120.000000	94.356	36.8960
1138.000000	94.453	37.4430
1150.000000	94.516	37.7823
1172.000000	94.626	38.3520
1180.000000	94.664	38.5472
1206.000000	94.782	39.1468
1220.000000	94.842	39.4529
1241.000000	94.927	39.8917
1250.000000	94.963	40.0757
1265.000000	95.023	40.3803
1280.000000	95.083	40.6840
1315.000000	95.215	41.3941
1320.000000	95.232	41.4974
1340.000000	95.301	41.9187
1360.000000	95.366	42.3489
1380.000000	95.427	42.7874
1400.000000	95.487	43.2431
1430.000000	95.574	43.9541
1450.000000	95.632	44.4442
1475.000000	95.703	45.0785
1500.000000	95.774	45.7356
1525.000000	95.846	46.4125
1550.000000	95.920	47.1052
1575.000000	95.996	47.8121
1600.000000	96.072	48.5340
1625.000000	96.148	49.2637
1650.000000	96.225	50.0009
1675.000000	96.305	50.7491
1700.000000	96.390	51.5011
1725.000000	96.478	52.2513
1750.000000	96.572	52.9952
1775.000000	96.669	53.7349
1800.000000	96.770	54.4681
1825.000000	96.876	55.1908
1850.000000	96.987	55.9013
1875.000000	97.102	56.5988
1900.000000	97.223	57.2795
1925.000000	97.347	57.9393
1950.000000	97.477	58.5766
1975.000000	97.611	59.1893
2000.000000	97.750	59.7749
2030.000000	97.926	60.4386
2060.000000	98.108	61.0553
2090.000000	98.297	61.6189
2120.000000	98.491	62.1283
2140.000000	98.623	62.4343
2180.000000	98.895	62.9618
2200.000000	99.033	63.1802
2240.000000	99.316	63.5178
2270.000000	99.533	63.6775
2300.000000	99.752	63.7508
2330.000000	99.973	63.7317
2360.000000	100.194	63.6158
2400.000000	100.488	63.3047
2430.000000	100.705	62.9516
2470.000000	100.989	62.3144
2500.000000	101.195	61.7103
2540.000000	101.459	60.7391
2580.000000	101.704	59.5867
2620.000000	101.926	58.2650
2650.000000	102.075	57.1749
2690.000000	102.246	55.6098
2720.000000	102.352	54.3694
2760.000000	102.462	52.6542
2800.000000	102.536	50.9033
2850.000000	102.578	48.7241
2900.000000	102.565	46.6226
2950.000000	102.503	44.6624
3000.000000	102.400	42.8965
3040.000000	102.294	41.6461
3070.000000	102.204	40.8114
3110.000000	102.073	39.8407
3150.000000	101.934	39.0320
3200.000000	101.756	38.2430
3250.000000	101.579	37.6870
3300.000000	101.408	37.3416
3350.000000	101.248	37.1838
3400.000000	101.102	37.1843
3450.000000	100.975	37.3130
3500.000000	100.867	37.5401
3550.000000	100.780	37.8332
3600.000000	100.715	38.1599
3650.000000	100.672	38.4883
3700.000000	100.650	38.7835
3750.000000	100.645	39.0160
3820.000000	100.662	39.1859
3870.000000	100.684	39.1755
3950.000000	100.722	38.9205
4000.000000	100.739	38.6232
4060.000000	100.745	38.1509
4120.000000	100.733	37.5877
4180.000000	100.702	36.9749
4250.000000	100.645	36.2407
4310.000000	100.578	35.6260
4370.000000	100.496	35.0511
4440.000000	100.383	34.4632
4500.000000	100.273	34.0617
4550.000000	100.175	33.8215
4620.000000	100.035	33.6589
4680.000000	99.921	33.6949
4750.000000	99.806	33.9352
4820.000000	99.723	34.3511
4870.000000	99.690	34.7131
4940.000000	99.688	35.2275
5000.000000	99.728	35.5868
5080.000000	99.835	35.7933
5150.000000	99.964	35.5974
5220.000000	100.104	34.9745
5300.000000	100.244	33.7290
5380.000000	100.331	32.0029
5450.000000	100.343	30.2406
5520.000000	100.289	28.4026
5600.000000	100.146	26.4071
5700.000000	99.874	24.3434
5800.000000	99.539	22.9500
5900.000000	99.191	22.2752
6000.000000	98.871	22.2446
6080.000000	98.654	22.5953
6150.000000	98.503	23.1064
6220.000000	98.395	23.7510
6300.000000	98.336	24.5802
6400.000000	98.374	25.6380
6500.000000	98.523	26.5681
6600.000000	98.776	27.1944
6700.000000	99.125	27.3220
6800.000000	99.558	26.7606
6900.000000	100.062	25.3797
7000.000000	100.646	22.9265
