* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:42:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Flex L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.965	-7.8739
20.600000	107.946	-8.4284
20.900000	107.922	-9.0477
21.200001	107.894	-9.6818
21.400000	107.876	-10.1022
21.799999	107.838	-10.9049
22.000000	107.820	-11.2725
22.400000	107.790	-11.9179
22.700001	107.774	-12.3274
23.000000	107.763	-12.6954
23.299999	107.757	-13.0510
23.600000	107.750	-13.4207
24.000000	107.736	-13.9579
24.299999	107.717	-14.3904
24.700001	107.681	-14.9824
25.000000	107.650	-15.4215
25.400000	107.608	-15.9906
25.799999	107.571	-16.5469
26.200001	107.540	-17.1003
26.500000	107.519	-17.5136
26.900000	107.490	-18.0537
27.200001	107.467	-18.4441
27.600000	107.434	-18.9430
28.000000	107.399	-19.4254
28.500000	107.352	-20.0251
29.000000	107.303	-20.6307
29.500000	107.254	-21.2331
30.000000	107.207	-21.8198
30.400000	107.171	-22.2758
30.700001	107.145	-22.6107
31.100000	107.110	-23.0481
31.500000	107.073	-23.4746
32.000000	107.025	-23.9945
32.500000	106.976	-24.5088
33.000000	106.927	-25.0278
33.500000	106.878	-25.5511
34.000000	106.828	-26.0663
34.500000	106.779	-26.5589
35.000000	106.730	-27.0240
35.500000	106.683	-27.4682
36.000000	106.637	-27.9042
36.500000	106.590	-28.3443
37.000000	106.542	-28.7948
37.500000	106.491	-29.2521
38.200001	106.418	-29.8798
38.700001	106.365	-30.3021
39.500000	106.285	-30.9355
40.000000	106.238	-31.3242
40.599998	106.180	-31.7936
41.200001	106.118	-32.2536
41.799999	106.054	-32.6919
42.500000	105.980	-33.1860
