* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:40:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Flex R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.133	-8.3778
20.600000	108.107	-8.8637
20.900000	108.076	-9.3582
21.200001	108.048	-9.8332
21.400000	108.034	-10.1497
21.799999	108.016	-10.8100
22.000000	108.009	-11.1594
22.400000	107.996	-11.8840
22.700001	107.982	-12.4236
23.000000	107.963	-12.9336
23.299999	107.941	-13.4003
23.600000	107.918	-13.8257
24.000000	107.888	-14.3563
24.299999	107.867	-14.7531
24.700001	107.838	-15.3072
25.000000	107.815	-15.7429
25.400000	107.779	-16.3343
25.799999	107.742	-16.9138
26.200001	107.707	-17.4674
26.500000	107.683	-17.8661
26.900000	107.654	-18.3820
27.200001	107.633	-18.7601
27.600000	107.603	-19.2528
28.000000	107.570	-19.7317
28.500000	107.525	-20.3159
29.000000	107.477	-20.8975
29.500000	107.427	-21.4860
30.000000	107.377	-22.0771
30.400000	107.338	-22.5446
30.700001	107.309	-22.8895
31.100000	107.271	-23.3408
31.500000	107.233	-23.7820
32.000000	107.186	-24.3176
32.500000	107.139	-24.8344
33.000000	107.092	-25.3354
33.500000	107.045	-25.8257
34.000000	106.997	-26.3072
34.500000	106.947	-26.7776
35.000000	106.896	-27.2378
35.500000	106.846	-27.6952
36.000000	106.795	-28.1578
36.500000	106.745	-28.6244
37.000000	106.694	-29.0847
37.500000	106.643	-29.5282
38.200001	106.571	-30.1148
38.700001	106.518	-30.5127
39.500000	106.432	-31.1344
40.000000	106.379	-31.5354
40.599998	106.318	-32.0417
41.200001	106.257	-32.5469
41.799999	106.196	-33.0025
42.500000	106.127	-33.4576
43.099998	106.070	-33.8262
43.700001	106.009	-34.2130
44.400002	105.933	-34.6883
45.000000	105.868	-35.0982
45.500000	105.814	-35.4313
46.200001	105.740	-35.8786
46.799999	105.678	-36.2515
47.500000	105.603	-36.6867
48.200001	105.529	-37.1093
48.700001	105.479	-37.3937
49.400002	105.414	-37.7819
50.000000	105.356	-38.1223
50.799999	105.268	-38.5663
51.500000	105.186	-38.9192
52.200001	105.110	-39.2624
53.000000	105.035	-39.6777
53.799999	104.959	-40.0976
54.500000	104.885	-40.4425
55.200001	104.805	-40.7596
56.000000	104.713	-41.1039
57.000000	104.608	-41.5526
58.000000	104.509	-42.0012
59.000000	104.414	-42.4344
60.000000	104.311	-42.8746
60.799999	104.224	-43.1406
61.500000	104.157	-43.3116
62.200001	104.096	-43.5176
63.000000	104.018	-43.8247
64.000000	103.909	-44.1904
65.000000	103.805	-44.5148
66.000000	103.701	-44.8404
67.000000	103.598	-45.1494
68.000000	103.508	-45.4671
69.000000	103.422	-45.7873
70.000000	103.324	-46.0501
71.000000	103.219	-46.2787
72.000000	103.114	-46.5414
73.000000	103.016	-46.7986
74.000000	102.923	-47.0226
75.000000	102.827	-47.2418
76.199997	102.712	-47.5024
77.500000	102.589	-47.7725
78.800003	102.462	-47.9988
80.000000	102.344	-48.2230
81.199997	102.228	-48.4467
82.500000	102.109	-48.6517
83.800003	101.988	-48.8401
85.000000	101.873	-48.9789
86.199997	101.761	-49.1163
87.500000	101.641	-49.3044
88.500000	101.549	-49.4187
90.000000	101.414	-49.5348
91.199997	101.303	-49.6313
92.500000	101.181	-49.6953
93.800003	101.057	-49.7213
95.000000	100.945	-49.7717
96.199997	100.835	-49.7731
97.500000	100.715	-49.7225
98.800003	100.601	-49.6760
100.000000	100.512	-49.6169
101.500000	100.397	-49.4506
103.000000	100.289	-49.3190
104.400002	100.212	-49.2181
106.000000	100.135	-49.0682
107.500000	100.052	-49.1328
109.000000	99.967	-49.2518
110.599998	99.876	-49.3204
112.000000	99.779	-49.3843
113.800003	99.633	-49.4700
115.000000	99.538	-49.5217
117.199997	99.384	-49.5613
118.000000	99.329	-49.5472
120.599998	99.146	-49.4452
122.000000	99.051	-49.3981
124.099998	98.904	-49.3132
125.000000	98.840	-49.2723
126.500000	98.738	-49.1788
128.000000	98.641	-49.0648
131.500000	98.415	-48.7624
132.000000	98.384	-48.7165
134.000000	98.260	-48.5150
136.000000	98.138	-48.3000
138.000000	98.016	-48.0859
140.000000	97.897	-47.8459
143.000000	97.726	-47.4656
145.000000	97.615	-47.1969
