* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 9:29:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Kiwi X HBB Punch Origin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.016	-8.3428
20.600000	108.000	-8.8626
20.900000	107.976	-9.3937
21.200001	107.950	-9.8902
21.400000	107.935	-10.2051
21.799999	107.908	-10.8178
22.000000	107.897	-11.1248
22.400000	107.875	-11.7527
22.700001	107.857	-12.2337
23.000000	107.836	-12.7145
23.299999	107.811	-13.1860
23.600000	107.784	-13.6435
24.000000	107.748	-14.2343
24.299999	107.723	-14.6700
24.700001	107.691	-15.2508
25.000000	107.669	-15.6874
25.400000	107.638	-16.2656
25.799999	107.607	-16.8307
26.200001	107.576	-17.3783
26.500000	107.553	-17.7782
26.900000	107.520	-18.3001
27.200001	107.494	-18.6843
27.600000	107.458	-19.1876
28.000000	107.420	-19.6818
28.500000	107.372	-20.2917
29.000000	107.324	-20.8989
29.500000	107.276	-21.5032
30.000000	107.228	-22.1003
30.400000	107.190	-22.5711
30.700001	107.162	-22.9199
31.100000	107.126	-23.3782
31.500000	107.090	-23.8255
32.000000	107.045	-24.3644
32.500000	107.001	-24.8833
33.000000	106.956	-25.3924
33.500000	106.909	-25.8994
34.000000	106.859	-26.4032
34.500000	106.807	-26.8993
35.000000	106.756	-27.3860
35.500000	106.705	-27.8597
36.000000	106.655	-28.3124
36.500000	106.604	-28.7407
37.000000	106.554	-29.1565
37.500000	106.503	-29.5766
38.200001	106.427	-30.1686
38.700001	106.373	-30.5700
39.500000	106.298	-31.1775
40.000000	106.257	-31.5709
40.599998	106.205	-32.0666
41.200001	106.144	-32.5503
41.799999	106.077	-32.9969
42.500000	106.000	-33.4958
43.099998	105.933	-33.9212
43.700001	105.865	-34.3320
44.400002	105.790	-34.7893
45.000000	105.728	-35.1822
45.500000	105.677	-35.5155
46.200001	105.606	-35.9798
46.799999	105.546	-36.3686
47.500000	105.474	-36.8056
48.200001	105.400	-37.2109
48.700001	105.346	-37.4843
49.400002	105.274	-37.8718
50.000000	105.214	-38.2228
50.799999	105.135	-38.6972
51.500000	105.064	-39.0946
52.200001	104.991	-39.4734
53.000000	104.906	-39.8959
53.799999	104.822	-40.3199
54.500000	104.749	-40.6811
55.200001	104.677	-41.0103
56.000000	104.594	-41.3546
57.000000	104.491	-41.7825
58.000000	104.393	-42.2303
59.000000	104.289	-42.6280
60.000000	104.180	-42.9486
60.799999	104.091	-43.3426
61.500000	103.999	-43.7757
62.200001	103.905	-44.1033
63.000000	103.826	-44.3040
64.000000	103.756	-44.5666
65.000000	103.670	-44.8904
66.000000	103.572	-45.2023
67.000000	103.474	-45.5109
68.000000	103.377	-45.7865
69.000000	103.280	-46.0763
70.000000	103.178	-46.3856
71.000000	103.074	-46.6666
72.000000	102.972	-46.9147
73.000000	102.874	-47.1581
74.000000	102.777	-47.3951
75.000000	102.680	-47.6247
76.199997	102.563	-47.8865
77.500000	102.435	-48.1400
78.800003	102.310	-48.3898
80.000000	102.207	-48.5997
81.199997	102.109	-48.6956
82.500000	101.978	-48.7912
83.800003	101.836	-49.0241
85.000000	101.739	-49.3374
86.199997	101.642	-49.6178
87.500000	101.512	-49.8452
88.500000	101.414	-50.0072
90.000000	101.279	-50.1565
91.199997	101.163	-50.2628
92.500000	101.032	-50.3114
93.800003	100.902	-50.3214
95.000000	100.783	-50.3261
96.199997	100.674	-50.3067
97.500000	100.530	-50.3052
98.800003	100.368	-50.5586
100.000000	100.233	-50.6569
101.500000	100.145	-49.9530
103.000000	100.080	-49.3079
104.400002	100.030	-48.9627
106.000000	100.021	-48.7238
